frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,1.2990,134.22,0.514,0.627
1,0.0417,1.7543,134.39,0.490,0.640
2,0.0833,2.3095,135.32,0.503,0.603
3,0.1250,3.1033,136.60,0.508,0.596
4,0.1667,4.1654,137.93,0.537,0.847
5,0.2083,6.5265,137.77,0.604,0.871
6,0.2500,6.6085,135.74,0.590,0.846
7,0.2917,6.2027,133.92,0.566,0.812
8,0.3333,5.5747,132.69,0.526,0.798
9,0.3750,5.1927,132.21,0.504,0.796
10,0.4167,4.6797,132.19,0.480,0.783
11,0.4583,4.1654,132.47,0.459,0.768
12,0.5000,3.5807,132.83,0.444,0.757
13,0.5417,3.0447,133.19,0.429,0.746
14,0.5833,2.7791,133.62,0.408,0.732
15,0.6250,2.5955,134.02,0.379,0.739
16,0.6667,2.3611,134.23,0.395,0.726
17,0.7083,2.1003,134.08,0.330,0.716
18,0.7500,1.5343,133.95,0.308,0.707
19,0.7917,1.3511,134.08,0.323,0.689
20,0.8333,4.5356,134.14,0.611,0.404
21,0.8750,9.2457,134.41,0.651,0.338
22,0.9167,6.1341,135.21,0.651,0.346
23,0.9583,5.1280,133.43,0.560,0.360
24,1.0000,5.8598,133.05,0.485,0.342
25,1.0417,4.9301,134.09,0.507,0.380
26,1.0833,3.9258,134.99,0.523,0.432
27,1.1250,3.3950,135.46,0.501,0.490
28,1.1667,3.3056,136.42,0.460,0.529
29,1.2083,3.4371,137.56,0.401,0.560
30,1.2500,3.4800,139.16,0.347,0.570
31,1.2917,3.6497,141.20,0.401,0.594
32,1.3333,3.2695,143.39,0.417,0.614
33,1.3750,2.6046,145.27,0.373,0.670
34,1.4167,2.7639,146.49,0.472,0.616
35,1.4583,1.5955,146.91,0.432,0.694
36,1.5000,1.8615,147.12,0.518,0.606
37,1.5417,1.9553,147.28,0.536,0.561
38,1.5833,2.1515,147.35,0.554,0.496
39,1.6250,2.5243,147.24,0.585,0.442
40,1.6667,2.7348,146.76,0.636,0.411
41,1.7083,3.5616,146.36,0.670,0.570
42,1.7500,3.5187,147.81,0.696,0.523
43,1.7917,3.5074,148.95,0.728,0.399
44,1.8333,4.6246,149.63,0.769,0.393
45,1.8750,6.9058,148.93,0.818,0.371
46,1.9167,33.4154,147.08,0.704,0.265
47,1.9583,3.8672,114.21,0.279,0.795
48,2.0000,1.5109,113.47,0.492,0.786
49,2.0417,1.9054,112.93,0.409,0.831
50,2.0833,3.2773,111.70,0.412,0.760
51,2.1250,5.2795,109.88,0.531,0.799
52,2.1667,7.6224,109.12,0.581,0.841
53,2.2083,9.6063,109.51,0.615,0.862
54,2.2500,8.7244,113.57,0.558,0.798
55,2.2917,3.7148,118.39,0.369,0.634
56,2.3333,3.5846,119.26,0.262,0.353
57,2.3750,47.8524,121.60,0.687,0.236
58,2.4167,11.4405,168.18,0.330,0.252
59,2.4583,10.8455,177.25,0.365,0.250
60,2.5000,8.8420,184.10,0.396,0.292
61,2.5417,7.1814,184.59,0.408,0.284
62,2.5833,4.7986,183.45,0.437,0.308
63,2.6250,3.5712,182.42,0.390,0.361
64,2.6667,2.9397,182.16,0.354,0.400
65,2.7083,3.2240,182.43,0.356,0.420
66,2.7500,3.0933,182.78,0.383,0.419
67,2.7917,3.0933,183.23,0.378,0.441
68,2.8333,3.2400,183.16,0.376,0.451
69,2.8750,3.0252,183.52,0.389,0.486
70,2.9167,2.8390,183.36,0.396,0.523
71,2.9583,2.8559,183.44,0.426,0.537
72,3.0000,2.4080,183.58,0.441,0.575
73,3.0417,2.1849,183.99,0.474,0.570
74,3.0833,2.0534,183.91,0.488,0.560
75,3.1250,1.8012,183.98,0.520,0.539
76,3.1667,2.0894,183.72,0.510,0.495
77,3.2083,3.2300,183.56,0.421,0.436
78,3.2500,5.7292,182.96,0.370,0.324
79,3.2917,5.4319,182.69,0.381,0.338
80,3.3333,2.4102,182.81,0.516,0.473
81,3.3750,4.5356,182.40,0.411,0.372
82,3.4167,6.7743,181.00,0.358,0.293
83,3.4583,8.8615,177.96,0.325,0.235
84,3.5000,8.4449,173.33,0.336,0.230
85,3.5417,6.8238,169.20,0.338,0.253
86,3.5833,5.9770,167.12,0.321,0.273
87,3.6250,6.2244,164.88,0.298,0.281
88,3.6667,7.4714,164.16,0.267,0.284
89,3.7083,8.0095,165.31,0.284,0.285
90,3.7500,8.0395,167.24,0.343,0.290
91,3.7917,10.8759,168.60,0.475,0.282
92,3.8333,11.5104,166.58,0.453,0.273
93,3.8750,42.1389,164.08,0.629,0.240
94,3.9167,8.4870,127.87,0.301,0.266
95,3.9583,8.2912,127.34,0.289,0.254
96,4.0000,7.9757,127.08,0.278,0.237
97,4.0417,7.8689,126.26,0.270,0.241
98,4.0833,6.8220,125.56,0.264,0.238
99,4.1250,6.2448,125.02,0.268,0.242
100,4.1667,6.3641,124.98,0.265,0.249
101,4.2083,5.9939,124.88,0.265,0.247
102,4.2500,5.6771,124.88,0.272,0.248
103,4.2917,5.3451,124.89,0.282,0.230
104,4.3333,4.7682,124.56,0.285,0.224
105,4.3750,4.5026,124.63,0.325,0.240
106,4.4167,4.5924,124.49,0.365,0.255
