frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.3468,42.64,0.226,0.438
1,0.0417,0.0668,42.99,0.244,0.248
2,0.0833,0.1359,43.04,0.207,0.342
3,0.1250,0.0694,43.18,0.294,0.349
4,0.1667,0.4727,43.22,0.350,0.420
5,0.2083,0.8021,43.55,0.613,0.475
6,0.2500,2.6398,43.74,0.637,0.500
7,0.2917,3.8859,43.98,0.656,0.498
8,0.3333,4.7118,44.25,0.669,0.501
9,0.3750,5.3971,44.39,0.702,0.500
10,0.4167,5.6328,44.31,0.727,0.498
11,0.4583,5.8451,44.42,0.768,0.496
12,0.5000,6.1445,44.34,0.796,0.498
13,0.5417,6.1480,44.38,0.800,0.496
14,0.5833,4.7361,44.66,0.789,0.497
15,0.6250,3.6884,43.04,0.730,0.488
16,0.6667,3.9870,41.97,0.679,0.484
17,0.7083,3.5751,41.55,0.680,0.486
18,0.7500,3.6033,41.24,0.650,0.482
19,0.7917,4.2808,41.69,0.702,0.490
20,0.8333,13.1923,42.34,0.748,0.497
21,0.8750,1.5430,35.00,0.426,0.451
22,0.9167,1.1992,35.54,0.458,0.461
23,0.9583,1.6780,35.84,0.428,0.445
24,1.0000,1.3906,36.63,0.453,0.456
25,1.0417,1.5204,37.03,0.438,0.460
26,1.0833,1.4444,37.73,0.469,0.440
27,1.1250,1.3385,38.23,0.460,0.429
28,1.1667,1.2070,38.80,0.495,0.465
29,1.2083,0.9852,39.18,0.564,0.476
30,1.2500,1.1107,39.38,0.534,0.461
31,1.2917,0.8928,39.63,0.592,0.477
32,1.3333,0.8889,39.73,0.548,0.445
33,1.3750,0.6424,39.93,0.618,0.469
34,1.4167,0.7049,39.98,0.535,0.441
35,1.4583,0.4258,40.18,0.664,0.491
36,1.5000,0.3707,40.20,0.564,0.444
37,1.5417,0.2786,40.25,0.644,0.489
38,1.5833,0.3976,40.11,0.469,0.434
39,1.6250,0.2912,40.14,0.657,0.499
40,1.6667,0.4067,39.93,0.628,0.479
41,1.7083,0.4475,39.67,0.672,0.501
42,1.7500,0.5681,39.26,0.528,0.465
43,1.7917,0.2778,39.13,0.681,0.493
44,1.8333,0.1567,38.90,0.516,0.461
45,1.8750,0.0673,38.87,0.515,0.562
46,1.9167,0.2717,38.86,0.333,0.480
47,1.9583,0.1549,39.08,0.540,0.770
48,2.0000,0.2305,39.11,0.512,0.760
49,2.0417,0.2587,39.19,0.624,0.844
50,2.0833,0.4887,39.22,0.489,0.671
51,2.1250,0.3220,39.47,0.704,0.874
52,2.1667,0.3481,39.49,0.660,0.783
53,2.2083,0.2956,39.57,0.741,0.817
54,2.2500,0.3516,39.56,0.625,0.686
55,2.2917,0.2339,39.68,0.752,0.762
56,2.3333,0.4167,39.70,0.469,0.533
57,2.3750,0.1918,39.96,0.745,0.707
58,2.4167,0.2118,39.99,0.577,0.560
59,2.4583,0.1367,40.09,0.734,0.654
60,2.5000,0.3403,40.09,0.390,0.456
61,2.5417,0.0959,40.35,0.634,0.569
62,2.5833,0.1107,40.36,0.432,0.484
63,2.6250,0.0842,40.42,0.650,0.513
64,2.6667,0.2960,40.37,0.359,0.412
65,2.7083,0.0842,40.57,0.608,0.479
66,2.7500,0.0951,40.55,0.579,0.541
67,2.7917,0.0942,40.56,0.711,0.575
68,2.8333,0.1220,40.53,0.684,0.609
69,2.8750,0.2114,40.53,0.564,0.554
70,2.9167,0.1771,40.64,0.707,0.622
71,2.9583,0.4536,40.61,0.567,0.538
72,3.0000,0.3121,40.84,0.681,0.607
73,3.0417,0.3533,40.94,0.657,0.571
74,3.0833,0.3698,40.92,0.707,0.586
75,3.1250,0.5230,40.98,0.572,0.508
76,3.1667,27.3602,40.90,0.401,0.464
77,3.2083,2.7422,33.77,0.622,0.737
78,3.2500,3.3563,35.03,0.618,0.715
79,3.2917,3.8607,36.54,0.620,0.703
80,3.3333,3.9193,37.93,0.612,0.657
81,3.3750,3.2604,39.24,0.600,0.616
82,3.4167,2.1185,40.48,0.587,0.577
83,3.4583,1.3051,41.47,0.499,0.484
84,3.5000,0.5395,42.44,0.496,0.402
85,3.5417,0.3681,42.93,0.502,0.393
86,3.5833,0.4093,43.29,0.449,0.429
87,3.6250,0.2331,43.69,0.497,0.414
88,3.6667,0.2778,43.89,0.485,0.473
89,3.7083,1.9583,44.12,0.559,0.564
90,3.7500,2.2635,43.24,0.555,0.569
91,3.7917,4.0651,42.44,0.524,0.557
92,3.8333,4.7964,40.02,0.505,0.490
93,3.8750,5.2956,38.97,0.501,0.467
94,3.9167,5.2444,40.27,0.501,0.485
95,3.9583,6.2509,44.07,0.510,0.492
96,4.0000,7.8819,48.36,0.496,0.490
97,4.0417,10.1836,51.09,0.490,0.468
98,4.0833,15.0924,55.65,0.502,0.490
99,4.1250,21.2869,65.86,0.509,0.520
100,4.1667,23.0399,83.02,0.497,0.558
101,4.2083,19.3589,101.78,0.497,0.503
102,4.2500,18.6276,117.09,0.498,0.495
103,4.2917,21.3303,131.29,0.556,0.468
104,4.3333,12.1944,144.30,0.401,0.442
105,4.3750,6.5247,147.21,0.438,0.365
