frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,6.3481,40.27,0.235,0.738
1,0.0334,4.4076,39.23,0.270,0.696
2,0.0667,2.7539,38.26,0.269,0.688
3,0.1001,2.0139,37.67,0.323,0.648
4,0.1335,1.4774,36.94,0.327,0.633
5,0.1668,2.4891,36.93,0.545,0.679
6,0.2002,1.3151,36.39,0.365,0.605
7,0.2336,0.9601,36.64,0.335,0.626
8,0.2669,0.9631,36.66,0.366,0.574
9,0.3003,0.8147,36.98,0.325,0.625
10,0.3337,0.6328,37.25,0.256,0.678
11,0.3670,0.9444,37.59,0.410,0.529
12,0.4004,0.8780,37.79,0.298,0.602
13,0.4338,1.2005,38.34,0.416,0.535
14,0.4671,1.3194,38.55,0.334,0.595
15,0.5005,1.5573,39.27,0.220,0.673
16,0.5339,3.6293,40.44,0.267,0.674
17,0.5672,4.8481,43.16,0.273,0.696
18,0.6006,4.5161,45.65,0.442,0.670
19,0.6340,2.7773,46.48,0.437,0.612
20,0.6673,1.4666,47.39,0.261,0.717
21,0.7007,1.9874,47.14,0.455,0.503
22,0.7341,1.7630,47.13,0.493,0.510
23,0.7674,1.3607,46.98,0.487,0.509
24,0.8008,0.8333,47.25,0.408,0.585
25,0.8342,0.5516,47.27,0.279,0.548
26,0.8675,0.7131,47.26,0.404,0.449
27,0.9009,0.5091,47.22,0.379,0.443
28,0.9343,0.6402,47.22,0.392,0.417
29,0.9676,0.5477,47.39,0.261,0.382
30,1.0010,0.5356,47.28,0.249,0.391
31,1.0344,0.8385,47.39,0.305,0.415
32,1.0677,0.8494,47.17,0.269,0.439
33,1.1011,1.1393,47.34,0.340,0.468
34,1.1345,1.1745,47.05,0.270,0.558
35,1.1678,1.7752,46.80,0.271,0.624
36,1.2012,14.0747,46.28,0.267,0.719
37,1.2346,2.6862,39.54,0.374,0.675
38,1.2679,5.6007,39.50,0.223,0.698
39,1.3013,4.0152,42.60,0.296,0.666
40,1.3347,4.9336,42.83,0.301,0.657
41,1.3680,7.2387,42.94,0.299,0.662
42,1.4014,8.6819,43.18,0.308,0.680
43,1.4348,7.5017,42.34,0.342,0.664
44,1.4681,6.1957,41.36,0.351,0.637
45,1.5015,4.9444,40.31,0.337,0.671
46,1.5349,4.4931,40.67,0.313,0.641
47,1.5682,3.9809,41.10,0.352,0.686
48,1.6016,3.9653,41.83,0.454,0.750
49,1.6350,3.2543,41.94,0.475,0.777
50,1.6683,3.2418,42.11,0.518,0.766
51,1.7017,1.5569,42.41,0.342,0.751
52,1.7351,2.8615,42.66,0.553,0.782
53,1.7684,3.2930,42.74,0.572,0.769
54,1.8018,3.4414,42.73,0.588,0.764
55,1.8352,3.8963,42.07,0.576,0.763
56,1.8685,1.8993,41.89,0.360,0.776
57,1.9019,4.4353,41.26,0.590,0.734
58,1.9353,4.3928,40.87,0.615,0.707
59,1.9686,4.2431,40.51,0.593,0.716
60,2.0020,4.1046,40.10,0.580,0.709
61,2.0354,1.6745,39.61,0.336,0.679
62,2.0687,5.3199,39.44,0.476,0.649
63,2.1021,5.2522,39.55,0.420,0.653
64,2.1355,4.7391,39.24,0.410,0.691
65,2.1688,3.8993,40.63,0.513,0.694
66,2.2022,3.5004,40.72,0.380,0.745
67,2.2356,3.8490,43.24,0.592,0.742
68,2.2689,4.7339,44.94,0.599,0.707
69,2.3023,4.9948,46.85,0.601,0.733
70,2.3357,4.9028,48.85,0.591,0.737
71,2.3690,2.3585,50.70,0.348,0.716
72,2.4024,4.3720,52.32,0.591,0.702
73,2.4358,4.3971,53.53,0.618,0.675
74,2.4691,4.3377,54.36,0.631,0.680
75,2.5025,4.3073,54.50,0.621,0.706
76,2.5359,1.9167,54.11,0.376,0.670
77,2.5692,3.9939,53.84,0.649,0.711
78,2.6026,3.9896,53.26,0.667,0.692
79,2.6360,36.2882,52.61,0.756,0.282
80,2.6693,3.4996,84.70,0.642,0.720
81,2.7027,24.2001,84.32,0.693,0.293
82,2.7361,6.2231,61.05,0.668,0.554
83,2.7694,6.3064,60.29,0.664,0.538
84,2.8028,5.8459,59.13,0.607,0.581
85,2.8362,5.4540,58.96,0.546,0.672
86,2.8695,3.1706,58.85,0.373,0.598
87,2.9029,5.4648,58.51,0.535,0.654
88,2.9363,13.2895,58.20,0.340,0.714
89,2.9696,4.3941,49.57,0.535,0.640
90,3.0030,4.9848,49.24,0.491,0.670
91,3.0364,4.2153,48.74,0.317,0.700
92,3.0697,4.3455,50.15,0.470,0.680
93,3.1031,3.7036,51.20,0.472,0.679
94,3.1365,3.1337,51.69,0.499,0.668
95,3.1698,3.1302,52.06,0.480,0.667
96,3.2032,1.8919,52.99,0.357,0.562
97,3.2366,4.9727,53.38,0.388,0.668
98,3.2699,4.7934,51.37,0.405,0.642
99,3.3033,4.3238,49.93,0.415,0.614
100,3.3367,3.7760,48.17,0.382,0.662
101,3.3700,2.0208,46.58,0.316,0.585
102,3.4034,2.5668,46.69,0.436,0.575
103,3.4368,3.0404,47.28,0.362,0.623
104,3.4701,2.7938,46.27,0.368,0.555
105,3.5035,2.7682,45.65,0.276,0.609
106,3.5369,3.4188,45.16,0.231,0.580
107,3.5702,3.8906,44.48,0.291,0.603
108,3.6036,4.4809,44.26,0.318,0.588
109,3.6370,4.9566,44.05,0.298,0.616
110,3.6703,4.9861,43.93,0.271,0.653
111,3.7037,3.3585,45.02,0.287,0.667
112,3.7371,4.6471,45.31,0.293,0.563
113,3.7704,4.8346,46.63,0.270,0.571
114,3.8038,4.7635,47.66,0.275,0.601
115,3.8372,5.1632,47.35,0.248,0.583
116,3.8705,3.7973,45.83,0.246,0.671
117,3.9039,14.8099,45.83,0.631,0.349
118,3.9373,7.2752,49.30,0.616,0.393
119,3.9706,4.5009,49.93,0.560,0.444
120,4.0040,3.0482,49.68,0.327,0.588
121,4.0374,4.2561,49.00,0.435,0.484
122,4.0707,3.3689,49.54,0.424,0.543
123,4.1041,3.2413,49.54,0.449,0.556
124,4.1375,3.8225,49.63,0.452,0.539
125,4.1708,3.5143,49.67,0.325,0.607
126,4.2042,5.4961,49.98,0.363,0.498
127,4.2376,6.4071,51.04,0.383,0.497
128,4.2709,5.6762,52.01,0.433,0.509
129,4.3043,4.2127,52.08,0.349,0.607
130,4.3377,3.5790,52.03,0.328,0.634
131,4.3710,2.9193,52.02,0.267,0.644
132,4.4044,3.1497,52.00,0.382,0.619
133,4.4378,3.6502,51.77,0.508,0.508
134,4.4711,3.0842,51.54,0.461,0.544
135,4.5045,2.1671,51.31,0.330,0.647
136,4.5379,2.6155,50.99,0.409,0.545
137,4.5712,2.5647,51.08,0.446,0.561
138,4.6046,2.8194,50.79,0.435,0.544
139,4.6380,2.2951,50.43,0.329,0.620
140,4.6713,2.3507,49.99,0.310,0.639
141,4.7047,1.7574,49.42,0.304,0.561
142,4.7381,1.9045,49.82,0.391,0.519
