frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0204,0.14,0.504,1.000
1,0.0167,0.0282,0.12,0.508,1.000
2,0.0333,0.0052,0.09,0.499,1.000
3,0.0500,0.0738,0.09,0.502,0.994
4,0.0667,0.2461,0.16,0.506,0.997
5,0.0833,0.5647,0.41,0.506,0.973
6,0.1000,1.0556,0.97,0.506,0.933
7,0.1167,1.4674,1.80,0.506,0.868
8,0.1333,2.3008,2.91,0.509,0.857
9,0.1500,2.6940,3.58,0.501,0.825
10,0.1667,2.3841,3.64,0.498,0.766
11,0.1833,1.9701,3.65,0.499,0.712
12,0.2000,1.6007,3.66,0.497,0.673
13,0.2167,1.3455,3.67,0.497,0.640
14,0.2333,1.4653,3.68,0.532,0.708
15,0.2500,1.6141,4.05,0.558,0.750
16,0.2667,1.5469,4.31,0.570,0.762
17,0.2833,1.7535,4.47,0.586,0.791
18,0.3000,2.2292,4.96,0.620,0.840
19,0.3167,2.6003,5.54,0.646,0.844
20,0.3333,3.3698,6.30,0.683,0.853
21,0.3500,3.9362,7.24,0.671,0.841
22,0.3667,4.6641,7.89,0.680,0.828
23,0.3833,5.1936,8.46,0.676,0.805
24,0.4000,6.8403,9.21,0.690,0.799
25,0.4167,8.2678,9.81,0.687,0.784
26,0.4333,8.9119,10.11,0.674,0.757
27,0.4500,9.7318,10.42,0.660,0.728
28,0.4667,10.7578,10.56,0.639,0.697
29,0.4833,11.1128,10.60,0.615,0.673
30,0.5000,11.0061,10.66,0.586,0.647
31,0.5167,10.8694,10.80,0.574,0.630
32,0.5333,9.9479,10.77,0.566,0.619
33,0.5500,8.2309,10.95,0.568,0.614
34,0.5667,6.5503,10.99,0.590,0.618
35,0.5833,4.9193,11.08,0.606,0.619
36,0.6000,3.4661,11.14,0.648,0.624
37,0.6167,2.5634,11.20,0.700,0.609
38,0.6333,2.1875,11.27,0.742,0.579
39,0.6500,1.8181,11.37,0.746,0.548
40,0.6667,1.4405,11.44,0.744,0.514
41,0.6833,1.0868,11.55,0.737,0.498
42,0.7000,0.8581,11.66,0.728,0.481
43,0.7167,0.6970,11.74,0.720,0.479
44,0.7333,0.6128,11.84,0.714,0.465
45,0.7500,0.5312,11.94,0.720,0.459
46,0.7667,0.4618,11.99,0.714,0.451
47,0.7833,1.9019,12.05,0.267,0.372
48,0.8000,0.2960,13.56,0.716,0.454
49,0.8167,0.1380,13.60,0.682,0.470
50,0.8333,0.1671,13.62,0.710,0.455
51,0.8500,0.3876,13.66,0.735,0.444
52,0.8667,0.4787,13.67,0.752,0.438
53,0.8833,0.5677,13.69,0.763,0.434
54,0.9000,0.5512,13.70,0.770,0.436
55,0.9167,0.4974,13.72,0.778,0.436
56,0.9333,0.3524,13.72,0.781,0.437
57,0.9500,0.1289,13.71,0.781,0.440
58,0.9667,0.1402,13.71,0.736,0.461
59,0.9833,0.2283,13.69,0.722,0.462
60,1.0000,0.2526,13.69,0.728,0.457
61,1.0167,0.2964,13.68,0.674,0.465
62,1.0333,0.3216,13.64,0.648,0.468
63,1.0500,0.3290,13.56,0.618,0.474
64,1.0667,0.3125,13.49,0.554,0.474
65,1.0833,0.2322,13.37,0.458,0.508
66,1.1000,0.2852,13.27,0.428,0.491
