frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,2.7287,163.16,0.501,0.596
1,0.0417,3.9345,161.32,0.532,0.507
2,0.0833,6.6549,161.91,0.521,0.515
3,0.1250,8.4258,163.33,0.420,0.633
4,0.1667,4.3958,163.69,0.496,0.552
5,0.2083,3.6289,164.05,0.460,0.618
6,0.2500,3.6385,164.20,0.393,0.690
7,0.2917,3.8385,163.99,0.344,0.731
8,0.3333,2.8442,163.85,0.341,0.743
9,0.3750,2.0334,163.44,0.333,0.760
10,0.4167,1.2721,163.24,0.328,0.773
11,0.4583,0.9431,162.99,0.308,0.816
12,0.5000,0.7070,162.84,0.296,0.829
13,0.5417,0.5174,162.70,0.280,0.822
14,0.5833,0.3885,162.63,0.282,0.808
15,0.6250,0.2826,162.55,0.269,0.797
16,0.6667,0.2092,162.53,0.260,0.804
17,0.7083,0.1545,162.51,0.257,0.800
18,0.7500,0.1055,162.49,0.283,0.792
19,0.7917,0.6163,162.47,0.391,0.673
20,0.8333,17.3581,162.52,0.402,0.636
21,0.8750,35.9466,163.65,0.369,0.626
22,0.9167,23.5095,165.63,0.393,0.642
23,0.9583,18.1059,157.52,0.321,0.702
24,1.0000,16.5043,152.04,0.311,0.735
25,1.0417,15.4648,147.44,0.310,0.756
26,1.0833,14.1936,144.04,0.308,0.775
27,1.1250,11.2118,141.98,0.335,0.769
28,1.1667,8.3746,141.18,0.347,0.782
29,1.2083,4.6571,141.12,0.378,0.756
30,1.2500,1.3906,140.93,0.406,0.767
31,1.2917,3.7309,140.98,0.378,0.835
32,1.3333,4.5360,141.92,0.382,0.814
33,1.3750,2.0421,143.07,0.398,0.793
34,1.4167,5.1168,142.56,0.381,0.821
35,1.4583,1.2743,141.16,0.399,0.789
36,1.5000,3.6693,140.70,0.402,0.760
37,1.5417,5.2461,140.51,0.407,0.763
38,1.5833,7.1398,140.19,0.428,0.742
39,1.6250,9.2209,139.11,0.433,0.742
40,1.6667,10.6927,137.50,0.419,0.741
41,1.7083,10.2283,135.98,0.421,0.764
42,1.7500,12.2066,137.14,0.432,0.770
43,1.7917,14.8077,139.29,0.487,0.763
44,1.8333,20.1428,142.49,0.565,0.737
45,1.8750,28.9718,139.37,0.663,0.713
46,1.9167,132.2513,132.19,0.405,0.536
47,1.9583,0.5421,0.66,0.414,0.493
48,2.0000,0.9089,0.66,0.460,0.496
49,2.0417,0.4766,1.29,0.437,0.495
50,2.0833,0.3928,1.29,0.421,0.499
51,2.1250,1.4436,1.28,0.589,0.498
52,2.1667,0.3207,2.45,0.479,0.500
53,2.2083,0.2530,2.45,0.490,0.497
54,2.2500,0.1784,2.44,0.483,0.495
55,2.2917,0.1250,2.44,0.471,0.497
56,2.3333,0.3615,2.45,0.463,0.499
57,2.3750,167.6584,2.45,0.482,0.467
58,2.4167,6.5460,169.12,0.533,0.500
59,2.4583,7.6523,170.32,0.578,0.504
60,2.5000,7.9787,171.64,0.569,0.513
61,2.5417,7.7344,171.84,0.567,0.528
62,2.5833,6.0382,171.93,0.553,0.532
63,2.6250,2.4349,171.92,0.547,0.491
64,2.6667,1.0391,172.17,0.470,0.517
65,2.7083,0.9236,172.13,0.512,0.506
66,2.7500,1.5738,172.11,0.492,0.494
67,2.7917,1.4666,172.38,0.538,0.488
68,2.8333,1.5382,172.04,0.524,0.486
69,2.8750,1.5959,171.84,0.570,0.502
70,2.9167,1.6823,171.05,0.530,0.480
71,2.9583,2.0482,170.53,0.538,0.499
72,3.0000,2.0195,169.92,0.500,0.529
73,3.0417,2.0503,169.60,0.524,0.506
74,3.0833,2.1936,168.79,0.505,0.508
