frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,41.9501,184.00,0.252,0.774
1,0.0333,1.2604,144.63,0.492,0.294
2,0.0667,1.0764,144.75,0.487,0.325
3,0.1000,2.0412,144.71,0.378,0.551
4,0.1333,11.9718,145.59,0.264,0.723
5,0.1667,12.6081,155.91,0.276,0.726
6,0.2000,11.6615,163.52,0.277,0.723
7,0.2333,10.8676,169.52,0.282,0.724
8,0.2667,8.9640,173.44,0.293,0.717
9,0.3000,7.8663,176.05,0.296,0.718
10,0.3333,6.9787,178.57,0.289,0.708
11,0.3667,6.1918,180.42,0.299,0.689
12,0.4000,5.9826,181.71,0.296,0.689
13,0.4333,5.8147,182.51,0.309,0.677
14,0.4667,4.9622,182.86,0.315,0.661
15,0.5000,4.7969,182.98,0.323,0.668
16,0.5333,4.9653,182.74,0.313,0.674
17,0.5667,4.7457,182.10,0.311,0.679
18,0.6000,4.5438,181.39,0.303,0.686
19,0.6333,3.9900,180.85,0.299,0.686
20,0.6667,3.8872,180.59,0.294,0.697
21,0.7000,4.0252,180.74,0.278,0.705
22,0.7333,4.1615,181.03,0.268,0.718
23,0.7667,4.2101,181.24,0.259,0.735
24,0.8000,4.1515,181.71,0.263,0.737
25,0.8333,4.1897,181.92,0.278,0.722
26,0.8667,3.9839,182.10,0.297,0.712
27,0.9000,3.7313,182.20,0.319,0.703
28,0.9333,3.5126,182.22,0.336,0.689
29,0.9667,3.3841,182.26,0.343,0.683
30,1.0000,2.9523,182.17,0.368,0.677
31,1.0333,2.7895,182.20,0.369,0.669
32,1.0667,2.5221,182.10,0.388,0.660
33,1.1000,2.5386,182.15,0.397,0.653
34,1.1333,2.4266,182.04,0.420,0.638
35,1.1667,2.3485,182.02,0.429,0.620
36,1.2000,2.1814,182.07,0.452,0.601
37,1.2333,2.0907,181.96,0.461,0.577
38,1.2667,1.9939,181.98,0.484,0.557
39,1.3000,1.8945,181.87,0.510,0.517
40,1.3333,1.8550,181.83,0.535,0.497
41,1.3667,1.8095,181.66,0.560,0.466
42,1.4000,1.7726,181.65,0.587,0.451
43,1.4333,1.8268,181.53,0.605,0.425
44,1.4667,2.3368,181.58,0.541,0.485
45,1.5000,3.1918,181.89,0.466,0.552
46,1.5333,3.8164,182.78,0.436,0.573
47,1.5667,4.6315,183.60,0.406,0.596
48,1.6000,4.3533,184.53,0.423,0.582
49,1.6333,8.6975,184.72,0.338,0.667
50,1.6667,8.7973,179.36,0.343,0.659
51,1.7000,7.4006,173.27,0.366,0.641
52,1.7333,6.9544,168.09,0.374,0.628
53,1.7667,6.6571,163.54,0.388,0.615
54,1.8000,5.8234,159.24,0.414,0.574
55,1.8333,4.9518,156.17,0.451,0.488
56,1.8667,5.5573,154.52,0.435,0.483
57,1.9000,5.2999,152.83,0.451,0.487
58,1.9333,4.8767,151.15,0.471,0.482
59,1.9667,4.6259,149.59,0.491,0.475
60,2.0000,4.0447,148.07,0.531,0.437
61,2.0333,3.2930,146.97,0.609,0.360
62,2.0667,2.9557,146.63,0.663,0.313
63,2.1000,2.8906,146.53,0.674,0.306
64,2.1333,2.8251,146.41,0.676,0.309
65,2.1667,2.7352,146.31,0.686,0.316
66,2.2000,2.6966,146.08,0.683,0.321
67,2.2333,2.6107,146.03,0.690,0.319
68,2.2667,2.4935,145.82,0.696,0.327
69,2.3000,2.5065,145.72,0.697,0.324
70,2.3333,2.4701,145.74,0.706,0.324
71,2.3667,2.4232,145.54,0.707,0.329
72,2.4000,2.3976,145.58,0.711,0.333
73,2.4333,2.3164,145.37,0.706,0.331
74,2.4667,2.3611,145.32,0.704,0.336
75,2.5000,2.2865,145.42,0.704,0.337
76,2.5333,2.0269,145.30,0.719,0.323
77,2.5667,112.0078,145.30,0.682,0.476
78,2.6000,0.9049,37.93,0.519,0.806
79,2.6333,14.5829,38.13,0.467,0.890
80,2.6667,18.8390,51.39,0.502,0.860
81,2.7000,36.3043,69.34,0.519,0.729
82,2.7333,29.4167,104.48,0.521,0.587
83,2.7667,14.8915,131.49,0.467,0.541
84,2.8000,22.4596,142.21,0.486,0.479
85,2.8333,11.1723,159.18,0.466,0.461
86,2.8667,17.0985,165.75,0.473,0.427
87,2.9000,12.8672,175.94,0.462,0.396
88,2.9333,5.4110,183.20,0.467,0.385
89,2.9667,7.6593,185.82,0.475,0.376
90,3.0000,2.6662,189.63,0.472,0.360
91,3.0333,3.3082,190.89,0.433,0.413
92,3.0667,2.7995,192.39,0.248,0.558
93,3.1000,4.2995,193.78,0.227,0.580
94,3.1333,8.8563,196.00,0.206,0.575
95,3.1667,7.7826,201.17,0.393,0.514
96,3.2000,2.8663,201.51,0.485,0.600
97,3.2333,2.3694,202.93,0.512,0.583
98,3.2667,0.9184,203.85,0.563,0.571
99,3.3000,1.3268,204.16,0.507,0.526
100,3.3333,0.6189,204.43,0.545,0.511
101,3.3667,1.0109,204.35,0.573,0.476
102,3.4000,0.9115,204.13,0.605,0.443
103,3.4333,0.8785,203.77,0.784,0.535
104,3.4667,1.6923,203.35,0.820,0.559
105,3.5000,0.7773,202.22,0.806,0.543
106,3.5333,1.7882,201.70,0.821,0.565
107,3.5667,1.7148,200.53,0.829,0.570
108,3.6000,0.7487,199.47,0.808,0.559
109,3.6333,1.0200,199.00,0.800,0.558
110,3.6667,41.4740,198.39,0.549,0.298
111,3.7000,4.3338,232.05,0.455,0.546
112,3.7333,14.0764,232.51,0.481,0.359
113,3.7667,8.6775,224.49,0.468,0.391
114,3.8000,10.3411,219.85,0.470,0.377
115,3.8333,4.0629,214.33,0.518,0.416
116,3.8667,7.5734,212.31,0.554,0.459
117,3.9000,5.3685,207.43,0.494,0.490
118,3.9333,1.8125,203.83,0.461,0.481
119,3.9667,2.1380,202.54,0.464,0.489
120,4.0000,0.6801,201.18,0.486,0.450
121,4.0333,0.1888,200.63,0.517,0.386
122,4.0667,8.4891,200.55,0.479,0.321
123,4.1000,10.9944,194.66,0.474,0.337
124,4.1333,32.0104,188.15,0.493,0.362
125,4.1667,50.0139,179.91,0.486,0.438
126,4.2000,31.3624,175.29,0.520,0.474
127,4.2333,45.5425,186.20,0.513,0.487
128,4.2667,34.5742,190.48,0.476,0.532
129,4.3000,41.4822,189.36,0.476,0.531
130,4.3333,26.1345,205.48,0.476,0.521
131,4.3667,11.4644,217.50,0.469,0.520
132,4.4000,11.8129,223.39,0.484,0.525
133,4.4333,5.2257,230.80,0.488,0.499
134,4.4667,8.1949,231.88,0.474,0.458
135,4.5000,7.9492,228.66,0.478,0.479
136,4.5333,3.9918,224.71,0.479,0.476
137,4.5667,7.5760,222.98,0.466,0.484
138,4.6000,3.6892,219.72,0.463,0.493
139,4.6333,6.5391,218.43,0.456,0.500
140,4.6667,5.6341,216.09,0.451,0.508
141,4.7000,2.3837,214.51,0.438,0.508
142,4.7333,3.4523,213.88,0.437,0.504
143,4.7667,1.1168,213.08,0.439,0.499
144,4.8000,0.7561,212.76,0.482,0.493
145,4.8333,2.1506,212.80,0.446,0.466
146,4.8667,1.9661,213.03,0.440,0.481
147,4.9000,5.8060,213.30,0.445,0.488
148,4.9333,4.2669,213.99,0.441,0.495
149,4.9667,10.6120,214.65,0.461,0.498
150,5.0000,14.0048,216.41,0.474,0.493
151,5.0333,9.5647,219.03,0.473,0.494
152,5.0667,19.8411,220.83,0.490,0.492
153,5.1000,13.3832,225.39,0.493,0.493
154,5.1333,20.1202,228.60,0.506,0.614
155,5.1667,5.0469,229.64,0.508,0.626
156,5.2000,1.8624,230.32,0.506,0.777
157,5.2333,6.2057,228.81,0.501,0.804
158,5.2667,3.0030,223.03,0.507,0.735
159,5.3000,5.4787,220.65,0.513,0.716
160,5.3333,6.2826,217.56,0.517,0.697
161,5.3667,3.9431,215.42,0.505,0.677
162,5.4000,6.1050,214.08,0.500,0.678
163,5.4333,3.4345,213.01,0.480,0.708
164,5.4667,5.4727,212.83,0.488,0.700
165,5.5000,4.4266,212.22,0.485,0.643
166,5.5333,2.9692,210.52,0.496,0.652
167,5.5667,8.9944,209.49,0.509,0.699
168,5.6000,4.6324,206.91,0.500,0.741
169,5.6333,3.2951,205.96,0.510,0.686
170,5.6667,0.4670,204.92,0.522,0.604
171,5.7000,0.1102,204.93,0.523,0.589
172,5.7333,0.1081,204.96,0.572,0.481
173,5.7667,0.1120,205.04,0.617,0.503
174,5.8000,205.0187,205.02,0.500,0.460
175,5.8333,0.4158,0.00,0.413,0.505
176,5.8667,9.3568,0.42,0.495,0.506
177,5.9000,8.6341,9.77,0.542,0.507
178,5.9333,5.2821,18.18,0.446,0.502
179,5.9667,10.7188,22.90,0.445,0.507
180,6.0000,12.6415,25.66,0.396,0.508
181,6.0333,9.6914,27.06,0.342,0.507
182,6.0667,8.2326,27.60,0.350,0.507
183,6.1000,6.3763,28.78,0.320,0.507
184,6.1333,4.8859,29.98,0.288,0.506
185,6.1667,3.7882,30.79,0.272,0.507
