frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.2305,66.39,0.440,0.480
1,0.0167,0.1332,66.58,0.436,0.457
2,0.0334,0.1515,66.56,0.424,0.484
3,0.0501,0.1901,66.62,0.449,0.436
4,0.0667,0.1758,66.51,0.441,0.447
5,0.0834,0.1111,66.66,0.418,0.450
6,0.1001,0.1085,66.63,0.453,0.460
7,0.1168,0.1853,66.67,0.419,0.424
8,0.1335,0.2595,66.52,0.421,0.438
9,0.1502,0.1502,66.72,0.389,0.468
10,0.1668,0.1510,66.70,0.366,0.440
11,0.1835,0.1875,66.74,0.387,0.476
12,0.2002,0.2578,66.62,0.464,0.453
13,0.2169,0.1580,66.82,0.435,0.479
14,0.2336,0.1623,66.78,0.435,0.470
15,0.2503,0.2305,66.83,0.421,0.462
16,0.2669,0.5069,66.66,0.459,0.451
17,0.2836,0.3837,66.95,0.443,0.465
18,0.3003,0.3468,66.89,0.458,0.456
19,0.3170,0.4510,66.95,0.450,0.458
20,0.3337,1.0369,66.70,0.505,0.402
21,0.3504,1.0117,66.13,0.525,0.405
22,0.3670,0.2552,65.32,0.518,0.400
23,0.3837,1.6172,65.19,0.530,0.403
24,0.4004,0.7665,64.87,0.525,0.409
25,0.4171,0.7921,64.56,0.526,0.400
26,0.4338,1.0712,64.79,0.546,0.387
27,0.4505,0.7205,64.55,0.513,0.378
28,0.4671,0.7426,64.49,0.542,0.368
29,0.4838,0.0998,64.30,0.401,0.415
30,0.5005,0.5872,64.24,0.538,0.370
31,0.5172,0.4089,64.38,0.496,0.374
32,0.5339,0.4440,64.05,0.491,0.379
33,0.5506,0.4579,64.31,0.510,0.372
34,0.5672,0.1879,64.12,0.449,0.378
35,0.5839,0.5720,64.12,0.516,0.370
36,0.6006,0.2101,63.87,0.441,0.349
37,0.6173,0.3485,63.87,0.484,0.353
38,0.6340,0.2444,63.75,0.441,0.444
39,0.6507,0.2014,63.86,0.415,0.443
40,0.6673,0.2140,63.76,0.456,0.408
41,0.6840,0.3281,63.81,0.441,0.419
42,0.7007,0.2166,63.55,0.418,0.452
43,0.7174,0.1602,63.72,0.416,0.428
44,0.7341,0.1220,63.66,0.357,0.469
45,0.7508,0.2682,63.70,0.425,0.420
46,0.7674,0.3025,63.52,0.470,0.392
47,0.7841,0.1949,63.76,0.482,0.417
48,0.8008,0.2652,63.73,0.491,0.366
49,0.8175,0.2895,63.83,0.480,0.425
50,0.8342,0.5343,63.62,0.511,0.400
51,0.8509,0.2960,64.03,0.477,0.434
52,0.8675,0.3937,64.04,0.496,0.406
53,0.8842,0.4102,64.28,0.483,0.453
54,0.9009,0.2730,64.07,0.518,0.364
55,0.9176,0.4735,64.27,0.535,0.369
56,0.9343,0.4193,64.30,0.512,0.353
57,0.9510,0.3581,64.65,0.529,0.339
58,0.9676,0.4670,64.84,0.526,0.328
59,0.9843,0.2613,65.06,0.498,0.418
60,1.0010,0.7188,64.96,0.526,0.321
61,1.0177,0.7266,65.57,0.534,0.317
62,1.0344,1.8915,65.86,0.501,0.297
63,1.0511,1.7747,67.40,0.516,0.323
64,1.0677,0.4640,68.18,0.489,0.367
65,1.0844,0.9952,68.39,0.465,0.397
66,1.1011,0.6293,68.46,0.489,0.400
67,1.1178,0.5030,68.76,0.477,0.403
68,1.1345,0.5564,68.87,0.480,0.395
