frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0221,0.54,0.488,0.480
1,0.0417,0.0347,0.56,0.499,0.494
2,0.0833,0.1845,0.56,0.493,0.493
3,0.1250,0.6424,0.55,0.508,0.496
4,0.1667,0.1593,0.89,0.500,0.507
5,0.2083,0.1007,0.93,0.503,0.511
6,0.2500,0.2548,0.92,0.499,0.500
7,0.2917,0.1124,0.98,0.500,0.498
8,0.3333,0.0742,0.98,0.491,0.503
9,0.3750,1.0833,1.02,0.497,0.501
10,0.4167,1.9054,1.21,0.508,0.499
11,0.4583,2.6866,1.46,0.510,0.506
12,0.5000,4.1493,2.44,0.693,0.508
13,0.5417,0.7422,5.51,0.443,0.502
14,0.5833,1.3086,5.70,0.360,0.412
15,0.6250,1.5256,6.77,0.423,0.488
16,0.6667,1.8976,7.03,0.453,0.497
17,0.7083,1.9358,6.75,0.442,0.409
18,0.7500,1.5872,7.31,0.401,0.365
19,0.7917,1.8490,7.31,0.364,0.432
20,0.8333,1.2717,7.96,0.385,0.450
21,0.8750,0.9045,8.20,0.472,0.502
22,0.9167,0.9909,8.29,0.638,0.610
23,0.9583,0.6137,8.36,0.551,0.538
24,1.0000,0.4818,8.26,0.438,0.456
25,1.0417,0.2587,8.34,0.441,0.449
26,1.0833,0.1814,8.33,0.448,0.470
27,1.1250,0.2014,8.38,0.483,0.468
28,1.1667,0.6224,8.36,0.673,0.647
29,1.2083,0.7426,8.27,0.732,0.695
30,1.2500,0.3824,8.36,0.689,0.666
31,1.2917,0.2700,8.38,0.721,0.670
32,1.3333,0.1649,8.34,0.602,0.582
33,1.3750,3.3038,8.36,0.565,0.543
34,1.4167,0.5964,11.13,0.777,0.741
35,1.4583,3.0885,11.09,0.544,0.521
36,1.5000,0.1246,8.25,0.584,0.564
37,1.5417,0.1931,8.29,0.585,0.500
38,1.5833,0.0820,8.20,0.266,0.292
39,1.6250,0.0451,8.18,0.271,0.274
40,1.6667,0.0304,8.19,0.308,0.273
41,1.7083,0.0707,8.21,0.299,0.329
42,1.7500,0.1102,8.16,0.356,0.337
43,1.7917,0.0477,8.19,0.247,0.257
44,1.8333,0.0586,8.21,0.158,0.252
45,1.8750,0.0829,8.22,0.353,0.422
46,1.9167,0.0751,8.18,0.392,0.349
47,1.9583,0.0438,8.22,0.230,0.255
48,2.0000,0.0503,8.20,0.225,0.271
49,2.0417,0.0929,8.22,0.382,0.432
50,2.0833,0.0621,8.17,0.301,0.242
51,2.1250,0.0312,8.18,0.259,0.232
52,2.1667,0.0360,8.19,0.275,0.219
53,2.2083,0.0707,8.20,0.295,0.274
54,2.2500,0.0703,8.17,0.193,0.258
55,2.2917,0.0373,8.20,0.188,0.226
56,2.3333,0.0985,8.21,0.165,0.243
57,2.3750,0.0543,8.24,0.286,0.243
58,2.4167,0.0482,8.22,0.342,0.239
59,2.4583,0.0430,8.23,0.228,0.244
60,2.5000,0.0395,8.22,0.198,0.254
61,2.5417,0.0534,8.22,0.312,0.288
62,2.5833,0.0629,8.22,0.207,0.241
63,2.6250,0.0521,8.20,0.273,0.236
64,2.6667,0.0286,8.22,0.319,0.239
