frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.2591,235.73,0.436,0.315
1,0.0417,0.0304,235.96,0.367,0.332
2,0.0833,0.0816,235.95,0.392,0.303
3,0.1250,0.3720,235.93,0.512,0.729
4,0.1667,7.5039,235.79,0.419,0.970
5,0.2083,16.0699,229.40,0.493,0.907
6,0.2500,15.3602,214.83,0.495,0.862
7,0.2917,13.0451,200.64,0.496,0.816
8,0.3333,10.6549,188.57,0.496,0.771
9,0.3750,9.4123,179.55,0.496,0.753
10,0.4167,7.7812,173.39,0.490,0.729
11,0.4583,6.4674,168.40,0.484,0.704
12,0.5000,5.5065,164.53,0.468,0.667
13,0.5417,4.3963,161.36,0.464,0.659
14,0.5833,3.5430,159.20,0.451,0.634
15,0.6250,2.7023,157.35,0.434,0.622
16,0.6667,2.6849,156.00,0.473,0.518
17,0.7083,1.5981,154.49,0.301,0.552
18,0.7500,1.0707,153.94,0.209,0.474
19,0.7917,0.7105,153.69,0.138,0.404
20,0.8333,0.5907,153.70,0.157,0.398
21,0.8750,0.4931,153.78,0.173,0.387
22,0.9167,0.4249,153.95,0.196,0.383
23,0.9583,0.3498,154.06,0.219,0.387
24,1.0000,0.2687,154.13,0.268,0.394
25,1.0417,0.1918,154.14,0.267,0.433
26,1.0833,0.1489,154.15,0.271,0.453
27,1.1250,0.3086,154.15,0.445,0.667
28,1.1667,0.6793,154.32,0.503,0.725
29,1.2083,1.1150,154.82,0.487,0.724
30,1.2500,1.6102,155.69,0.472,0.705
31,1.2917,1.8893,156.91,0.471,0.708
32,1.3333,1.9991,158.33,0.479,0.721
33,1.3750,1.8681,159.85,0.503,0.749
34,1.4167,2.0829,161.14,0.500,0.762
35,1.4583,1.9484,162.10,0.522,0.785
36,1.5000,1.8724,163.42,0.522,0.800
37,1.5417,1.3234,164.66,0.525,0.804
38,1.5833,0.8828,165.74,0.502,0.743
39,1.6250,0.5126,166.39,0.464,0.671
40,1.6667,0.3385,166.66,0.433,0.631
41,1.7083,4.5634,166.64,0.481,0.771
42,1.7500,3.3038,170.59,0.475,0.775
43,1.7917,0.3806,173.38,0.485,0.712
44,1.8333,0.8364,173.26,0.484,0.701
45,1.8750,0.8746,173.18,0.494,0.691
46,1.9167,0.7860,173.17,0.509,0.762
47,1.9583,1.4115,173.12,0.512,0.762
48,2.0000,1.4193,173.13,0.512,0.838
49,2.0417,0.8064,173.42,0.513,0.913
50,2.0833,2.4219,173.57,0.505,0.721
51,2.1250,8.2109,174.70,0.498,0.710
52,2.1667,17.5538,178.56,0.494,0.751
53,2.2083,26.1024,188.15,0.489,0.811
54,2.2500,19.9536,212.44,0.483,0.916
55,2.2917,3.0460,231.64,0.335,0.975
56,2.3333,0.2331,234.35,0.479,0.339
57,2.3750,1.3624,234.33,0.706,0.337
58,2.4167,0.9010,234.71,0.447,0.231
59,2.4583,0.7274,234.95,0.475,0.256
60,2.5000,0.8424,234.92,0.449,0.338
61,2.5417,0.4670,235.31,0.500,0.322
62,2.5833,0.5226,235.25,0.472,0.417
63,2.6250,0.5152,235.45,0.482,0.475
64,2.6667,0.6606,235.33,0.475,0.557
65,2.7083,0.4944,235.77,0.485,0.607
66,2.7500,0.6992,235.85,0.512,0.719
67,2.7917,0.8255,235.97,0.496,0.676
68,2.8333,0.9171,235.79,0.500,0.681
69,2.8750,1.2578,235.85,0.518,0.703
70,2.9167,1.2878,236.03,0.527,0.648
71,2.9583,1.5217,235.95,0.541,0.607
72,3.0000,1.5946,236.03,0.561,0.561
73,3.0417,1.8177,236.23,0.551,0.532
74,3.0833,1.8464,236.21,0.549,0.559
75,3.1250,1.7734,236.59,0.542,0.562
76,3.1667,1.8885,236.67,0.560,0.591
77,3.2083,1.9770,236.63,0.564,0.590
78,3.2500,2.0022,236.61,0.582,0.571
79,3.2917,1.9253,236.48,0.591,0.519
80,3.3333,2.1419,236.56,0.569,0.534
81,3.3750,2.0217,236.67,0.573,0.535
82,3.4167,1.8420,236.85,0.579,0.549
83,3.4583,1.7652,237.13,0.583,0.567
84,3.5000,1.6385,236.96,0.580,0.542
85,3.5417,1.3181,237.02,0.589,0.471
86,3.5833,1.2157,236.91,0.585,0.410
87,3.6250,1.0000,236.89,0.572,0.336
88,3.6667,0.9566,236.92,0.565,0.360
89,3.7083,0.6736,237.09,0.606,0.298
90,3.7500,0.5330,237.22,0.604,0.408
91,3.7917,0.3954,237.52,0.615,0.423
92,3.8333,0.4358,237.60,0.533,0.559
93,3.8750,0.2869,237.85,0.527,0.542
94,3.9167,0.3129,237.93,0.508,0.574
95,3.9583,0.2365,238.07,0.511,0.506
96,4.0000,0.3524,238.11,0.498,0.626
97,4.0417,0.2305,238.31,0.507,0.521
98,4.0833,0.2682,238.36,0.501,0.566
99,4.1250,0.1793,238.50,0.504,0.437
100,4.1667,0.2826,238.53,0.502,0.592
101,4.2083,0.1450,238.72,0.494,0.430
102,4.2500,0.1836,238.75,0.511,0.508
103,4.2917,0.1849,238.77,0.504,0.555
104,4.3333,0.2218,238.69,0.502,0.639
105,4.3750,0.2244,238.65,0.500,0.637
106,4.4167,0.2782,238.53,0.506,0.720
107,4.4583,1.1554,238.44,0.498,0.404
108,4.5000,1.2826,238.22,0.501,0.406
109,4.5417,0.9271,238.35,0.501,0.407
110,4.5833,0.6901,238.64,0.503,0.661
111,4.6250,0.5404,238.88,0.503,0.861
112,4.6667,0.8303,238.96,0.502,0.820
113,4.7083,0.8789,239.05,0.502,0.855
114,4.7500,0.7405,239.29,0.499,0.881
115,4.7917,0.6853,239.24,0.503,0.852
116,4.8333,0.4666,239.29,0.507,0.849
117,4.8750,0.6445,239.34,0.499,0.883
118,4.9167,0.2266,239.27,0.511,0.834
119,4.9583,0.1988,239.23,0.503,0.826
120,5.0000,0.2248,239.23,0.510,0.819
121,5.0417,0.2509,239.22,0.505,0.805
122,5.0833,0.4010,239.17,0.500,0.819
123,5.1250,0.3524,239.15,0.509,0.825
124,5.1667,0.4041,239.11,0.501,0.839
125,5.2083,0.3338,239.13,0.495,0.844
126,5.2500,0.3307,239.11,0.504,0.854
127,5.2917,0.3733,239.14,0.499,0.856
128,5.3333,0.3403,239.11,0.495,0.826
129,5.3750,0.5395,239.15,0.501,0.756
130,5.4167,0.7652,239.19,0.498,0.829
131,5.4583,0.9188,239.27,0.500,0.750
132,5.5000,0.8260,239.20,0.498,0.685
133,5.5417,0.7565,239.27,0.497,0.618
134,5.5833,0.7378,239.39,0.496,0.570
135,5.6250,0.5729,239.57,0.492,0.475
136,5.6667,0.3216,239.67,0.487,0.412
137,5.7083,0.1606,239.77,0.454,0.271
138,5.7500,0.2166,239.77,0.452,0.339
139,5.7917,0.2956,239.73,0.446,0.389
140,5.8333,0.3199,239.65,0.425,0.397
141,5.8750,0.3199,239.56,0.392,0.414
142,5.9167,0.3355,239.52,0.366,0.458
143,5.9583,0.4175,239.54,0.391,0.522
144,6.0000,0.3464,239.55,0.362,0.581
145,6.0417,0.3681,239.51,0.370,0.668
146,6.0833,0.4115,239.34,0.396,0.745
147,6.1250,0.4497,239.21,0.436,0.791
148,6.1667,0.4158,239.13,0.477,0.824
149,6.2083,0.3854,239.12,0.523,0.808
150,6.2500,0.3724,239.20,0.551,0.747
151,6.2917,0.3359,239.28,0.554,0.670
152,6.3333,0.2977,239.49,0.582,0.639
153,6.3750,0.2674,239.68,0.602,0.603
154,6.4167,0.2591,239.82,0.623,0.589
155,6.4583,0.2569,239.86,0.635,0.558
156,6.5000,0.2535,239.91,0.634,0.541
157,6.5417,0.2431,239.95,0.635,0.505
158,6.5833,0.2726,239.89,0.626,0.477
159,6.6250,0.2470,239.90,0.635,0.447
160,6.6667,0.3477,239.87,0.535,0.534
161,6.7083,0.8255,239.76,0.553,0.626
162,6.7500,1.4397,239.44,0.564,0.667
163,6.7917,1.4427,239.03,0.546,0.708
164,6.8333,1.4076,238.89,0.510,0.731
165,6.8750,1.7135,238.87,0.501,0.769
166,6.9167,1.8103,238.74,0.510,0.761
167,6.9583,1.9236,238.74,0.514,0.757
168,7.0000,1.9388,238.77,0.513,0.761
169,7.0417,1.8863,238.78,0.514,0.763
170,7.0833,1.8038,238.69,0.517,0.760
171,7.1250,1.6441,238.92,0.521,0.738
172,7.1667,1.5751,238.86,0.517,0.731
173,7.2083,1.5582,238.87,0.519,0.713
174,7.2500,0.7292,238.84,0.545,0.602
175,7.2917,0.6497,238.84,0.530,0.624
176,7.3333,0.5903,238.83,0.530,0.640
177,7.3750,0.5447,238.72,0.522,0.668
178,7.4167,0.5547,238.66,0.515,0.664
179,7.4583,0.4813,238.60,0.510,0.680
180,7.5000,0.4852,238.61,0.517,0.692
181,7.5417,0.5890,238.68,0.521,0.643
182,7.5833,0.5043,238.89,0.512,0.681
183,7.6250,0.4488,238.99,0.515,0.712
184,7.6667,0.4544,239.11,0.515,0.723
185,7.7083,0.4319,239.09,0.495,0.736
186,7.7500,1.0191,239.14,0.497,0.804
187,7.7917,0.6406,239.26,0.496,0.736
188,7.8333,0.9931,239.22,0.500,0.642
189,7.8750,1.5942,239.34,0.514,0.607
190,7.9167,2.4939,239.16,0.514,0.484
191,7.9583,3.8659,237.88,0.497,0.559
192,8.0000,4.1636,235.51,0.525,0.554
193,8.0417,2.9514,232.78,0.515,0.601
194,8.0833,3.5634,231.49,0.437,0.584
