frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0135,242.01,0.503,0.963
1,0.0417,0.1120,242.02,0.153,0.902
2,0.0833,0.0530,242.04,0.195,0.882
3,0.1250,0.0938,242.03,0.260,0.896
4,0.1667,0.2448,241.99,0.379,0.931
5,0.2083,0.6545,241.87,0.438,0.935
6,0.2500,1.7127,241.37,0.470,0.909
7,0.2917,4.5304,239.86,0.484,0.843
8,0.3333,8.6684,235.56,0.494,0.728
9,0.3750,7.2322,227.07,0.504,0.611
10,0.4167,5.5938,220.91,0.469,0.551
11,0.4583,5.2370,216.68,0.405,0.565
12,0.5000,5.7305,214.40,0.360,0.606
13,0.5417,6.8958,213.93,0.375,0.634
14,0.5833,7.1437,215.14,0.411,0.634
15,0.6250,6.6194,217.78,0.465,0.625
16,0.6667,5.5664,220.40,0.498,0.620
17,0.7083,5.0707,222.77,0.497,0.608
18,0.7500,4.4549,224.17,0.473,0.612
19,0.7917,3.7296,224.73,0.462,0.625
20,0.8333,2.6701,224.59,0.446,0.604
21,0.8750,1.9583,224.27,0.436,0.577
22,0.9167,1.4970,223.82,0.413,0.551
23,0.9583,1.1823,223.22,0.434,0.522
24,1.0000,1.0417,222.67,0.431,0.528
25,1.0417,1.0382,222.08,0.439,0.539
26,1.0833,1.0790,221.51,0.452,0.557
27,1.1250,1.1918,220.84,0.442,0.577
28,1.1667,1.3155,220.24,0.441,0.592
29,1.2083,1.4614,219.56,0.456,0.615
30,1.2500,1.7383,218.86,0.488,0.624
31,1.2917,1.9536,217.92,0.516,0.612
32,1.3333,2.5599,216.75,0.512,0.618
33,1.3750,7.1888,215.45,0.704,0.570
34,1.4167,5.1081,217.52,0.564,0.580
35,1.4583,4.8728,216.55,0.535,0.565
36,1.5000,4.8407,215.94,0.508,0.553
37,1.5417,4.1345,215.77,0.482,0.546
38,1.5833,3.3333,215.71,0.471,0.539
39,1.6250,2.4679,215.37,0.483,0.529
40,1.6667,1.6775,214.78,0.493,0.535
41,1.7083,1.1367,214.39,0.495,0.542
42,1.7500,0.6141,214.18,0.512,0.552
43,1.7917,0.3585,213.94,0.498,0.580
44,1.8333,0.2782,213.91,0.453,0.541
45,1.8750,0.2044,213.86,0.460,0.562
46,1.9167,0.1914,213.87,0.469,0.568
47,1.9583,0.1532,213.79,0.476,0.547
48,2.0000,0.0829,213.88,0.497,0.578
49,2.0417,0.2986,213.85,0.494,0.549
50,2.0833,0.7066,213.86,0.489,0.550
51,2.1250,1.1645,213.78,0.495,0.549
52,2.1667,1.4614,213.79,0.499,0.546
53,2.2083,1.6905,213.65,0.501,0.559
54,2.2500,2.5942,213.37,0.466,0.574
55,2.2917,3.3720,212.64,0.465,0.566
56,2.3333,3.5738,211.72,0.471,0.548
57,2.3750,3.8082,210.78,0.476,0.536
58,2.4167,3.9501,209.65,0.481,0.517
59,2.4583,3.9206,208.70,0.478,0.503
60,2.5000,4.4870,207.64,0.495,0.483
61,2.5417,4.4679,206.78,0.504,0.477
62,2.5833,4.9288,206.18,0.507,0.459
63,2.6250,6.2088,205.41,0.523,0.606
64,2.6667,6.5877,206.68,0.530,0.605
65,2.7083,7.9536,208.44,0.589,0.653
66,2.7500,7.5204,211.39,0.587,0.607
67,2.7917,8.0534,213.88,0.604,0.637
