frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.2930,105.08,0.585,0.448
1,0.0333,0.2044,105.31,0.585,0.437
2,0.0667,0.3424,105.32,0.585,0.356
3,0.1000,0.3385,105.44,0.561,0.468
4,0.1333,0.7834,105.29,0.575,0.453
5,0.1667,0.7313,105.63,0.551,0.390
6,0.2000,0.9679,105.58,0.544,0.406
7,0.2333,1.2448,105.71,0.541,0.498
8,0.2667,1.0629,105.45,0.499,0.567
9,0.3000,0.8273,105.62,0.479,0.543
10,0.3333,0.5838,105.48,0.447,0.428
11,0.3667,0.5022,105.47,0.517,0.417
12,0.4000,0.3537,105.18,0.545,0.477
13,0.4333,0.3255,105.32,0.548,0.450
14,0.4667,0.4345,105.23,0.489,0.574
15,0.5000,0.2756,105.45,0.505,0.580
16,0.5333,0.6050,105.45,0.504,0.450
17,0.5667,0.6897,105.50,0.523,0.377
18,0.6000,0.6458,105.29,0.478,0.403
19,0.6333,0.3993,105.47,0.501,0.331
20,0.6667,0.5317,105.32,0.467,0.364
21,0.7000,0.5321,105.36,0.461,0.429
22,0.7333,0.7079,105.11,0.544,0.438
23,0.7667,0.6901,105.37,0.504,0.396
24,0.8000,0.4935,105.29,0.520,0.364
25,0.8333,0.3707,105.31,0.512,0.439
26,0.8667,0.5339,105.10,0.538,0.479
27,0.9000,0.4523,105.33,0.506,0.470
28,0.9333,0.4931,105.30,0.499,0.371
29,0.9667,0.5156,105.30,0.475,0.438
30,1.0000,0.2539,105.06,0.511,0.399
31,1.0333,0.2114,105.23,0.471,0.439
32,1.0667,0.1419,105.21,0.489,0.522
33,1.1000,0.2756,105.26,0.545,0.462
34,1.1333,0.5855,105.22,0.615,0.477
35,1.1667,0.7908,105.45,0.653,0.437
36,1.2000,0.7587,105.20,0.590,0.412
37,1.2333,0.8837,105.24,0.594,0.411
38,1.2667,1.6350,104.96,0.565,0.428
39,1.3000,1.5668,104.93,0.500,0.362
40,1.3333,0.9605,104.74,0.484,0.346
41,1.3667,0.6710,104.79,0.516,0.384
42,1.4000,1.3303,104.52,0.525,0.331
43,1.4333,1.4826,104.79,0.482,0.332
44,1.4667,1.5208,104.43,0.433,0.357
45,1.5000,1.4900,104.51,0.473,0.346
46,1.5333,1.2661,104.29,0.495,0.388
47,1.5667,1.0694,104.60,0.534,0.398
48,1.6000,1.4466,104.52,0.481,0.379
49,1.6333,1.5499,104.47,0.494,0.374
50,1.6667,1.2170,104.16,0.507,0.401
51,1.7000,1.4848,104.40,0.509,0.353
52,1.7333,1.1150,104.37,0.546,0.376
53,1.7667,1.6688,104.41,0.552,0.334
54,1.8000,2.2083,104.02,0.561,0.317
55,1.8333,2.0208,104.33,0.548,0.301
56,1.8667,1.2378,104.52,0.546,0.324
57,1.9000,2.7105,104.52,0.562,0.288
58,1.9333,2.6306,104.36,0.557,0.308
59,1.9667,2.8889,104.53,0.550,0.308
60,2.0000,2.7539,104.52,0.553,0.318
61,2.0333,0.8529,104.83,0.535,0.387
62,2.0667,2.5061,104.65,0.539,0.321
63,2.1000,2.7049,104.73,0.516,0.322
64,2.1333,2.4388,104.49,0.506,0.335
65,2.1667,2.0712,104.55,0.476,0.346
66,2.2000,2.3325,104.33,0.482,0.364
67,2.2333,1.3607,104.46,0.522,0.383
68,2.2667,2.2708,104.05,0.505,0.344
69,2.3000,2.2943,103.97,0.480,0.348
70,2.3333,1.7014,103.65,0.466,0.376
71,2.3667,1.1341,104.09,0.508,0.376
