frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0000,240.16,0.500,0.500
1,0.0417,0.0000,240.16,0.500,0.500
2,0.0833,0.0000,240.16,0.500,0.500
3,0.1250,0.0000,240.16,0.500,0.500
4,0.1667,0.0000,240.16,0.500,0.500
5,0.2083,0.0000,240.16,0.500,0.500
6,0.2500,0.0000,240.16,0.500,0.500
7,0.2917,22.9931,240.16,0.479,0.489
8,0.3333,0.0078,236.81,0.673,0.208
9,0.3750,0.0009,236.81,0.476,0.500
10,0.4167,0.0009,236.81,0.746,0.286
11,0.4583,0.0052,236.81,0.579,0.388
12,0.5000,0.0030,236.81,0.458,0.682
13,0.5417,0.0052,236.81,0.234,0.483
14,0.5833,0.0000,236.81,0.500,0.500
15,0.6250,22.3746,236.81,0.548,0.505
16,0.6667,0.0039,246.06,0.534,0.470
17,0.7083,0.0017,246.06,0.671,0.421
18,0.7500,0.0026,246.06,0.720,0.462
19,0.7917,0.0143,246.06,0.724,0.468
20,0.8333,0.0000,246.04,0.500,0.500
21,0.8750,0.0000,246.04,0.500,0.500
22,0.9167,1.3615,246.04,0.448,0.493
23,0.9583,23.1411,244.69,0.556,0.510
24,1.0000,0.0074,235.99,0.514,0.506
25,1.0417,0.0069,236.00,0.553,0.446
26,1.0833,0.0043,235.99,0.470,0.454
27,1.1250,0.0143,236.00,0.514,0.495
28,1.1667,0.0000,235.98,0.500,0.500
29,1.2083,0.0000,235.98,0.500,0.500
30,1.2500,0.0000,235.98,0.500,0.500
31,1.2917,27.6510,235.98,0.495,0.474
32,1.3333,0.0230,226.16,0.472,0.629
33,1.3750,0.0039,226.18,0.383,0.521
34,1.4167,0.0039,226.18,0.584,0.584
35,1.4583,0.0148,226.18,0.493,0.426
36,1.5000,0.0000,226.17,0.500,0.500
37,1.5417,0.0004,226.17,0.127,0.743
38,1.5833,0.0000,226.17,0.500,0.500
39,1.6250,25.0911,226.17,0.498,0.476
40,1.6667,0.0182,237.94,0.690,0.435
41,1.7083,0.0056,237.95,0.716,0.462
42,1.7500,0.0087,237.95,0.873,0.249
43,1.7917,0.0200,237.95,0.677,0.547
44,1.8333,0.0061,237.94,0.511,0.602
45,1.8750,0.0043,237.94,0.360,0.549
46,1.9167,0.0026,237.93,0.272,0.538
47,1.9583,8.9518,237.93,0.471,0.513
48,2.0000,0.0247,236.46,0.580,0.522
49,2.0417,0.0174,236.47,0.515,0.479
50,2.0833,0.0109,236.48,0.485,0.419
51,2.1250,0.0213,236.48,0.446,0.493
52,2.1667,0.0043,236.47,0.365,0.443
53,2.2083,0.0022,236.47,0.349,0.371
54,2.2500,0.0013,236.47,0.466,0.419
55,2.2917,8.5621,236.47,0.553,0.496
56,2.3333,0.0135,238.96,0.286,0.441
57,2.3750,0.0056,238.97,0.253,0.435
58,2.4167,0.0039,238.97,0.365,0.508
59,2.4583,0.0152,238.97,0.350,0.513
60,2.5000,0.0056,238.96,0.243,0.418
61,2.5417,0.0048,238.96,0.283,0.345
62,2.5833,0.0009,238.96,0.270,0.643
63,2.6250,7.7257,238.96,0.554,0.574
64,2.6667,0.0260,237.63,0.554,0.380
65,2.7083,0.0087,237.65,0.591,0.699
66,2.7500,0.0100,237.65,0.602,0.672
67,2.7917,0.0161,237.66,0.414,0.582
68,2.8333,0.0091,237.64,0.526,0.499
69,2.8750,0.0174,237.64,0.388,0.522
70,2.9167,0.0217,237.66,0.394,0.575
71,2.9583,18.1866,237.64,0.639,0.535
72,3.0000,0.0000,227.61,0.500,0.500
73,3.0417,0.0009,227.61,0.183,0.671
74,3.0833,0.0000,227.61,0.500,0.500
75,3.1250,0.0004,227.61,0.190,0.686
76,3.1667,0.0013,227.61,0.206,0.314
77,3.2083,0.0000,227.61,0.500,0.500
78,3.2500,0.0000,227.61,0.500,0.500
79,3.2917,23.8741,227.61,0.531,0.470
80,3.3333,0.0178,232.03,0.366,0.461
81,3.3750,0.0087,232.04,0.349,0.524
82,3.4167,0.0052,232.04,0.389,0.510
83,3.4583,0.0291,232.04,0.458,0.568
84,3.5000,0.0078,232.01,0.422,0.503
85,3.5417,0.0252,232.01,0.460,0.462
86,3.5833,0.0425,232.04,0.523,0.450
