frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,3.5221,235.91,0.417,0.321
1,0.0417,8.8824,235.26,0.495,0.398
2,0.0833,7.7274,230.58,0.511,0.382
3,0.1250,10.9332,231.15,0.532,0.522
4,0.1667,9.7318,225.48,0.504,0.539
5,0.2083,6.9974,224.28,0.480,0.518
6,0.2500,5.1207,224.08,0.463,0.513
7,0.2917,4.9913,224.12,0.465,0.637
8,0.3333,5.1688,222.97,0.474,0.744
9,0.3750,5.1719,221.88,0.481,0.810
10,0.4167,3.9674,221.97,0.472,0.778
11,0.4583,3.1740,222.13,0.457,0.707
12,0.5000,3.0590,222.39,0.441,0.638
13,0.5417,3.4423,222.55,0.437,0.580
14,0.5833,4.5972,223.00,0.433,0.567
15,0.6250,6.6736,223.43,0.424,0.573
16,0.6667,9.6102,224.34,0.434,0.568
17,0.7083,10.4401,225.66,0.429,0.559
18,0.7500,46.8763,227.50,0.493,0.733
19,0.7917,9.7040,215.12,0.474,0.664
20,0.8333,6.9874,209.62,0.479,0.687
21,0.8750,3.9115,205.24,0.509,0.776
22,0.9167,3.8043,202.49,0.546,0.839
23,0.9583,2.8859,200.17,0.557,0.807
24,1.0000,2.3924,199.91,0.541,0.684
25,1.0417,2.8277,199.65,0.515,0.597
26,1.0833,3.5543,199.19,0.501,0.555
27,1.1250,4.7982,198.42,0.498,0.542
28,1.1667,5.9162,197.44,0.498,0.527
29,1.2083,7.7856,196.33,0.497,0.514
30,1.2500,9.6020,194.68,0.498,0.516
31,1.2917,11.4310,192.64,0.497,0.520
32,1.3333,13.5985,190.18,0.497,0.496
33,1.3750,15.6510,187.17,0.496,0.480
34,1.4167,18.0699,183.13,0.496,0.465
35,1.4583,21.2057,178.64,0.504,0.426
36,1.5000,27.7266,172.35,0.508,0.370
37,1.5417,27.2565,159.16,0.499,0.337
38,1.5833,17.5990,148.05,0.474,0.380
39,1.6250,9.7157,139.50,0.479,0.379
40,1.6667,4.4058,134.47,0.476,0.395
41,1.7083,2.4497,133.00,0.481,0.370
42,1.7500,2.3160,132.28,0.487,0.313
43,1.7917,2.2821,131.28,0.488,0.311
44,1.8333,2.7070,130.36,0.487,0.330
45,1.8750,3.9510,129.16,0.484,0.285
46,1.9167,5.0482,127.61,0.481,0.329
47,1.9583,10.2548,125.65,0.489,0.466
48,2.0000,147.0712,120.10,0.494,0.505
49,2.0417,9.4327,178.97,0.496,0.468
50,2.0833,37.2483,172.72,0.494,0.500
51,2.1250,21.7391,148.29,0.492,0.504
52,2.1667,11.3168,135.91,0.493,0.495
53,2.2083,6.0347,129.53,0.493,0.481
54,2.2500,4.0130,126.46,0.494,0.473
55,2.2917,3.2018,124.72,0.492,0.477
56,2.3333,10.0339,124.25,0.481,0.504
57,2.3750,9.5247,127.48,0.484,0.564
58,2.4167,5.8615,130.85,0.490,0.634
59,2.4583,5.0391,132.19,0.493,0.687
60,2.5000,3.9084,133.14,0.491,0.717
61,2.5417,2.3173,134.27,0.490,0.738
62,2.5833,2.1046,134.62,0.512,0.671
63,2.6250,0.7791,134.47,0.494,0.750
64,2.6667,0.7821,134.66,0.499,0.710
65,2.7083,0.9080,134.48,0.496,0.505
66,2.7500,0.9245,134.39,0.495,0.464
67,2.7917,1.3954,134.31,0.501,0.454
68,2.8333,1.7500,134.10,0.499,0.449
69,2.8750,2.0165,133.94,0.494,0.468
70,2.9167,2.6463,133.97,0.495,0.458
71,2.9583,3.2253,133.99,0.499,0.446
72,3.0000,3.7773,133.90,0.496,0.473
73,3.0417,4.5378,134.24,0.495,0.518
74,3.0833,5.0056,135.12,0.494,0.499
75,3.1250,6.4978,136.12,0.495,0.501
76,3.1667,6.9067,137.18,0.494,0.483
77,3.2083,8.9223,138.66,0.494,0.474
78,3.2500,10.4878,140.43,0.494,0.454
79,3.2917,12.0004,142.65,0.494,0.424
80,3.3333,13.0373,145.35,0.491,0.461
81,3.3750,11.8420,146.94,0.487,0.527
82,3.4167,13.1259,146.36,0.481,0.530
83,3.4583,18.5404,146.78,0.534,0.499
84,3.5000,38.8624,146.46,0.636,0.520
85,3.5417,69.5464,144.22,0.667,0.551
86,3.5833,78.4892,143.58,0.622,0.559
87,3.6250,67.9991,139.75,0.595,0.566
88,3.6667,56.4527,133.13,0.591,0.566
89,3.7083,46.0838,131.18,0.596,0.564
90,3.7500,38.7626,132.09,0.595,0.563
91,3.7917,31.6905,133.95,0.567,0.567
92,3.8333,27.4635,136.41,0.534,0.591
93,3.8750,20.7504,136.64,0.523,0.589
94,3.9167,15.1398,136.01,0.518,0.572
95,3.9583,10.8815,135.93,0.502,0.569
96,4.0000,7.8238,135.39,0.534,0.553
97,4.0417,4.7691,134.74,0.532,0.545
98,4.0833,4.2830,134.13,0.414,0.535
99,4.1250,31.4761,134.28,0.453,0.525
100,4.1667,69.4032,138.49,0.440,0.495
101,4.2083,82.7535,147.84,0.406,0.502
102,4.2500,69.6510,150.73,0.350,0.507
103,4.2917,45.0482,150.02,0.454,0.552
104,4.3333,45.3199,161.20,0.494,0.577
105,4.3750,41.0130,172.50,0.479,0.566
106,4.4167,36.7383,182.27,0.481,0.555
107,4.4583,34.2183,187.68,0.504,0.540
108,4.5000,30.1137,191.61,0.508,0.529
109,4.5417,26.7687,197.56,0.533,0.526
110,4.5833,23.3989,198.72,0.559,0.532
111,4.6250,18.3529,199.94,0.589,0.529
112,4.6667,14.6467,201.53,0.640,0.527
113,4.7083,9.4787,201.31,0.730,0.516
114,4.7500,4.9618,199.45,0.867,0.521
115,4.7917,0.9071,198.20,0.925,0.520
116,4.8333,0.0356,197.83,0.532,0.537
117,4.8750,0.0547,197.85,0.444,0.543
118,4.9167,0.0569,197.81,0.574,0.553
119,4.9583,0.0312,197.85,0.571,0.542
120,5.0000,0.0373,197.84,0.543,0.539
121,5.0417,0.0673,197.86,0.528,0.499
122,5.0833,0.1220,197.80,0.402,0.497
123,5.1250,0.0647,197.90,0.409,0.470
124,5.1667,0.7105,197.88,0.224,0.432
125,5.2083,1.8464,197.91,0.284,0.449
126,5.2500,3.6528,197.83,0.393,0.463
127,5.2917,5.7140,197.86,0.442,0.470
128,5.3333,8.0317,197.43,0.455,0.475
129,5.3750,10.2821,196.93,0.459,0.472
130,5.4167,12.9653,196.32,0.470,0.479
131,5.4583,14.4245,195.34,0.500,0.478
132,5.5000,16.7053,195.08,0.505,0.482
133,5.5417,18.9618,194.46,0.513,0.483
134,5.5833,21.6649,193.90,0.504,0.484
135,5.6250,24.2344,193.33,0.505,0.493
136,5.6667,26.2878,193.38,0.499,0.497
137,5.7083,28.0929,192.96,0.507,0.501
138,5.7500,29.8915,190.65,0.537,0.502
139,5.7917,35.8832,187.60,0.584,0.486
140,5.8333,41.1823,188.93,0.570,0.485
141,5.8750,43.6415,188.58,0.573,0.474
142,5.9167,48.6037,186.85,0.569,0.477
143,5.9583,53.4067,187.55,0.518,0.468
144,6.0000,62.6293,187.81,0.473,0.464
145,6.0417,60.4497,183.39,0.436,0.465
146,6.0833,51.2140,184.89,0.549,0.481
147,6.1250,49.7930,192.95,0.559,0.481
148,6.1667,44.8694,189.10,0.606,0.491
149,6.2083,42.2318,187.05,0.599,0.491
150,6.2500,34.6988,181.54,0.595,0.486
151,6.2917,26.7613,178.30,0.618,0.502
152,6.3333,16.8056,176.67,0.673,0.506
153,6.3750,6.9076,178.17,0.727,0.498
154,6.4167,1.2721,178.39,0.838,0.482
155,6.4583,0.1562,178.48,0.624,0.588
156,6.5000,0.0473,178.39,0.591,0.479
157,6.5417,0.0217,178.43,0.515,0.526
158,6.5833,0.0178,178.42,0.537,0.405
159,6.6250,0.1016,178.43,0.504,0.528
160,6.6667,0.0629,178.34,0.581,0.501
161,6.7083,0.1298,178.37,0.524,0.514
162,6.7500,0.4275,178.26,0.343,0.528
163,6.7917,1.2257,178.42,0.350,0.543
164,6.8333,2.5872,178.42,0.427,0.527
165,6.8750,4.1359,178.47,0.459,0.524
166,6.9167,5.7517,178.31,0.470,0.519
167,6.9583,7.5395,178.52,0.473,0.525
168,7.0000,9.3229,178.54,0.470,0.524
169,7.0417,11.4366,178.63,0.470,0.518
170,7.0833,13.4084,178.57,0.464,0.524
171,7.1250,15.6966,178.66,0.474,0.522
172,7.1667,17.9709,178.60,0.469,0.517
173,7.2083,20.4184,178.34,0.463,0.517
174,7.2500,22.5590,178.36,0.462,0.519
175,7.2917,24.4826,178.96,0.462,0.516
176,7.3333,26.6714,180.26,0.452,0.511
177,7.3750,29.3793,181.45,0.441,0.509
178,7.4167,31.8524,182.58,0.432,0.508
179,7.4583,35.9340,182.94,0.443,0.509
180,7.5000,36.3698,181.83,0.420,0.504
181,7.5417,37.2669,184.30,0.401,0.489
182,7.5833,38.2296,187.91,0.369,0.472
183,7.6250,37.0291,191.86,0.344,0.470
184,7.6667,31.8012,192.35,0.343,0.481
185,7.7083,30.1324,199.25,0.280,0.498
186,7.7500,23.7283,206.11,0.240,0.513
187,7.7917,16.9284,211.19,0.183,0.530
188,7.8333,7.2535,217.27,0.151,0.553
189,7.8750,4.2556,216.40,0.078,0.554
