frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0234,25.12,0.870,0.834
1,0.0400,0.0148,25.12,0.857,0.822
2,0.0800,0.1315,25.12,0.507,0.208
3,0.1200,0.0278,25.21,0.790,0.804
4,0.1600,0.1450,25.20,0.521,0.324
5,0.2000,0.3077,25.21,0.522,0.247
6,0.2400,0.6471,25.32,0.497,0.202
7,0.2800,0.0760,25.60,0.575,0.524
8,0.3200,0.6176,25.62,0.528,0.217
9,0.3600,0.7609,25.74,0.546,0.220
10,0.4000,1.4266,25.83,0.608,0.216
11,0.4400,0.0833,26.19,0.666,0.546
12,0.4800,0.8628,26.22,0.608,0.241
13,0.5200,0.8168,26.25,0.630,0.234
14,0.5600,0.7830,26.22,0.596,0.267
15,0.6000,0.1211,26.04,0.672,0.565
16,0.6400,0.7218,26.11,0.667,0.327
17,0.6800,1.0990,26.21,0.662,0.302
18,0.7200,0.2678,26.29,0.567,0.541
19,0.7600,0.7648,26.15,0.595,0.299
20,0.8000,1.3863,26.05,0.633,0.631
21,0.8400,0.7092,26.20,0.529,0.302
22,0.8800,0.0525,26.07,0.525,0.488
23,0.9200,1.4566,26.09,0.554,0.649
24,0.9600,0.8659,26.84,0.430,0.427
25,1.0000,0.8780,27.50,0.621,0.811
26,1.0400,6.1233,27.40,0.441,0.310
27,1.0800,2.4970,33.29,0.519,0.620
28,1.1200,1.2326,34.74,0.507,0.410
29,1.1600,1.1510,35.67,0.526,0.354
30,1.2000,4.3689,36.45,0.503,0.250
31,1.2400,1.0742,40.06,0.506,0.514
32,1.2800,2.7170,40.48,0.523,0.365
33,1.3200,2.3598,41.66,0.531,0.326
34,1.3600,3.3715,42.47,0.519,0.256
35,1.4000,0.3950,44.41,0.524,0.517
36,1.4400,0.7426,44.54,0.531,0.284
37,1.4800,0.4692,44.61,0.520,0.312
38,1.5200,0.7331,44.55,0.517,0.298
39,1.5600,1.0968,44.09,0.588,0.739
40,1.6000,0.3650,43.93,0.549,0.454
41,1.6400,1.3828,43.77,0.573,0.583
42,1.6800,1.5946,43.47,0.544,0.265
43,1.7200,0.2309,42.96,0.533,0.454
44,1.7600,0.3737,43.11,0.556,0.310
45,1.8000,0.2105,43.00,0.648,0.358
46,1.8400,0.5417,43.01,0.637,0.319
47,1.8800,0.0933,42.94,0.592,0.539
48,1.9200,0.3906,42.98,0.599,0.313
49,1.9600,0.2648,42.88,0.583,0.322
50,2.0000,0.0829,42.76,0.511,0.555
51,2.0400,0.1298,42.69,0.536,0.422
52,2.0800,0.1914,42.75,0.561,0.370
53,2.1200,0.6749,42.67,0.517,0.453
54,2.1600,0.8793,42.19,0.527,0.224
55,2.2000,0.1862,42.59,0.519,0.492
56,2.2400,0.5269,42.65,0.543,0.341
57,2.2800,2.4909,42.61,0.508,0.422
58,2.3200,6.4484,44.30,0.510,0.373
59,2.3600,3.5868,48.44,0.489,0.519
60,2.4000,10.3828,51.51,0.518,0.471
61,2.4400,13.7826,57.55,0.505,0.458
62,2.4800,32.7995,68.27,0.517,0.293
63,2.5200,8.0516,97.62,0.559,0.532
64,2.5600,6.9327,98.33,0.525,0.467
65,2.6000,4.4905,96.86,0.537,0.409
66,2.6400,13.0169,95.66,0.564,0.278
67,2.6800,2.3438,94.24,0.702,0.490
68,2.7200,3.2639,94.62,0.672,0.425
69,2.7600,2.6029,95.00,0.699,0.418
70,2.8000,5.0000,95.33,0.701,0.299
71,2.8400,2.0095,96.14,0.685,0.491
72,2.8800,2.1337,96.47,0.621,0.400
73,2.9200,2.6671,96.89,0.622,0.559
74,2.9600,4.1953,96.88,0.627,0.420
75,3.0000,0.1727,97.52,0.704,0.743
76,3.0400,0.4384,97.61,0.831,0.556
77,3.0800,1.6176,97.78,0.707,0.693
78,3.1200,1.4575,97.92,0.696,0.723
79,3.1600,0.8754,97.98,0.778,0.368
80,3.2000,0.7196,98.11,0.663,0.566
81,3.2400,2.3867,97.97,0.571,0.522
82,3.2800,8.9787,97.58,0.546,0.384
83,3.3200,4.3911,96.97,0.560,0.540
84,3.3600,2.5391,97.03,0.533,0.375
85,3.4000,3.8937,96.64,0.561,0.495
86,3.4400,12.4071,94.80,0.556,0.366
87,3.4800,9.0846,87.00,0.545,0.477
88,3.5200,11.9210,81.45,0.557,0.449
89,3.5600,9.4787,75.76,0.539,0.412
90,3.6000,20.4462,72.40,0.567,0.306
91,3.6400,7.6016,57.24,0.543,0.565
92,3.6800,9.9692,56.00,0.473,0.456
93,3.7200,10.8637,57.88,0.512,0.460
94,3.7600,10.9661,60.19,0.548,0.439
95,3.8000,7.1024,63.46,0.563,0.537
96,3.8400,10.2878,64.39,0.541,0.441
97,3.8800,11.9023,63.60,0.506,0.457
98,3.9200,18.4601,60.36,0.548,0.329
99,3.9600,8.1719,60.16,0.554,0.544
100,4.0000,0.1011,59.62,0.631,0.586
101,4.0400,10.3672,59.66,0.527,0.410
102,4.0800,10.5395,59.05,0.514,0.405
103,4.1200,16.0673,58.07,0.492,0.327
104,4.1600,6.6089,53.59,0.539,0.516
105,4.2000,10.9162,53.54,0.554,0.475
106,4.2400,9.4748,53.67,0.545,0.435
107,4.2800,16.1111,53.46,0.536,0.331
108,4.3200,6.4362,52.77,0.558,0.499
109,4.3600,7.1411,52.50,0.538,0.420
110,4.4000,6.5343,52.49,0.556,0.414
111,4.4400,14.2587,52.32,0.541,0.287
112,4.4800,3.9110,50.47,0.548,0.485
113,4.5200,4.7101,50.02,0.532,0.424
114,4.5600,10.4392,49.62,0.510,0.296
115,4.6000,3.6849,49.01,0.551,0.495
116,4.6400,4.4518,49.88,0.530,0.437
117,4.6800,4.4774,50.68,0.536,0.428
118,4.7200,11.9501,51.32,0.512,0.288
119,4.7600,3.3702,53.40,0.492,0.511
120,4.8000,5.1146,54.34,0.464,0.442
121,4.8400,5.6992,55.47,0.471,0.451
122,4.8800,13.3077,56.97,0.457,0.322
123,4.9200,4.4674,60.51,0.387,0.539
124,4.9600,7.7899,60.62,0.461,0.518
125,5.0000,2.1146,61.67,0.658,0.719
126,5.0400,6.2604,61.70,0.416,0.464
127,5.0800,13.5365,61.98,0.451,0.384
128,5.1200,5.3741,64.19,0.538,0.559
129,5.1600,5.2344,64.20,0.481,0.396
130,5.2000,5.8819,63.98,0.502,0.419
131,5.2400,11.8898,63.83,0.469,0.325
132,5.2800,5.0009,63.90,0.515,0.517
133,5.3200,6.9835,64.23,0.486,0.426
134,5.3600,7.6194,63.88,0.482,0.442
135,5.4000,14.4297,62.80,0.477,0.334
136,5.4400,6.6562,58.36,0.487,0.529
137,5.4800,8.9544,56.59,0.527,0.461
138,5.5200,9.9549,55.65,0.513,0.519
139,5.5600,19.7839,57.37,0.494,0.388
140,5.6000,6.0022,59.84,0.551,0.531
141,5.6400,10.5981,60.05,0.539,0.531
142,5.6800,8.1493,59.46,0.505,0.442
143,5.7200,20.3477,58.19,0.520,0.376
144,5.7600,7.8320,53.48,0.541,0.498
145,5.8000,11.1606,51.63,0.506,0.452
146,5.8400,27.7769,53.09,0.497,0.359
147,5.8800,11.7548,64.58,0.439,0.511
148,5.9200,12.8893,67.89,0.500,0.480
149,5.9600,11.8303,66.48,0.481,0.466
150,6.0000,0.0087,63.93,0.732,0.693
151,6.0400,21.0508,63.93,0.516,0.321
152,6.0800,8.3212,61.61,0.438,0.518
153,6.1200,14.7834,62.60,0.466,0.521
154,6.1600,11.0681,59.49,0.555,0.489
155,6.2000,17.0312,57.20,0.454,0.355
156,6.2400,9.2747,53.63,0.437,0.525
157,6.2800,13.6042,59.45,0.453,0.553
158,6.3200,9.8003,63.18,0.415,0.479
159,6.3600,21.9158,59.20,0.525,0.403
160,6.4000,11.4514,57.30,0.532,0.535
161,6.4400,12.7274,60.40,0.495,0.492
162,6.4800,12.7157,60.75,0.529,0.500
163,6.5200,27.4036,65.06,0.473,0.325
164,6.5600,9.0777,76.18,0.480,0.543
165,6.6000,11.7344,79.70,0.513,0.461
166,6.6400,10.6272,78.37,0.504,0.436
167,6.6800,19.2595,76.92,0.451,0.342
168,6.7200,7.8668,75.16,0.453,0.515
169,6.7600,9.6168,73.62,0.472,0.479
170,6.8000,8.8012,72.78,0.508,0.481
171,6.8400,20.9323,70.10,0.527,0.305
172,6.8800,5.3112,59.30,0.531,0.563
173,6.9200,9.4996,59.92,0.511,0.507
174,6.9600,9.4444,62.33,0.461,0.513
175,7.0000,0.1562,66.27,0.437,0.350
176,7.0400,18.1827,66.37,0.521,0.355
177,7.0800,7.3611,77.68,0.584,0.545
178,7.1200,10.5920,79.09,0.643,0.508
179,7.1600,20.4362,79.88,0.569,0.375
180,7.2000,10.0781,82.95,0.502,0.519
181,7.2400,10.9961,89.04,0.499,0.498
182,7.2800,10.4944,95.54,0.496,0.497
183,7.3200,33.7378,101.18,0.466,0.281
184,7.3600,6.4262,122.61,0.469,0.525
185,7.4000,7.3338,121.21,0.491,0.469
186,7.4400,7.5282,118.84,0.516,0.480
187,7.4800,23.4761,115.74,0.501,0.302
188,7.5200,8.0104,103.29,0.576,0.523
189,7.5600,9.8624,99.98,0.584,0.510
190,7.6000,10.0625,96.17,0.569,0.509
191,7.6400,26.2131,90.40,0.559,0.289
192,7.6800,6.9349,74.57,0.456,0.525
193,7.7200,4.7470,74.84,0.372,0.491
194,7.7600,5.2396,75.69,0.513,0.558
195,7.8000,11.7917,74.35,0.468,0.301
196,7.8400,3.0174,71.83,0.595,0.506
197,7.8800,7.5256,72.57,0.504,0.493
198,7.9200,7.9878,78.44,0.495,0.500
199,7.9600,25.9809,84.91,0.496,0.290
200,8.0000,0.1992,109.73,0.576,0.564
201,8.0400,7.0842,109.82,0.480,0.517
202,8.0800,6.3724,115.99,0.579,0.488
203,8.1200,4.2201,115.69,0.557,0.482
204,8.1600,9.9353,113.21,0.526,0.363
205,8.2000,10.4002,111.15,0.470,0.512
206,8.2400,7.0065,101.32,0.485,0.505
207,8.2800,7.1602,96.04,0.523,0.510
208,8.3200,37.3056,94.92,0.492,0.374
209,8.3600,11.3646,85.61,0.577,0.537
210,8.4000,8.7391,85.73,0.568,0.489
211,8.4400,32.3247,84.25,0.504,0.317
212,8.4800,4.9891,93.64,0.502,0.517
213,8.5200,5.5052,97.50,0.500,0.456
214,8.5600,4.4076,101.34,0.530,0.443
215,8.6000,19.0530,102.58,0.563,0.259
216,8.6400,5.3364,106.05,0.493,0.514
