frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.2036,3.22,0.475,0.475
1,0.0417,0.0794,3.42,0.509,0.464
2,0.0833,0.1680,3.40,0.527,0.430
3,0.1250,0.2322,3.41,0.511,0.480
4,0.1667,0.2170,3.26,0.519,0.460
5,0.2083,0.2826,3.27,0.527,0.461
6,0.2500,0.3442,3.36,0.544,0.478
7,0.2917,0.3785,3.26,0.547,0.462
8,0.3333,0.4219,3.22,0.521,0.428
9,0.3750,0.4579,3.33,0.529,0.481
10,0.4167,1.0972,3.27,0.296,0.379
11,0.4583,3.1098,3.80,0.363,0.347
12,0.5000,4.7682,5.02,0.459,0.388
13,0.5417,5.7778,5.50,0.499,0.411
14,0.5833,7.3108,6.22,0.502,0.368
15,0.6250,29.2253,7.44,0.512,0.480
16,0.6667,88.4275,29.93,0.506,0.492
17,0.7083,15.0894,103.76,0.456,0.502
18,0.7500,28.3420,94.15,0.537,0.355
19,0.7917,25.0881,70.45,0.522,0.513
20,0.8333,17.3676,50.87,0.520,0.538
21,0.8750,17.5030,39.33,0.521,0.551
22,0.9167,9.5434,37.64,0.545,0.595
23,0.9583,42.7726,33.84,0.474,0.510
24,1.0000,6.2279,71.04,0.488,0.464
25,1.0417,11.1615,70.55,0.483,0.408
26,1.0833,14.1050,66.10,0.501,0.429
27,1.1250,15.4922,65.37,0.497,0.435
28,1.1667,15.3854,58.73,0.482,0.425
29,1.2083,14.5234,52.45,0.469,0.467
30,1.2500,14.8815,46.62,0.480,0.497
31,1.2917,7.9688,37.79,0.475,0.523
32,1.3333,6.2487,34.65,0.492,0.531
33,1.3750,5.2179,32.49,0.485,0.519
34,1.4167,4.6011,30.61,0.478,0.499
35,1.4583,4.0065,29.55,0.470,0.476
36,1.5000,3.6085,28.47,0.479,0.459
37,1.5417,3.7057,27.79,0.496,0.439
38,1.5833,3.5156,27.44,0.528,0.436
39,1.6250,3.6428,27.55,0.566,0.471
40,1.6667,3.3902,27.90,0.543,0.501
41,1.7083,3.0790,27.97,0.505,0.516
42,1.7500,2.9089,28.50,0.468,0.528
43,1.7917,2.4735,28.79,0.478,0.503
44,1.8333,1.9805,29.22,0.497,0.487
45,1.8750,1.5013,29.10,0.553,0.479
46,1.9167,1.0846,29.43,0.542,0.468
47,1.9583,0.8581,29.30,0.549,0.445
48,2.0000,0.6931,29.46,0.517,0.471
49,2.0417,0.4475,29.09,0.510,0.481
50,2.0833,1.4987,29.27,0.481,0.507
51,2.1250,8.5742,28.78,0.472,0.521
52,2.1667,16.3207,26.13,0.491,0.519
53,2.2083,7.4735,18.92,0.487,0.511
54,2.2500,4.0312,17.02,0.490,0.510
55,2.2917,2.0812,16.33,0.492,0.511
56,2.3333,1.0017,16.06,0.490,0.510
57,2.3750,13.3116,15.67,0.499,0.495
58,2.4167,2.8377,27.55,0.490,0.509
59,2.4583,15.8976,26.99,0.500,0.500
60,2.5000,1.4484,13.59,0.496,0.507
61,2.5417,0.7591,13.09,0.499,0.498
62,2.5833,0.4280,13.13,0.507,0.498
63,2.6250,0.1215,12.95,0.484,0.460
64,2.6667,0.2973,13.01,0.513,0.496
65,2.7083,67.4097,12.72,0.520,0.474
66,2.7500,32.7582,80.13,0.521,0.463
67,2.7917,48.9661,96.09,0.492,0.487
68,2.8333,43.1914,116.99,0.522,0.509
69,2.8750,79.9167,136.76,0.508,0.469
70,2.9167,53.3715,214.18,0.537,0.469
71,2.9583,30.1315,196.33,0.527,0.520
72,3.0000,65.2383,169.12,0.484,0.344
73,3.0417,102.9149,104.29,0.535,0.500
74,3.0833,51.1910,50.83,0.518,0.547
75,3.1250,23.6645,65.96,0.510,0.526
76,3.1667,13.7704,76.45,0.511,0.528
77,3.2083,31.1133,78.39,0.533,0.495
78,3.2500,26.5629,54.37,0.524,0.565
79,3.2917,12.3568,31.67,0.508,0.533
80,3.3333,5.3325,22.04,0.504,0.517
81,3.3750,1.3945,18.55,0.502,0.509
