frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0091,10.52,0.464,0.539
1,0.0400,3.7522,10.51,0.572,0.564
2,0.0800,0.0100,10.57,0.444,0.519
3,0.1200,4.3247,10.57,0.548,0.541
4,0.1600,0.0000,10.64,0.500,0.500
5,0.2000,4.8277,10.64,0.543,0.527
6,0.2400,0.0122,10.54,0.488,0.568
7,0.2800,5.6176,10.53,0.518,0.518
8,0.3200,6.4757,10.50,0.515,0.503
9,0.3600,0.0013,10.18,0.381,0.457
10,0.4000,6.4627,10.18,0.497,0.500
11,0.4400,0.0122,10.45,0.455,0.511
12,0.4800,6.1541,10.45,0.479,0.500
13,0.5200,6.0339,10.46,0.478,0.490
14,0.5600,0.0065,10.58,0.440,0.524
15,0.6000,6.2539,10.57,0.491,0.480
16,0.6400,7.7921,10.63,0.487,0.499
17,0.6800,0.0113,12.21,0.449,0.488
18,0.7200,9.3997,12.21,0.483,0.514
19,0.7600,0.0091,15.35,0.609,0.535
20,0.8000,9.1823,15.35,0.484,0.518
21,0.8400,0.0126,19.04,0.536,0.503
22,0.8800,9.1636,19.03,0.490,0.514
23,0.9200,0.0252,23.02,0.508,0.479
24,0.9600,15.7756,23.02,0.500,0.482
25,1.0000,0.0043,32.23,0.459,0.540
26,1.0400,8.6020,32.23,0.484,0.454
27,1.0800,0.0256,34.59,0.413,0.535
28,1.1200,5.2639,34.59,0.510,0.462
29,1.1600,0.0208,36.01,0.567,0.514
30,1.2000,4.1467,36.01,0.519,0.516
31,1.2400,0.0100,37.58,0.493,0.482
32,1.2800,5.1788,37.59,0.504,0.564
33,1.3200,5.3151,36.73,0.501,0.575
34,1.3600,0.0178,35.81,0.508,0.472
35,1.4000,4.2747,35.81,0.498,0.582
36,1.4400,0.0356,35.72,0.432,0.474
37,1.4800,6.4280,35.73,0.502,0.574
38,1.5200,7.8477,37.06,0.502,0.563
39,1.5600,0.0252,35.15,0.600,0.490
40,1.6000,8.9067,35.16,0.508,0.555
41,1.6400,12.6380,34.31,0.507,0.518
42,1.6800,0.0330,34.56,0.436,0.462
43,1.7200,10.7860,34.56,0.509,0.505
44,1.7600,0.0226,35.05,0.568,0.531
45,1.8000,10.6215,35.05,0.509,0.508
46,1.8400,0.0273,36.05,0.525,0.516
47,1.8800,10.0547,36.03,0.508,0.502
48,1.9200,0.0074,36.90,0.568,0.518
49,1.9600,22.9970,36.90,0.508,0.491
50,2.0000,0.0156,37.50,0.524,0.477
51,2.0400,13.5013,37.49,0.504,0.492
52,2.0800,0.0564,37.72,0.438,0.458
53,2.1200,14.7791,37.71,0.504,0.490
54,2.1600,0.0122,36.57,0.389,0.476
55,2.2000,12.2904,36.58,0.507,0.487
56,2.2400,0.0326,36.64,0.494,0.470
57,2.2800,13.8464,36.64,0.505,0.485
58,2.3200,12.2444,36.46,0.505,0.485
59,2.3600,0.0239,36.13,0.552,0.492
60,2.4000,12.0803,36.13,0.507,0.485
61,2.4400,0.0213,37.46,0.572,0.377
62,2.4800,9.2700,37.47,0.501,0.444
63,2.5200,7.8997,39.63,0.499,0.439
64,2.5600,0.0226,40.83,0.608,0.537
65,2.6000,7.0299,40.82,0.495,0.416
66,2.6400,5.7530,39.90,0.485,0.414
67,2.6800,0.0356,39.62,0.559,0.492
68,2.7200,6.3802,39.61,0.492,0.400
69,2.7600,0.0421,40.14,0.515,0.460
70,2.8000,6.3624,40.14,0.494,0.416
71,2.8400,0.0503,39.67,0.495,0.500
72,2.8800,4.0334,39.66,0.512,0.459
73,2.9200,0.0360,37.21,0.462,0.503
74,2.9600,9.1389,37.21,0.497,0.544
75,3.0000,0.0286,32.57,0.501,0.468
76,3.0400,8.1745,32.58,0.488,0.550
77,3.0800,0.0126,28.50,0.480,0.479
78,3.1200,8.5964,28.50,0.512,0.522
79,3.1600,0.0182,24.00,0.450,0.443
80,3.2000,8.1280,24.01,0.522,0.492
81,3.2400,0.0169,20.08,0.460,0.521
82,3.2800,7.2921,20.09,0.515,0.466
83,3.3200,6.3134,16.28,0.512,0.441
84,3.3600,0.0087,13.18,0.471,0.486
85,3.4000,4.5556,13.18,0.513,0.422
86,3.4400,0.0091,10.99,0.429,0.482
87,3.4800,1.9062,10.98,0.504,0.412
88,3.5200,0.3611,10.38,0.481,0.429
89,3.5600,0.0208,10.39,0.479,0.485
90,3.6000,0.1984,10.39,0.425,0.495
91,3.6400,3.3416,10.31,0.585,0.575
92,3.6800,0.0312,10.50,0.496,0.483
93,3.7200,3.7569,10.49,0.571,0.564
94,3.7600,0.0308,10.57,0.406,0.424
95,3.8000,4.3446,10.59,0.550,0.540
96,3.8400,0.0091,10.62,0.582,0.569
97,3.8800,4.8320,10.62,0.543,0.527
98,3.9200,0.0026,10.52,0.423,0.486
99,3.9600,7.7778,10.52,0.528,0.498
100,4.0000,0.0130,10.24,0.489,0.498
101,4.0400,6.4727,10.23,0.497,0.500
102,4.0800,0.0191,10.46,0.468,0.497
103,4.1200,6.1471,10.45,0.481,0.500
104,4.1600,0.0126,10.48,0.443,0.503
105,4.2000,6.0399,10.48,0.478,0.491
106,4.2400,0.0343,10.58,0.501,0.484
107,4.2800,6.2478,10.56,0.492,0.480
108,4.3200,7.8025,10.64,0.487,0.499
109,4.3600,0.0061,12.21,0.545,0.492
110,4.4000,9.4323,12.22,0.483,0.514
111,4.4400,0.0061,15.39,0.594,0.524
112,4.4800,9.1645,15.39,0.485,0.518
113,4.5200,9.1875,19.03,0.490,0.514
114,4.5600,0.0104,23.02,0.478,0.538
115,4.6000,8.8160,23.02,0.502,0.498
116,4.6400,9.4457,27.14,0.487,0.463
117,4.6800,0.0113,32.24,0.522,0.507
118,4.7200,8.6020,32.24,0.484,0.454
119,4.7600,0.0360,34.59,0.556,0.529
120,4.8000,5.2739,34.59,0.511,0.462
121,4.8400,0.0221,36.01,0.487,0.560
122,4.8800,4.1532,36.02,0.518,0.516
123,4.9200,0.0074,37.59,0.559,0.504
124,4.9600,10.0525,37.59,0.503,0.570
125,5.0000,0.0161,35.83,0.508,0.516
126,5.0400,4.2721,35.84,0.497,0.582
127,5.0800,0.0308,35.73,0.453,0.483
128,5.1200,6.4214,35.74,0.501,0.574
129,5.1600,0.0295,37.06,0.503,0.526
130,5.2000,7.8641,37.07,0.502,0.563
131,5.2400,0.0156,35.14,0.509,0.506
132,5.2800,8.9076,35.15,0.508,0.555
133,5.3200,12.6706,34.31,0.506,0.517
134,5.3600,0.0265,34.55,0.534,0.471
135,5.4000,10.7795,34.55,0.509,0.505
136,5.4400,0.0226,35.02,0.596,0.534
137,5.4800,10.6445,35.03,0.510,0.508
138,5.5200,10.0191,36.07,0.508,0.502
139,5.5600,0.0234,36.94,0.413,0.523
140,5.6000,12.4926,36.94,0.504,0.490
141,5.6400,13.2617,37.06,0.509,0.486
142,5.6800,0.0286,37.47,0.585,0.507
143,5.7200,13.4978,37.46,0.504,0.493
144,5.7600,0.0312,37.73,0.422,0.473
145,5.8000,14.8194,37.73,0.504,0.490
146,5.8400,0.0247,36.53,0.532,0.527
147,5.8800,12.2817,36.52,0.507,0.487
148,5.9200,0.0386,36.64,0.480,0.527
149,5.9600,22.8446,36.63,0.504,0.477
150,6.0000,0.0378,36.12,0.448,0.510
151,6.0400,12.0755,36.12,0.507,0.484
152,6.0800,0.0226,37.45,0.470,0.480
153,6.1200,9.2461,37.46,0.500,0.444
154,6.1600,0.0434,39.62,0.572,0.474
155,6.2000,7.8594,39.61,0.499,0.439
156,6.2400,0.0234,40.81,0.471,0.502
157,6.2800,7.0664,40.81,0.494,0.417
158,6.3200,5.7465,39.89,0.485,0.414
159,6.3600,0.0365,39.59,0.573,0.472
160,6.4000,6.3585,39.60,0.492,0.401
161,6.4400,0.0408,40.13,0.474,0.513
162,6.4800,6.2986,40.12,0.494,0.416
163,6.5200,4.0378,39.66,0.511,0.461
164,6.5600,0.0078,37.18,0.405,0.557
165,6.6000,4.1324,37.18,0.511,0.529
166,6.6400,5.9132,35.05,0.490,0.561
167,6.6800,0.0126,32.57,0.648,0.487
168,6.7200,8.1727,32.56,0.488,0.550
169,6.7600,0.0061,28.47,0.391,0.598
170,6.8000,8.6072,28.47,0.512,0.522
171,6.8400,0.0052,24.01,0.427,0.436
172,6.8800,8.1068,24.01,0.523,0.492
173,6.9200,0.0365,20.11,0.491,0.446
174,6.9600,11.3889,20.10,0.517,0.454
175,7.0000,0.0109,13.17,0.496,0.418
176,7.0400,4.5378,13.17,0.513,0.421
177,7.0800,0.0252,10.99,0.550,0.490
178,7.1200,1.9184,10.98,0.503,0.413
179,7.1600,0.0109,10.39,0.644,0.491
180,7.2000,0.3676,10.39,0.467,0.439
181,7.2400,0.0612,10.41,0.522,0.532
182,7.2800,2.8095,10.40,0.571,0.564
183,7.3200,1.6879,12.09,0.543,0.547
184,7.3600,3.7478,10.50,0.570,0.564
185,7.4000,0.0195,10.58,0.464,0.478
186,7.4400,4.3459,10.57,0.549,0.541
187,7.4800,4.8446,10.62,0.543,0.527
188,7.5200,0.0035,10.53,0.625,0.461
189,7.5600,5.6107,10.53,0.520,0.518
190,7.6000,6.4731,10.49,0.515,0.502
191,7.6400,0.0082,10.23,0.501,0.487
192,7.6800,6.4722,10.23,0.497,0.500
193,7.7200,0.0017,10.50,0.444,0.514
194,7.7600,6.1623,10.50,0.480,0.500
195,7.8000,0.0117,10.50,0.448,0.451
196,7.8400,6.0521,10.50,0.478,0.490
197,7.8800,0.0234,10.60,0.500,0.439
198,7.9200,6.2474,10.59,0.492,0.480
199,7.9600,7.7973,10.65,0.486,0.499
200,8.0000,9.4266,12.24,0.483,0.514
201,8.0400,0.0239,15.39,0.624,0.487
202,8.0800,9.1576,15.38,0.485,0.518
203,8.1200,0.0078,19.04,0.522,0.511
204,8.1600,9.1905,19.04,0.490,0.514
205,8.2000,0.0230,23.02,0.483,0.465
206,8.2400,8.8368,23.01,0.502,0.498
207,8.2800,9.4366,27.19,0.487,0.463
208,8.3200,0.0074,32.23,0.491,0.476
209,8.3600,8.5768,32.23,0.484,0.454
210,8.4000,0.0195,34.59,0.551,0.541
211,8.4400,5.2661,34.60,0.510,0.462
212,8.4800,4.1415,36.03,0.518,0.516
213,8.5200,0.0091,37.58,0.428,0.544
214,8.5600,5.1736,37.59,0.504,0.564
215,8.6000,5.3194,36.71,0.499,0.574
216,8.6400,0.0221,35.83,0.549,0.473
217,8.6800,4.2786,35.83,0.499,0.582
218,8.7200,0.0191,35.73,0.435,0.469
219,8.7600,6.4501,35.73,0.501,0.574
220,8.8000,0.0217,37.05,0.619,0.498
221,8.8400,7.8168,37.05,0.502,0.563
222,8.8800,0.0569,35.15,0.469,0.494
223,8.9200,8.9306,35.17,0.508,0.555
224,8.9600,12.6940,34.32,0.507,0.518
225,9.0000,10.7765,34.56,0.508,0.505
226,9.0400,0.0543,35.02,0.471,0.473
227,9.0800,10.6476,35.01,0.510,0.508
228,9.1200,0.0417,36.05,0.474,0.516
229,9.1600,10.0213,36.05,0.508,0.502
230,9.2000,0.0113,36.87,0.461,0.521
231,9.2400,12.4770,36.87,0.505,0.490
232,9.2800,13.2804,37.08,0.508,0.485
233,9.3200,0.0191,37.48,0.496,0.587
234,9.3600,13.4735,37.47,0.504,0.493
235,9.4000,0.0365,37.69,0.512,0.498
236,9.4400,14.8112,37.69,0.503,0.490
237,9.4800,12.3012,36.57,0.508,0.487
238,9.5200,0.0317,36.67,0.457,0.482
239,9.5600,13.8451,36.65,0.506,0.485
240,9.6000,12.2231,36.42,0.505,0.485
241,9.6400,0.0104,36.10,0.487,0.563
242,9.6800,12.0820,36.10,0.507,0.485
243,9.7200,0.0169,37.44,0.427,0.491
244,9.7600,9.2318,37.45,0.501,0.444
245,9.8000,0.0256,39.64,0.598,0.494
246,9.8400,7.8668,39.63,0.500,0.439
247,9.8800,0.0456,40.82,0.496,0.513
248,9.9200,7.0929,40.82,0.495,0.417
249,9.9600,5.7370,39.88,0.484,0.414
250,10.0000,6.3828,39.62,0.491,0.400
251,10.0400,0.0295,40.16,0.539,0.475
252,10.0800,6.3546,40.16,0.495,0.416
253,10.1200,0.0217,39.66,0.467,0.469
254,10.1600,4.0234,39.65,0.511,0.461
255,10.2000,0.0130,37.19,0.500,0.530
256,10.2400,4.1463,37.19,0.510,0.528
257,10.2800,5.9162,35.08,0.490,0.561
258,10.3200,0.0169,32.57,0.576,0.532
259,10.3600,8.1905,32.56,0.489,0.550
260,10.4000,0.0117,28.49,0.457,0.549
261,10.4400,8.5964,28.50,0.512,0.522
262,10.4800,8.1385,23.99,0.523,0.492
263,10.5200,0.0100,20.08,0.500,0.446
264,10.5600,7.2873,20.09,0.515,0.466
265,10.6000,6.3186,16.31,0.513,0.441
266,10.6400,0.0187,13.18,0.611,0.496
267,10.6800,4.5543,13.19,0.512,0.422
268,10.7200,0.0456,10.99,0.527,0.513
269,10.7600,1.9158,11.00,0.502,0.412
270,10.8000,0.0191,10.39,0.439,0.513
271,10.8400,0.3806,10.39,0.485,0.441
