frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0161,13.57,0.449,0.707
1,0.0417,0.0078,13.58,0.476,0.413
2,0.0833,0.0226,13.58,0.500,0.556
3,0.1250,0.0590,13.58,0.510,0.541
4,0.1667,0.1306,13.58,0.529,0.513
5,0.2083,0.2140,13.63,0.530,0.505
6,0.2500,0.2266,13.75,0.562,0.520
7,0.2917,0.2448,13.82,0.588,0.548
8,0.3333,0.2222,13.93,0.634,0.587
9,0.3750,0.2266,13.99,0.664,0.602
10,0.4167,0.2487,14.05,0.675,0.644
11,0.4583,0.2331,14.13,0.687,0.667
12,0.5000,0.0872,14.23,0.751,0.740
13,0.5417,0.3368,14.25,0.602,0.596
14,0.5833,0.4084,14.06,0.690,0.682
15,0.6250,0.5833,14.26,0.667,0.673
16,0.6667,0.5182,14.50,0.678,0.699
17,0.7083,0.8620,14.47,0.570,0.580
18,0.7500,0.4345,13.99,0.566,0.598
19,0.7917,0.2682,14.07,0.533,0.553
20,0.8333,0.2465,14.13,0.556,0.559
21,0.8750,0.3811,14.00,0.245,0.317
22,0.9167,1.0464,14.31,0.400,0.404
23,0.9583,2.8650,15.34,0.413,0.408
24,1.0000,8.0130,18.20,0.454,0.431
25,1.0417,5.3060,26.21,0.472,0.462
26,1.0833,2.5764,31.46,0.472,0.475
27,1.1250,1.9167,33.80,0.484,0.488
28,1.1667,3.1207,35.34,0.511,0.507
29,1.2083,4.3238,36.40,0.508,0.505
30,1.2500,5.8872,37.83,0.505,0.500
31,1.2917,3.6984,40.07,0.501,0.506
32,1.3333,2.6840,42.01,0.508,0.505
33,1.3750,1.2756,43.04,0.516,0.508
34,1.4167,0.8824,43.41,0.489,0.506
35,1.4583,0.6662,43.25,0.502,0.500
36,1.5000,0.7135,42.78,0.526,0.505
37,1.5417,0.7539,42.30,0.535,0.515
38,1.5833,0.9861,41.77,0.516,0.510
39,1.6250,1.4701,41.43,0.510,0.501
40,1.6667,0.8086,40.82,0.502,0.509
41,1.7083,0.5990,40.74,0.492,0.499
42,1.7500,0.2556,41.12,0.536,0.549
43,1.7917,0.1050,41.03,0.630,0.691
44,1.8333,0.1428,41.05,0.616,0.697
45,1.8750,0.1571,41.03,0.567,0.667
46,1.9167,0.1584,41.04,0.529,0.621
47,1.9583,0.1480,40.94,0.519,0.586
48,2.0000,0.2795,40.89,0.504,0.525
49,2.0417,0.3255,40.84,0.494,0.511
50,2.0833,1.7721,40.75,0.509,0.505
51,2.1250,0.2244,39.18,0.519,0.501
52,2.1667,0.4141,39.16,0.517,0.516
53,2.2083,1.4605,39.07,0.468,0.530
54,2.2500,5.2769,39.74,0.514,0.485
55,2.2917,6.2747,44.00,0.489,0.509
56,2.3333,12.0156,48.97,0.484,0.504
57,2.3750,22.1033,59.20,0.491,0.508
58,2.4167,38.8572,79.06,0.508,0.478
59,2.4583,35.7730,114.35,0.538,0.465
60,2.5000,26.6115,139.97,0.556,0.545
61,2.5417,20.6914,142.39,0.545,0.496
62,2.5833,13.2600,137.88,0.572,0.451
63,2.6250,10.2031,133.79,0.615,0.469
64,2.6667,9.7908,132.55,0.685,0.495
65,2.7083,9.4336,133.42,0.693,0.507
66,2.7500,9.4253,134.75,0.665,0.486
67,2.7917,7.9184,135.72,0.677,0.432
68,2.8333,7.7439,136.25,0.665,0.449
69,2.8750,6.3759,137.05,0.656,0.457
70,2.9167,4.2773,137.17,0.678,0.421
71,2.9583,3.5720,137.54,0.730,0.367
72,3.0000,2.4345,138.14,0.845,0.348
73,3.0417,1.6858,138.64,0.827,0.399
74,3.0833,1.5959,138.95,0.843,0.370
75,3.1250,1.5495,139.02,0.872,0.311
76,3.1667,3.9076,138.91,0.695,0.606
77,3.2083,10.3780,138.40,0.573,0.629
78,3.2500,22.1419,136.86,0.598,0.541
79,3.2917,21.0352,136.18,0.600,0.584
80,3.3333,6.4505,135.93,0.634,0.726
81,3.3750,16.0603,135.08,0.590,0.586
82,3.4167,26.5417,129.26,0.586,0.489
83,3.4583,34.0056,117.95,0.566,0.377
84,3.5000,31.7899,99.82,0.579,0.355
85,3.5417,24.0512,82.97,0.580,0.400
86,3.5833,21.8264,74.96,0.554,0.440
87,3.6250,22.1753,65.48,0.492,0.485
88,3.6667,27.0152,62.33,0.448,0.511
89,3.7083,29.5334,66.94,0.500,0.518
90,3.7500,27.1589,73.57,0.547,0.549
91,3.7917,25.9449,80.60,0.555,0.551
92,3.8333,29.9596,83.41,0.549,0.532
93,3.8750,39.2040,80.20,0.529,0.520
