frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0686,23.40,0.349,0.605
1,0.0400,0.3247,23.42,0.348,0.590
2,0.0800,5.6602,23.37,0.554,0.709
3,0.1200,3.1441,28.51,0.515,0.638
4,0.1600,3.9119,29.78,0.528,0.679
5,0.2000,3.6367,28.15,0.545,0.620
6,0.2400,2.4783,26.32,0.487,0.557
7,0.2800,1.1445,24.99,0.449,0.515
8,0.3200,0.5408,24.77,0.448,0.525
9,0.3600,0.0803,24.79,0.403,0.572
10,0.4000,6.2778,24.76,0.595,0.643
11,0.4400,8.9306,28.42,0.542,0.630
12,0.4800,10.1940,30.11,0.524,0.570
13,0.5200,4.2365,33.26,0.449,0.438
14,0.5600,2.7986,34.69,0.438,0.464
15,0.6000,14.8142,35.23,0.481,0.535
16,0.6400,1.6289,26.81,0.475,0.626
17,0.6800,6.7938,27.99,0.480,0.521
18,0.7200,13.8294,31.05,0.495,0.558
19,0.7600,16.8980,34.98,0.495,0.530
20,0.8000,16.3885,37.26,0.495,0.530
21,0.8400,14.2804,39.54,0.501,0.528
22,0.8800,12.1055,41.27,0.492,0.533
23,0.9200,10.0616,43.44,0.499,0.539
24,0.9600,170.5938,45.60,0.522,0.507
25,1.0000,169.9766,197.92,0.520,0.505
26,1.0400,3.8116,48.62,0.576,0.599
27,1.0800,166.9262,49.35,0.516,0.499
28,1.1200,2.6801,194.20,0.725,0.691
29,1.1600,165.1992,193.14,0.513,0.497
30,1.2000,11.2018,53.43,0.725,0.712
31,1.2400,16.1970,60.14,0.688,0.667
32,1.2800,20.5278,73.96,0.573,0.463
33,1.3200,49.1545,91.26,0.527,0.635
34,1.3600,48.9102,116.41,0.534,0.688
35,1.4000,44.7509,75.26,0.724,0.487
36,1.4400,3.2201,31.59,0.866,0.511
37,1.4800,4.1341,29.42,0.976,0.423
38,1.5200,2.0885,28.16,0.970,0.254
39,1.5600,9.2504,27.94,0.685,0.522
40,1.6000,5.5282,32.75,0.599,0.565
41,1.6400,17.5582,34.64,0.606,0.500
42,1.6800,22.7096,37.12,0.598,0.428
