frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.4253,252.80,0.522,0.479
1,0.0667,0.6775,252.82,0.531,0.493
2,0.1333,0.9332,252.84,0.520,0.500
3,0.2000,1.0907,252.84,0.518,0.497
4,0.2667,1.2305,252.89,0.535,0.496
5,0.3333,1.3377,252.90,0.547,0.497
6,0.4000,1.4440,253.04,0.521,0.485
7,0.4667,1.4427,253.24,0.539,0.473
8,0.5333,1.3789,253.45,0.506,0.475
9,0.6000,2.5964,253.54,0.257,0.493
10,0.6667,4.9301,252.36,0.180,0.500
11,0.7333,7.3025,249.65,0.182,0.503
12,0.8000,7.2500,249.21,0.252,0.502
13,0.8667,6.5148,249.41,0.332,0.502
14,0.9333,5.5985,249.54,0.406,0.498
15,1.0000,4.9818,249.69,0.461,0.496
16,1.0667,4.0716,249.92,0.494,0.496
17,1.1333,1.4258,250.09,0.505,0.498
18,1.2000,0.8963,250.60,0.529,0.465
19,1.2667,0.9214,250.31,0.529,0.466
20,1.3333,0.1089,250.04,0.628,0.368
21,1.4000,0.0829,250.03,0.629,0.368
22,1.4667,0.0000,250.03,0.500,0.500
23,1.5333,0.0004,250.03,0.413,0.571
24,1.6000,0.0000,250.03,0.500,0.500
25,1.6667,0.0000,250.03,0.500,0.500
26,1.7333,0.0130,250.03,0.599,0.411
27,1.8000,0.0030,250.02,0.569,0.437
28,1.8667,0.0026,250.02,0.553,0.424
29,1.9333,0.1428,250.02,0.538,0.453
30,2.0000,0.0260,250.07,0.631,0.357
31,2.0667,0.0625,250.09,0.552,0.360
32,2.1333,0.0920,250.14,0.532,0.369
33,2.2000,0.2569,250.22,0.512,0.438
34,2.2667,0.4865,250.43,0.504,0.469
35,2.3333,0.5569,250.82,0.508,0.484
36,2.4000,0.5820,251.20,0.530,0.486
37,2.4667,0.6363,251.64,0.515,0.499
38,2.5333,0.5165,252.16,0.512,0.500
39,2.6000,0.8997,252.49,0.549,0.551
40,2.6667,0.4327,253.11,0.569,0.532
41,2.7333,0.4592,253.37,0.579,0.561
42,2.8000,0.4774,253.65,0.580,0.568
43,2.8667,0.5681,253.81,0.536,0.571
44,2.9333,0.4683,253.90,0.544,0.586
45,3.0000,0.4800,254.10,0.517,0.548
46,3.0667,0.5677,254.28,0.500,0.465
47,3.1333,0.6289,254.31,0.501,0.418
48,3.2000,0.5369,254.19,0.513,0.406
49,3.2667,0.4193,254.14,0.517,0.409
50,3.3333,0.2908,254.22,0.518,0.428
51,3.4000,0.1953,254.32,0.514,0.455
52,3.4667,0.1194,254.41,0.514,0.471
53,3.5333,0.0343,254.48,0.585,0.486
54,3.6000,0.0095,254.49,0.588,0.486
55,3.6667,0.0000,254.49,0.500,0.500
56,3.7333,0.0000,254.49,0.500,0.500
57,3.8000,0.0004,254.49,0.603,0.486
58,3.8667,0.0490,254.49,0.489,0.497
59,3.9333,0.1628,254.44,0.529,0.499
60,4.0000,0.8689,254.28,0.515,0.500
61,4.0667,77.9453,253.41,0.500,0.500
62,4.1333,0.4800,175.47,0.516,0.500
63,4.2000,0.2717,175.04,0.515,0.499
64,4.2667,0.1337,174.79,0.516,0.502
65,4.3333,0.0347,174.66,0.512,0.507
66,4.4000,0.0004,174.63,0.540,0.571
67,4.4667,0.0000,174.63,0.500,0.500
68,4.5333,0.0000,174.63,0.500,0.500
69,4.6000,0.0004,174.63,0.540,0.571
70,4.6667,0.0000,174.63,0.500,0.500
71,4.7333,0.0000,174.63,0.500,0.500
72,4.8000,0.0000,174.63,0.500,0.500
73,4.8667,0.0000,174.63,0.500,0.500
74,4.9333,0.0000,174.63,0.500,0.500
75,5.0000,0.0000,174.63,0.500,0.500
76,5.0667,0.0000,174.63,0.500,0.500
77,5.1333,0.0000,174.63,0.500,0.500
78,5.2000,0.0000,174.63,0.500,0.500
79,5.2667,0.0000,174.63,0.500,0.500
80,5.3333,0.0000,174.63,0.500,0.500
81,5.4000,0.0000,174.63,0.500,0.500
82,5.4667,0.0000,174.63,0.500,0.500
83,5.5333,0.0000,174.63,0.500,0.500
84,5.6000,0.0000,174.63,0.500,0.500
85,5.6667,0.0000,174.63,0.500,0.500
86,5.7333,0.0000,174.63,0.500,0.500
87,5.8000,0.0000,174.63,0.500,0.500
88,5.8667,0.0000,174.63,0.500,0.500
89,5.9333,0.0000,174.63,0.500,0.500
