frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.6997,159.97,0.433,0.571
1,0.0400,1.2700,160.35,0.416,0.517
2,0.0800,2.0595,160.57,0.414,0.563
3,0.1200,2.4601,161.04,0.415,0.619
4,0.1600,2.7600,161.44,0.443,0.665
5,0.2000,2.9306,161.90,0.498,0.696
6,0.2400,2.8841,162.62,0.553,0.699
7,0.2800,2.7070,163.24,0.586,0.691
8,0.3200,2.4479,163.70,0.607,0.672
9,0.3600,146.6892,164.03,0.476,0.471
10,0.4000,7.0382,18.37,0.071,0.479
11,0.4400,16.5503,20.54,0.115,0.513
12,0.4800,27.7561,22.95,0.263,0.592
13,0.5200,26.1823,28.72,0.370,0.536
14,0.5600,16.3867,31.63,0.445,0.456
15,0.6000,12.6046,34.31,0.478,0.467
16,0.6400,24.2144,36.96,0.489,0.518
17,0.6800,29.8424,39.78,0.522,0.517
18,0.7200,25.6654,42.51,0.554,0.520
19,0.7600,12.7882,44.66,0.601,0.515
20,0.8000,21.9679,46.33,0.596,0.488
21,0.8400,43.8542,48.00,0.561,0.481
22,0.8800,48.5517,49.47,0.523,0.468
23,0.9200,41.1098,50.22,0.480,0.469
24,0.9600,5.2253,50.47,0.516,0.373
25,1.0000,25.8806,50.42,0.486,0.447
26,1.0400,30.3082,50.27,0.507,0.449
27,1.0800,30.4523,49.87,0.535,0.451
28,1.1200,126.8737,49.45,0.448,0.462
29,1.1600,5.3733,159.78,0.497,0.319
30,1.2000,7.0877,160.71,0.488,0.498
31,1.2400,8.3099,161.84,0.498,0.611
32,1.2800,5.5890,163.20,0.499,0.618
33,1.3200,1.8715,164.13,0.481,0.533
34,1.3600,3.5716,164.45,0.510,0.595
35,1.4000,3.5894,164.84,0.522,0.599
36,1.4400,2.3945,164.97,0.602,0.546
37,1.4800,7.9688,165.44,0.576,0.558
38,1.5200,3.2010,167.00,0.587,0.558
39,1.5600,0.0647,167.46,0.732,0.424
40,1.6000,55.3038,167.46,0.599,0.607
41,1.6400,6.5838,209.59,0.410,0.552
42,1.6800,11.5707,208.57,0.392,0.523
43,1.7200,17.8837,207.54,0.360,0.526
44,1.7600,19.3533,206.55,0.317,0.530
45,1.8000,20.4371,205.75,0.289,0.559
46,1.8400,18.8911,205.05,0.269,0.590
47,1.8800,16.0425,204.44,0.255,0.592
48,1.9200,14.1871,203.76,0.248,0.597
49,1.9600,22.1814,203.18,0.242,0.613
50,2.0000,10.7752,201.68,0.273,0.662
51,2.0400,10.1489,200.36,0.296,0.649
52,2.0800,9.6159,198.84,0.315,0.621
53,2.1200,8.9787,197.37,0.316,0.599
54,2.1600,32.9761,195.80,0.303,0.617
55,2.2000,0.5694,213.66,0.495,0.504
56,2.2400,2.1502,213.62,0.469,0.497
57,2.2800,1.9970,213.56,0.459,0.494
58,2.3200,1.2517,213.48,0.450,0.486
59,2.3600,0.8793,213.38,0.464,0.482
60,2.4000,0.5616,213.30,0.460,0.483
61,2.4400,0.4501,213.22,0.476,0.505
62,2.4800,0.5182,213.09,0.525,0.527
63,2.5200,0.1441,212.83,0.580,0.466
64,2.5600,0.1324,212.70,0.554,0.472
65,2.6000,0.1220,212.58,0.569,0.519
66,2.6400,0.0430,212.48,0.595,0.519
67,2.6800,0.0642,212.44,0.608,0.508
68,2.7200,0.0273,212.40,0.614,0.498
69,2.7600,0.0109,212.38,0.618,0.497
70,2.8000,0.0100,212.38,0.575,0.498
71,2.8400,0.0230,212.39,0.636,0.516
72,2.8800,0.0265,212.39,0.644,0.537
73,2.9200,0.0308,212.39,0.632,0.556
74,2.9600,0.1740,212.39,0.605,0.563
75,3.0000,0.0447,212.28,0.640,0.580
76,3.0400,0.0482,212.29,0.650,0.563
77,3.0800,0.0234,212.29,0.650,0.568
78,3.1200,0.0391,212.29,0.653,0.566
79,3.1600,0.0595,212.29,0.650,0.568
80,3.2000,0.0369,212.29,0.649,0.581
81,3.2400,0.0004,212.29,0.444,0.600
82,3.2800,0.0013,212.29,0.476,0.467
83,3.3200,0.0009,212.29,0.563,0.571
84,3.3600,0.0004,212.29,0.444,0.600
85,3.4000,0.0004,212.29,0.444,0.600
86,3.4400,0.0009,212.29,0.563,0.571
87,3.4800,0.0009,212.29,0.563,0.571
88,3.5200,0.0004,212.29,0.444,0.600
89,3.5600,0.0004,212.29,0.444,0.600
90,3.6000,0.0009,212.29,0.563,0.571
91,3.6400,0.0009,212.29,0.563,0.571
92,3.6800,0.0004,212.29,0.444,0.600
93,3.7200,0.0004,212.29,0.444,0.600
94,3.7600,0.0009,212.29,0.563,0.571
95,3.8000,0.0009,212.29,0.563,0.571
96,3.8400,0.0004,212.29,0.444,0.600
97,3.8800,0.0004,212.29,0.444,0.600
98,3.9200,0.0009,212.29,0.563,0.571
99,3.9600,0.0009,212.29,0.563,0.571
100,4.0000,0.0004,212.29,0.444,0.600
101,4.0400,0.0004,212.29,0.444,0.600
102,4.0800,0.0009,212.29,0.563,0.571
