frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,1.4484,7.05,0.503,0.656
1,0.0333,4.0490,8.49,0.505,0.571
2,0.0667,3.0968,12.25,0.507,0.502
3,0.1000,2.2062,15.08,0.505,0.465
4,0.1333,1.6050,17.01,0.511,0.432
5,0.1667,1.1562,18.47,0.511,0.417
6,0.2000,0.7283,19.43,0.510,0.414
7,0.2333,0.4978,20.04,0.525,0.393
8,0.2667,0.2812,20.29,0.548,0.498
9,0.3000,1.9679,20.50,0.497,0.501
10,0.3333,4.6927,19.82,0.514,0.498
11,0.3667,2.4180,18.25,0.515,0.486
12,0.4000,2.1306,16.27,0.536,0.479
13,0.4333,2.2166,14.50,0.547,0.489
14,0.4667,2.1970,12.62,0.508,0.512
15,0.5000,0.8446,12.87,0.468,0.491
16,0.5333,0.7192,13.47,0.486,0.488
17,0.5667,1.7049,14.11,0.521,0.482
18,0.6000,1.4214,15.34,0.538,0.483
19,0.6333,0.8485,16.52,0.541,0.469
20,0.6667,0.7895,16.64,0.543,0.475
21,0.7000,0.4731,17.15,0.528,0.469
22,0.7333,1.3689,17.27,0.550,0.461
23,0.7667,2.3368,18.44,0.492,0.470
24,0.8000,2.5009,19.68,0.450,0.475
25,0.8333,2.4288,21.79,0.493,0.471
26,0.8667,1.6024,24.08,0.514,0.492
27,0.9000,1.6636,24.14,0.491,0.469
28,0.9333,2.1714,25.07,0.546,0.461
29,0.9667,2.7990,26.44,0.463,0.471
30,1.0000,1.8919,27.89,0.483,0.481
31,1.0333,1.9926,28.29,0.563,0.449
32,1.0667,2.4952,29.79,0.517,0.470
33,1.1000,2.4128,28.87,0.478,0.464
34,1.1333,2.9275,28.55,0.529,0.474
35,1.1667,1.8550,26.08,0.509,0.479
36,1.2000,2.1567,24.86,0.462,0.468
37,1.2333,2.5885,23.66,0.524,0.445
38,1.2667,5.6992,21.67,0.503,0.502
39,1.3000,6.4110,20.71,0.491,0.563
40,1.3333,3.3242,19.96,0.517,0.590
41,1.3667,1.9462,18.97,0.481,0.607
42,1.4000,1.3776,18.16,0.491,0.569
43,1.4333,1.8424,18.16,0.493,0.544
44,1.4667,1.6975,17.76,0.454,0.512
45,1.5000,1.4588,17.23,0.491,0.573
46,1.5333,2.1228,16.63,0.485,0.502
47,1.5667,2.4648,16.41,0.494,0.451
48,1.6000,2.8338,16.23,0.506,0.417
49,1.6333,2.6328,16.13,0.499,0.455
50,1.6667,7.5859,15.90,0.428,0.309
51,1.7000,8.2878,18.96,0.492,0.295
52,1.7333,9.7921,18.61,0.534,0.301
53,1.7667,10.4531,18.35,0.598,0.357
54,1.8000,13.0812,18.59,0.581,0.466
55,1.8333,15.4319,19.00,0.587,0.505
56,1.8667,15.8281,20.42,0.613,0.449
57,1.9000,16.0130,22.50,0.625,0.433
58,1.9333,17.7917,23.05,0.639,0.405
59,1.9667,17.8780,22.98,0.635,0.449
60,2.0000,17.7127,22.70,0.659,0.482
61,2.0333,19.4288,22.77,0.594,0.459
62,2.0667,19.4657,24.93,0.584,0.494
63,2.1000,19.1020,27.58,0.571,0.485
64,2.1333,20.4141,28.80,0.530,0.457
65,2.1667,21.3685,28.55,0.530,0.469
66,2.2000,23.7556,30.70,0.553,0.492
67,2.2333,21.2027,30.85,0.532,0.503
68,2.2667,23.7734,28.81,0.565,0.465
69,2.3000,21.3533,29.13,0.546,0.454
70,2.3333,24.5872,32.79,0.564,0.408
71,2.3667,25.4301,34.27,0.547,0.451
72,2.4000,24.1159,34.56,0.542,0.504
73,2.4333,21.6493,33.33,0.595,0.518
74,2.4667,21.3446,30.15,0.584,0.580
75,2.5000,19.3225,27.18,0.595,0.624
76,2.5333,16.4323,25.35,0.645,0.652
77,2.5667,13.7986,24.89,0.624,0.687
78,2.6000,12.0673,22.65,0.611,0.709
79,2.6333,10.3398,21.95,0.595,0.749
80,2.6667,10.8620,21.95,0.593,0.779
81,2.7000,9.3312,22.09,0.583,0.831
82,2.7333,6.1923,21.22,0.526,0.843
83,2.7667,6.1046,18.83,0.530,0.843
84,2.8000,4.5768,16.82,0.572,0.897
85,2.8333,2.1571,14.02,0.473,0.823
86,2.8667,1.9514,12.80,0.392,0.735
87,2.9000,1.6914,12.21,0.487,0.616
88,2.9333,2.5356,12.01,0.508,0.480
89,2.9667,1.0365,12.78,0.503,0.482
90,3.0000,0.3993,12.85,0.493,0.382
91,3.0333,0.2496,12.60,0.497,0.419
92,3.0667,0.2296,12.77,0.512,0.381
93,3.1000,0.3815,12.85,0.498,0.602
94,3.1333,1.3789,13.11,0.479,0.329
95,3.1667,2.5451,13.45,0.480,0.352
96,3.2000,3.4206,13.78,0.483,0.334
97,3.2333,3.5100,13.56,0.505,0.390
98,3.2667,4.1970,13.73,0.517,0.434
99,3.3000,4.0135,14.02,0.505,0.517
100,3.3333,4.5026,13.83,0.525,0.545
101,3.3667,5.1554,13.62,0.528,0.556
102,3.4000,5.3403,14.41,0.539,0.530
103,3.4333,4.2036,14.58,0.552,0.496
104,3.4667,3.6285,12.83,0.539,0.490
105,3.5000,1.4071,11.62,0.590,0.402
106,3.5333,0.6662,11.01,0.630,0.369
107,3.5667,1.2977,10.96,0.554,0.402
108,3.6000,1.1879,11.15,0.546,0.429
109,3.6333,0.7760,11.40,0.513,0.405
110,3.6667,2.8481,11.45,0.524,0.501
111,3.7000,2.3464,11.74,0.536,0.499
112,3.7333,0.8906,11.72,0.586,0.378
113,3.7667,0.4596,11.55,0.505,0.483
114,3.8000,0.7079,11.39,0.505,0.493
115,3.8333,0.9709,11.37,0.506,0.498
116,3.8667,0.4592,11.36,0.501,0.498
117,3.9000,0.2999,11.36,0.493,0.491
118,3.9333,1.0898,11.33,0.501,0.500
119,3.9667,1.0404,10.59,0.503,0.498
120,4.0000,0.4961,10.01,0.491,0.506
121,4.0333,0.5547,9.85,0.498,0.488
122,4.0667,0.7574,10.15,0.500,0.489
123,4.1000,0.9306,10.62,0.500,0.493
124,4.1333,0.9531,11.16,0.499,0.497
125,4.1667,0.6806,11.74,0.500,0.496
126,4.2000,0.2882,12.13,0.505,0.488
127,4.2333,1.8368,12.28,0.508,0.488
128,4.2667,4.1319,12.26,0.522,0.491
129,4.3000,0.7617,12.30,0.545,0.503
130,4.3333,2.3407,12.52,0.541,0.491
131,4.3667,4.9809,12.91,0.518,0.494
132,4.4000,5.9891,13.24,0.487,0.495
133,4.4333,6.6975,13.42,0.470,0.492
134,4.4667,5.7248,13.50,0.445,0.491
135,4.5000,2.5768,13.48,0.428,0.495
136,4.5333,0.3021,13.59,0.566,0.507
137,4.5667,0.2153,13.69,0.591,0.541
138,4.6000,0.1654,13.82,0.615,0.554
