frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.0000,247.00,0.500,0.500
1,0.0417,0.0000,247.00,0.500,0.500
2,0.0833,0.0000,247.00,0.500,0.500
3,0.1250,0.0000,247.00,0.500,0.500
4,0.1667,0.0000,247.00,0.500,0.500
5,0.2083,0.0000,247.00,0.500,0.500
6,0.2500,0.0000,247.00,0.500,0.500
7,0.2917,0.2313,247.00,0.493,0.461
8,0.3333,0.1766,246.80,0.485,0.444
9,0.3750,0.2969,246.67,0.478,0.434
10,0.4167,0.3845,246.48,0.471,0.426
11,0.4583,0.4570,246.19,0.460,0.413
12,0.5000,0.5777,245.91,0.453,0.410
13,0.5417,0.7183,245.64,0.444,0.405
14,0.5833,0.9162,245.38,0.434,0.407
15,0.6250,1.2218,245.14,0.422,0.413
16,0.6667,1.5720,244.89,0.410,0.427
17,0.7083,1.7860,244.62,0.396,0.451
18,0.7500,1.6415,244.34,0.394,0.466
19,0.7917,1.5087,244.06,0.395,0.468
20,0.8333,2.9041,243.78,0.382,0.527
21,0.8750,3.1510,243.50,0.392,0.563
22,0.9167,3.3524,243.26,0.408,0.567
23,0.9583,3.1267,243.04,0.421,0.574
24,1.0000,2.9579,242.82,0.431,0.568
25,1.0417,4.1645,242.65,0.414,0.571
26,1.0833,4.5859,242.56,0.418,0.582
27,1.1250,4.2023,242.57,0.432,0.590
28,1.1667,3.8212,242.64,0.443,0.590
29,1.2083,4.7556,242.76,0.426,0.591
30,1.2500,4.7192,242.88,0.429,0.612
31,1.2917,3.9158,243.00,0.447,0.636
32,1.3333,3.2470,243.11,0.464,0.648
33,1.3750,4.0460,243.22,0.444,0.633
34,1.4167,3.7253,243.32,0.457,0.654
35,1.4583,3.2118,243.42,0.481,0.660
36,1.5000,2.8229,243.50,0.502,0.651
37,1.5417,2.5143,243.57,0.517,0.637
38,1.5833,2.1719,243.65,0.527,0.623
39,1.6250,1.8741,243.83,0.536,0.608
40,1.6667,1.9249,243.90,0.539,0.568
41,1.7083,2.0156,243.80,0.534,0.536
42,1.7500,2.0295,243.83,0.527,0.521
43,1.7917,2.1845,243.82,0.527,0.509
44,1.8333,2.0226,243.83,0.527,0.487
45,1.8750,1.3238,243.82,0.529,0.506
46,1.9167,2.0794,243.84,0.522,0.505
47,1.9583,1.5764,243.91,0.517,0.506
48,2.0000,0.9822,243.87,0.507,0.513
49,2.0417,0.4653,243.85,0.501,0.500
50,2.0833,0.2756,243.85,0.500,0.498
51,2.1250,0.0894,243.85,0.501,0.499
52,2.1667,0.1745,243.85,0.485,0.509
53,2.2083,0.3841,243.77,0.494,0.495
54,2.2500,0.7166,243.68,0.504,0.501
55,2.2917,1.6102,243.58,0.509,0.511
56,2.3333,1.7648,244.21,0.491,0.506
57,2.3750,2.0456,244.90,0.489,0.487
58,2.4167,1.6215,245.58,0.490,0.522
59,2.4583,1.5907,245.51,0.498,0.522
60,2.5000,1.2144,246.12,0.494,0.453
61,2.5417,1.6966,245.89,0.465,0.434
62,2.5833,2.3281,245.45,0.437,0.443
63,2.6250,2.6463,244.95,0.424,0.474
64,2.6667,4.1723,244.56,0.408,0.520
65,2.7083,4.6020,243.18,0.425,0.534
66,2.7500,4.8407,242.09,0.447,0.542
67,2.7917,5.3763,240.96,0.520,0.548
68,2.8333,4.1871,239.10,0.557,0.540
69,2.8750,3.1428,239.37,0.562,0.517
70,2.9167,1.5924,239.52,0.567,0.503
71,2.9583,0.6506,239.55,0.576,0.495
72,3.0000,0.6124,239.55,0.630,0.500
73,3.0417,0.0187,239.57,0.428,0.502
74,3.0833,0.0208,239.57,0.469,0.496
75,3.1250,0.0174,239.57,0.448,0.501
76,3.1667,0.0252,239.57,0.453,0.504
77,3.2083,0.0282,239.58,0.488,0.498
78,3.2500,0.1606,239.59,0.501,0.501
79,3.2917,0.3602,239.71,0.505,0.498
80,3.3333,0.3077,239.96,0.504,0.495
81,3.3750,0.0990,240.23,0.500,0.504
82,3.4167,0.1233,240.29,0.499,0.495
83,3.4583,0.2214,240.20,0.501,0.484
84,3.5000,0.1458,240.01,0.506,0.482
85,3.5417,0.0291,239.89,0.492,0.496
86,3.5833,0.0095,239.88,0.515,0.518
87,3.6250,0.0043,239.88,0.470,0.466
88,3.6667,0.0039,239.88,0.483,0.498
89,3.7083,0.3212,239.88,0.462,0.499
90,3.7500,2.3902,239.97,0.466,0.501
91,3.7917,2.5417,240.55,0.468,0.503
92,3.8333,0.6984,241.21,0.467,0.501
93,3.8750,0.2318,241.38,0.467,0.498
94,3.9167,0.0365,241.44,0.469,0.491
95,3.9583,0.0977,241.43,0.468,0.496
96,4.0000,0.7227,241.42,0.470,0.500
97,4.0417,2.3832,241.22,0.471,0.502
98,4.0833,2.9918,240.87,0.469,0.500
99,4.1250,0.5790,240.88,0.479,0.505
100,4.1667,228.0030,241.39,0.501,0.500
101,4.2083,220.9188,15.51,0.500,0.500
102,4.2500,215.6163,235.71,0.500,0.501
103,4.2917,215.6975,22.35,0.500,0.501
104,4.3333,207.0647,234.88,0.500,0.500
105,4.3750,1.6337,31.71,0.496,0.474
106,4.4167,0.4822,31.13,0.501,0.480
107,4.4583,0.0534,30.88,0.546,0.436
108,4.5000,0.0751,30.88,0.490,0.428
109,4.5417,0.0516,30.82,0.494,0.502
110,4.5833,0.0282,30.86,0.497,0.496
111,4.6250,0.0269,30.84,0.485,0.485
112,4.6667,0.0551,30.86,0.505,0.492
113,4.7083,0.0195,30.81,0.489,0.531
114,4.7500,0.0273,30.81,0.509,0.514
115,4.7917,0.0560,30.79,0.486,0.520
116,4.8333,0.0334,30.83,0.560,0.493
117,4.8750,0.0360,30.82,0.528,0.477
118,4.9167,0.0608,30.82,0.514,0.500
119,4.9583,0.0469,30.77,0.482,0.518
120,5.0000,0.0304,30.80,0.487,0.489
121,5.0417,0.0273,30.79,0.486,0.503
122,5.0833,0.0694,30.80,0.502,0.496
123,5.1250,0.0716,30.73,0.492,0.518
124,5.1667,0.0477,30.78,0.526,0.510
125,5.2083,0.0508,30.78,0.492,0.507
126,5.2500,0.0890,30.78,0.537,0.497
127,5.2917,0.0608,30.71,0.521,0.512
128,5.3333,0.0590,30.76,0.495,0.522
129,5.3750,0.0456,30.73,0.512,0.504
130,5.4167,0.0898,30.74,0.509,0.516
131,5.4583,0.0699,30.66,0.520,0.517
132,5.5000,0.0590,30.71,0.487,0.508
133,5.5417,0.0560,30.67,0.500,0.508
134,5.5833,0.0959,30.67,0.492,0.527
135,5.6250,0.0812,30.60,0.486,0.495
136,5.6667,0.0673,30.66,0.508,0.507
137,5.7083,0.0590,30.63,0.529,0.502
138,5.7500,0.0977,30.63,0.521,0.510
139,5.7917,0.0751,30.55,0.514,0.499
140,5.8333,0.0647,30.59,0.504,0.498
141,5.8750,0.0651,30.55,0.509,0.497
142,5.9167,0.0990,30.55,0.527,0.509
143,5.9583,0.5786,30.48,0.497,0.499
144,6.0000,0.0703,30.48,0.512,0.531
145,6.0417,0.0616,30.52,0.507,0.518
146,6.0833,0.0677,30.49,0.525,0.525
147,6.1250,0.0924,30.50,0.526,0.526
148,6.1667,0.0812,30.42,0.515,0.523
149,6.2083,0.0747,30.47,0.510,0.514
150,6.2500,0.0625,30.44,0.528,0.542
151,6.2917,0.1115,30.44,0.524,0.523
152,6.3333,0.0738,30.35,0.504,0.512
153,6.3750,0.0734,30.38,0.506,0.511
154,6.4167,0.0664,30.35,0.510,0.510
155,6.4583,0.1168,30.36,0.514,0.512
156,6.5000,0.0864,30.27,0.511,0.531
157,6.5417,0.0807,30.31,0.506,0.520
158,6.5833,0.0586,30.27,0.523,0.513
159,6.6250,0.1115,30.28,0.505,0.522
160,6.6667,0.0816,30.20,0.510,0.512
161,6.7083,0.0686,30.23,0.518,0.505
162,6.7500,0.0729,30.21,0.512,0.528
163,6.7917,0.0911,30.21,0.504,0.532
164,6.8333,0.0456,30.15,0.539,0.525
165,6.8750,0.0738,30.15,0.494,0.523
166,6.9167,30.1246,30.12,0.500,0.500
