frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,0.1068,91.08,0.476,0.656
1,0.0167,0.1211,91.12,0.585,0.734
2,0.0333,0.0577,91.08,0.415,0.698
3,0.0500,0.0803,91.09,0.432,0.656
4,0.0667,0.1016,91.13,0.418,0.596
5,0.0833,0.0221,91.06,0.362,0.671
6,0.1000,0.0195,91.07,0.357,0.709
7,0.1167,0.0252,91.07,0.420,0.667
8,0.1333,0.0456,91.07,0.372,0.737
9,0.1500,0.0269,91.07,0.413,0.688
10,0.1667,0.0243,91.08,0.332,0.619
11,0.1833,0.0299,91.09,0.300,0.629
12,0.2000,0.0169,91.07,0.376,0.650
13,0.2167,0.0095,91.08,0.457,0.632
14,0.2333,0.0069,91.08,0.341,0.523
15,0.2500,0.0217,91.08,0.320,0.382
16,0.2667,0.0660,91.06,0.563,0.315
17,0.2833,0.0430,91.09,0.551,0.346
18,0.3000,0.5829,91.10,0.699,0.334
19,0.3167,35.6233,91.61,0.631,0.550
20,0.3333,0.1024,124.73,0.672,0.785
21,0.3500,0.0256,124.69,0.621,0.403
22,0.3667,0.2826,124.70,0.544,0.414
23,0.3833,0.2127,124.76,0.489,0.855
24,0.4000,0.1710,124.84,0.461,0.856
25,0.4167,2.1541,124.80,0.506,0.880
26,0.4333,0.1662,122.78,0.330,0.831
27,0.4500,0.0369,122.69,0.368,0.612
28,0.4667,0.0434,122.71,0.367,0.675
29,0.4833,0.0286,122.69,0.350,0.679
30,0.5000,0.0178,122.70,0.365,0.693
31,0.5167,0.1289,122.70,0.250,0.732
32,0.5333,0.0499,122.60,0.292,0.702
33,0.5500,0.0260,122.57,0.525,0.306
34,0.5667,0.0269,122.57,0.549,0.349
35,0.5833,0.0816,122.57,0.598,0.157
36,0.6000,0.0104,122.55,0.462,0.686
37,0.6167,0.0169,122.55,0.284,0.618
38,0.6333,0.0182,122.56,0.288,0.469
39,0.6500,0.0243,122.54,0.418,0.676
40,0.6667,0.0095,122.55,0.444,0.594
41,0.6833,0.0230,122.55,0.336,0.749
42,0.7000,0.0469,122.56,0.409,0.489
43,0.7167,0.0078,122.52,0.336,0.537
44,0.7333,0.0048,122.53,0.362,0.608
45,0.7500,0.0061,122.53,0.332,0.594
46,0.7667,0.0100,122.53,0.431,0.530
47,0.7833,0.0091,122.53,0.471,0.544
48,0.8000,0.0048,122.53,0.535,0.670
49,0.8167,0.0039,122.53,0.377,0.514
50,0.8333,0.0117,122.53,0.373,0.419
51,0.8500,0.0117,122.53,0.363,0.565
52,0.8667,0.0043,122.53,0.348,0.560
53,0.8833,0.0039,122.53,0.439,0.524
54,0.9000,0.0174,122.54,0.344,0.547
55,0.9167,0.0048,122.52,0.410,0.496
56,0.9333,0.0009,122.53,0.413,0.814
57,0.9500,0.0017,122.53,0.310,0.636
58,0.9667,0.0056,122.53,0.288,0.664
59,0.9833,0.0052,122.53,0.368,0.643
60,1.0000,0.0048,122.53,0.341,0.626
61,1.0167,0.0048,122.53,0.394,0.636
62,1.0333,0.0082,122.53,0.502,0.635
63,1.0500,0.0087,122.53,0.440,0.474
64,1.0667,0.0048,122.53,0.394,0.447
65,1.0833,0.0009,122.53,0.413,0.514
66,1.1000,0.0061,122.53,0.341,0.557
67,1.1167,0.0048,122.53,0.238,0.714
68,1.1333,0.0013,122.53,0.201,0.838
69,1.1500,0.0017,122.53,0.298,0.786
70,1.1667,0.0078,122.53,0.414,0.757
71,1.1833,0.0030,122.52,0.345,0.412
72,1.2000,0.0017,122.52,0.556,0.757
73,1.2167,0.0009,122.52,0.111,0.629
74,1.2333,0.0061,122.52,0.475,0.767
75,1.2500,0.0035,122.52,0.399,0.739
76,1.2667,0.0004,122.52,0.302,0.829
77,1.2833,0.0009,122.52,0.516,0.900
78,1.3000,0.0017,122.52,0.337,0.843
79,1.3167,0.0013,122.52,0.280,0.800
80,1.3333,0.0004,122.52,0.857,0.743
81,1.3500,0.0004,122.52,0.905,0.229
82,1.3667,0.0052,122.52,0.458,0.788
83,1.3833,0.0043,122.52,0.317,0.714
84,1.4000,0.0013,122.52,0.275,0.848
85,1.4167,0.0035,122.52,0.446,0.682
86,1.4333,0.0078,122.52,0.317,0.678
87,1.4500,0.2148,122.51,0.582,0.417
88,1.4667,0.0043,122.49,0.375,0.680
89,1.4833,0.0117,122.49,0.320,0.802
90,1.5000,0.5573,122.49,0.578,0.423
91,1.5167,0.0022,122.69,0.289,0.903
92,1.5333,0.0039,122.69,0.134,0.943
93,1.5500,0.0009,122.69,0.103,0.971
94,1.5667,0.0030,122.69,0.302,0.882
95,1.5833,0.5200,122.69,0.578,0.414
96,1.6000,0.0043,122.93,0.354,0.811
97,1.6167,0.0022,122.92,0.295,0.806
98,1.6333,0.0039,122.92,0.392,0.740
99,1.6500,0.0074,122.92,0.220,0.894
100,1.6667,0.0091,122.93,0.267,0.860
101,1.6833,0.5894,122.92,0.590,0.404
102,1.7000,0.0056,123.15,0.293,0.785
103,1.7167,0.0030,123.15,0.227,0.812
104,1.7333,0.0035,123.15,0.349,0.800
105,1.7500,0.0117,123.15,0.263,0.889
106,1.7667,0.4097,123.16,0.571,0.405
107,1.7833,0.0035,123.14,0.347,0.711
108,1.8000,0.4423,123.14,0.568,0.413
109,1.8167,0.0013,123.35,0.317,0.848
110,1.8333,0.0035,123.35,0.349,0.671
111,1.8500,0.0048,123.34,0.152,0.927
112,1.8667,0.0043,123.35,0.190,0.929
113,1.8833,0.0030,123.35,0.283,0.927
114,1.9000,0.0078,123.35,0.224,0.832
115,1.9167,0.3034,123.34,0.577,0.383
116,1.9333,0.0030,123.27,0.415,0.702
117,1.9500,0.0017,123.27,0.444,0.600
118,1.9667,0.0026,123.27,0.452,0.410
119,1.9833,0.0117,123.26,0.366,0.704
120,2.0000,0.4249,123.27,0.557,0.371
121,2.0167,0.0048,123.13,0.434,0.577
122,2.0333,0.0117,123.13,0.326,0.698
123,2.0500,0.6385,123.12,0.541,0.382
124,2.0667,0.0022,122.96,0.479,0.566
125,2.0833,0.0039,122.96,0.524,0.343
126,2.1000,0.0052,122.96,0.504,0.383
127,2.1167,0.6879,122.95,0.533,0.409
128,2.1333,0.0026,122.83,0.471,0.629
129,2.1500,0.0043,122.83,0.570,0.383
130,2.1667,0.0082,122.83,0.487,0.492
131,2.1833,1.0803,122.83,0.520,0.436
132,2.2000,0.0052,122.35,0.321,0.786
133,2.2167,0.0043,122.35,0.314,0.811
134,2.2333,0.0061,122.35,0.256,0.861
135,2.2500,0.0139,122.35,0.312,0.742
136,2.2667,1.1402,122.36,0.541,0.443
137,2.2833,0.0026,121.99,0.466,0.805
138,2.3000,0.0039,121.99,0.254,0.819
139,2.3167,0.0087,121.99,0.448,0.647
140,2.3333,1.2131,121.99,0.555,0.443
141,2.3500,0.0082,121.63,0.273,0.779
142,2.3667,0.0061,121.63,0.334,0.698
143,2.3833,0.0082,121.63,0.373,0.623
