frame,time,motion,luma,centroid_x,centroid_y
0,0.0000,1.6241,19.60,0.577,0.424
1,0.0333,1.5538,20.52,0.515,0.419
2,0.0667,1.5069,20.87,0.514,0.432
3,0.1000,1.7396,21.33,0.561,0.435
4,0.1333,1.3082,22.57,0.616,0.447
5,0.1667,1.1910,23.23,0.562,0.479
6,0.2000,1.1341,24.03,0.389,0.517
7,0.2333,1.2378,24.29,0.322,0.519
8,0.2667,4.0260,23.87,0.473,0.460
9,0.3000,2.3641,22.38,0.478,0.501
10,0.3333,208.0161,22.84,0.497,0.492
11,0.3667,208.1684,230.60,0.497,0.493
12,0.4000,4.3030,22.80,0.517,0.483
13,0.4333,23.2066,22.52,0.385,0.587
14,0.4667,6.3889,38.69,0.456,0.487
15,0.5000,53.1254,38.47,0.397,0.422
16,0.5333,38.3003,55.65,0.412,0.347
17,0.5667,4.2031,20.79,0.486,0.514
18,0.6000,3.1016,21.03,0.456,0.493
19,0.6333,3.3299,21.17,0.477,0.504
20,0.6667,36.6636,19.48,0.496,0.093
21,0.7000,75.2917,54.07,0.503,0.414
22,0.7333,71.6836,51.49,0.503,0.576
23,0.7667,35.9562,52.48,0.505,0.405
24,0.8000,4.1246,20.02,0.450,0.513
25,0.8333,39.5417,20.89,0.492,0.869
26,0.8667,37.2422,52.63,0.498,0.888
27,0.9000,39.4154,22.43,0.507,0.567
28,0.9333,39.4614,60.23,0.504,0.561
29,0.9667,39.3572,23.81,0.484,0.274
30,1.0000,47.6471,58.22,0.496,0.334
31,1.0333,9.4115,28.58,0.520,0.636
32,1.0667,8.2283,25.67,0.534,0.490
33,1.1000,7.6293,26.76,0.514,0.464
34,1.1333,37.5890,24.44,0.546,0.555
35,1.1667,0.0000,23.47,0.500,0.500
36,1.2000,15.6011,23.47,0.589,0.492
37,1.2333,0.0234,10.21,0.374,0.370
38,1.2667,8.3333,10.19,0.525,0.491
39,1.3000,3.9310,1.86,0.521,0.821
40,1.3333,0.0017,5.79,0.611,0.857
41,1.3667,0.0043,5.79,0.440,0.714
42,1.4000,0.0035,5.79,0.603,0.857
43,1.4333,15.7357,5.79,0.504,0.490
44,1.4667,10.2131,21.52,0.521,0.617
45,1.5000,17.0473,18.47,0.470,0.385
46,1.5333,10.6063,29.21,0.510,0.508
47,1.5667,19.0803,34.08,0.444,0.451
48,1.6000,16.0495,40.71,0.506,0.522
49,1.6333,20.8359,42.52,0.469,0.523
50,1.6667,14.3529,53.26,0.422,0.515
51,1.7000,19.4327,48.48,0.520,0.521
52,1.7333,12.9878,52.23,0.545,0.521
53,1.7667,20.1185,47.94,0.519,0.502
54,1.8000,10.5239,49.31,0.501,0.509
55,1.8333,8.6753,45.09,0.517,0.507
56,1.8667,6.1684,43.98,0.539,0.527
57,1.9000,5.4492,41.42,0.448,0.536
58,1.9333,5.0447,42.74,0.459,0.532
59,1.9667,4.9093,41.86,0.535,0.540
60,2.0000,12.6606,42.24,0.514,0.552
61,2.0333,2.2352,50.94,0.554,0.556
62,2.0667,2.4154,51.34,0.514,0.550
63,2.1000,2.3194,51.40,0.498,0.544
64,2.1333,2.3707,50.89,0.465,0.530
65,2.1667,2.5100,50.96,0.466,0.525
66,2.2000,2.6888,50.62,0.454,0.522
67,2.2333,3.1528,50.90,0.458,0.542
68,2.2667,3.2552,51.80,0.542,0.524
69,2.3000,2.7300,52.61,0.527,0.546
70,2.3333,2.2062,52.50,0.556,0.527
71,2.3667,1.8767,53.24,0.523,0.506
72,2.4000,1.7674,53.38,0.524,0.506
73,2.4333,10.3342,53.17,0.428,0.639
74,2.4667,1.6376,61.95,0.511,0.569
75,2.5000,1.5586,62.02,0.529,0.571
76,2.5333,1.4926,61.58,0.513,0.569
77,2.5667,4.9761,61.62,0.453,0.485
78,2.6000,1.7769,63.66,0.503,0.550
79,2.6333,1.9692,63.73,0.483,0.552
80,2.6667,1.8307,63.83,0.461,0.564
81,2.7000,1.0603,63.94,0.427,0.556
82,2.7333,0.8333,64.00,0.429,0.538
83,2.7667,0.9566,64.04,0.433,0.538
84,2.8000,1.0443,64.00,0.480,0.516
85,2.8333,9.2435,64.08,0.508,0.284
86,2.8667,38.0009,56.01,0.457,0.510
87,2.9000,1.4184,20.43,0.595,0.512
88,2.9333,1.8689,20.46,0.530,0.474
89,2.9667,1.6098,20.41,0.528,0.466
90,3.0000,1.1146,19.98,0.491,0.459
91,3.0333,0.9227,19.81,0.464,0.429
92,3.0667,0.7582,19.71,0.528,0.477
93,3.1000,0.8668,19.55,0.490,0.453
94,3.1333,1.2396,19.65,0.421,0.441
95,3.1667,14.6549,20.35,0.311,0.323
96,3.2000,140.0165,34.09,0.473,0.547
97,3.2333,65.1068,162.51,0.368,0.557
98,3.2667,0.0213,133.10,0.204,0.584
99,3.3000,117.7344,133.12,0.590,0.561
100,3.3333,0.0512,16.16,0.462,0.509
101,3.3667,0.0898,16.15,0.493,0.514
102,3.4000,5.0951,16.07,0.466,0.344
103,3.4333,0.0022,20.73,0.124,0.451
104,3.4667,0.1385,20.73,0.449,0.489
105,3.5000,0.2044,20.79,0.466,0.454
106,3.5333,0.6515,20.79,0.481,0.364
107,3.5667,55.6840,21.25,0.561,0.358
108,3.6000,0.0013,70.46,0.011,0.000
109,3.6333,60.8568,70.46,0.553,0.356
110,3.6667,0.0286,15.77,0.408,0.556
111,3.7000,0.0391,15.78,0.478,0.527
112,3.7333,0.0412,15.75,0.520,0.556
113,3.7667,2.0273,15.78,0.556,0.371
114,3.8000,0.0369,17.61,0.510,0.547
115,3.8333,0.0369,17.63,0.463,0.490
116,3.8667,0.1042,17.62,0.507,0.461
117,3.9000,0.1298,17.68,0.461,0.438
118,3.9333,16.6745,17.74,0.573,0.439
119,3.9667,0.0595,31.38,0.484,0.477
120,4.0000,18.7357,31.36,0.570,0.431
121,4.0333,0.0543,15.67,0.502,0.521
122,4.0667,0.0182,15.64,0.474,0.503
123,4.1000,0.0391,15.64,0.531,0.512
124,4.1333,0.0065,15.61,0.406,0.463
125,4.1667,0.0113,15.61,0.413,0.459
126,4.2000,0.0035,15.60,0.669,0.446
127,4.2333,33.4288,15.60,0.459,0.504
128,4.2667,0.0087,47.29,0.475,0.309
129,4.3000,23.2982,47.29,0.499,0.490
130,4.3333,0.0221,36.70,0.589,0.350
131,4.3667,26.3615,36.69,0.473,0.502
132,4.4000,0.1411,43.71,0.495,0.147
133,4.4333,18.3537,43.83,0.479,0.456
134,4.4667,0.0130,38.54,0.458,0.267
135,4.5000,27.5764,38.53,0.499,0.473
136,4.5333,0.0447,53.89,0.495,0.305
137,4.5667,17.8859,53.85,0.553,0.546
138,4.6000,0.0256,52.11,0.786,0.315
139,4.6333,22.7331,52.10,0.519,0.492
140,4.6667,0.0122,37.04,0.482,0.381
141,4.7000,31.2344,37.04,0.555,0.433
142,4.7333,1.4701,61.70,0.593,0.411
143,4.7667,28.4709,62.73,0.499,0.437
144,4.8000,0.0720,40.57,0.484,0.390
145,4.8333,30.6489,40.56,0.460,0.479
146,4.8667,0.1372,65.43,0.478,0.409
147,4.9000,36.2491,65.52,0.513,0.391
148,4.9333,0.0755,67.64,0.408,0.308
149,4.9667,45.0660,67.66,0.513,0.420
150,5.0000,0.1493,72.80,0.544,0.053
151,5.0333,39.5191,72.67,0.493,0.480
152,5.0667,0.0074,46.16,0.412,0.213
153,5.1000,35.1992,46.16,0.456,0.480
154,5.1333,0.0026,71.12,0.638,0.195
155,5.1667,42.2826,71.11,0.504,0.483
156,5.2000,0.0126,86.49,0.572,0.268
157,5.2333,44.5469,86.48,0.511,0.479
158,5.2667,42.2535,66.99,0.498,0.508
159,5.3000,0.0165,36.78,0.749,0.317
160,5.3333,0.0143,36.79,0.495,0.417
161,5.3667,27.3802,36.78,0.605,0.464
162,5.4000,12.4123,22.59,0.517,0.475
163,5.4333,28.0773,30.74,0.503,0.525
164,5.4667,6.6845,34.36,0.562,0.484
165,5.5000,45.7392,36.29,0.375,0.420
166,5.5333,32.9158,47.03,0.397,0.342
167,5.5667,5.3759,22.90,0.519,0.509
168,5.6000,5.6879,23.36,0.529,0.523
169,5.6333,6.2457,24.39,0.524,0.512
170,5.6667,41.0803,25.16,0.500,0.163
171,5.7000,40.3863,59.97,0.498,0.138
172,5.7333,31.9514,27.84,0.496,0.413
173,5.7667,35.7912,54.74,0.504,0.410
174,5.8000,8.8581,38.33,0.458,0.455
175,5.8333,12.9253,33.11,0.481,0.392
176,5.8667,5.8273,29.74,0.467,0.511
177,5.9000,30.6306,31.18,0.500,0.564
178,5.9333,35.0907,53.82,0.492,0.550
179,5.9667,38.6832,28.93,0.490,0.278
180,6.0000,40.7539,59.81,0.491,0.297
181,6.0333,8.3247,29.41,0.444,0.463
182,6.0667,4.8108,27.76,0.488,0.514
183,6.1000,7.4557,29.64,0.514,0.469
184,6.1333,5.4384,30.43,0.518,0.459
185,6.1667,7.2023,31.49,0.510,0.428
186,6.2000,6.3563,31.11,0.533,0.439
187,6.2333,4.4861,29.61,0.549,0.471
188,6.2667,5.1437,30.11,0.550,0.474
189,6.3000,5.1840,31.69,0.551,0.486
190,6.3333,6.1649,32.29,0.548,0.467
191,6.3667,6.8490,32.01,0.499,0.464
192,6.4000,8.8503,32.89,0.428,0.428
193,6.4333,4.6181,38.11,0.418,0.482
194,6.4667,9.3685,38.49,0.441,0.521
195,6.5000,4.6029,35.92,0.436,0.494
196,6.5333,3.5321,36.21,0.460,0.513
197,6.5667,11.0412,36.53,0.485,0.451
198,6.6000,4.6567,38.87,0.433,0.511
199,6.6333,12.6220,38.37,0.471,0.393
200,6.6667,12.7908,37.13,0.447,0.450
201,6.7000,6.0898,25.57,0.500,0.497
202,6.7333,9.9280,25.68,0.510,0.466
203,6.7667,6.2734,26.72,0.530,0.487
204,6.8000,9.8359,26.58,0.523,0.492
205,6.8333,5.6198,24.79,0.513,0.502
206,6.8667,5.1806,25.27,0.540,0.509
207,6.9000,7.9709,26.09,0.524,0.486
208,6.9333,6.1910,26.00,0.548,0.488
209,6.9667,8.6016,26.25,0.515,0.425
210,7.0000,8.5295,26.85,0.513,0.457
211,7.0333,10.2170,27.62,0.455,0.433
212,7.0667,9.5269,33.36,0.474,0.450
213,7.1000,6.6285,27.57,0.486,0.480
214,7.1333,6.1875,27.01,0.492,0.494
215,7.1667,7.1645,28.27,0.496,0.489
216,7.2000,6.9223,26.63,0.474,0.490
217,7.2333,6.6098,26.41,0.477,0.493
218,7.2667,7.1055,26.31,0.480,0.473
219,7.3000,13.3880,28.61,0.495,0.468
220,7.3333,9.1975,16.06,0.482,0.418
221,7.3667,3.0686,24.84,0.492,0.430
222,7.4000,1.9753,25.08,0.601,0.417
223,7.4333,1.4518,25.42,0.656,0.437
224,7.4667,1.9293,25.82,0.524,0.502
225,7.5000,3.0178,26.01,0.375,0.514
226,7.5333,2.8264,27.46,0.384,0.471
227,7.5667,5.2088,27.83,0.455,0.475
228,7.6000,6.2921,27.89,0.456,0.446
