frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.3715,0.3715,1.8681,55.60,0.457,0.400
1,0.0334,0.2168,0.4386,2.2569,55.84,0.491,0.402
2,0.0667,0.2191,0.6312,3.2778,55.73,0.528,0.386
3,0.1001,0.3933,0.7190,3.8889,55.83,0.503,0.399
4,0.1335,0.1572,0.8200,4.4097,55.49,0.558,0.541
5,0.1668,0.1131,0.8751,4.7431,55.58,0.566,0.535
6,0.2002,0.1153,0.9349,4.8056,55.55,0.556,0.547
7,0.2336,0.1522,0.9862,4.9444,55.58,0.586,0.561
8,0.2669,0.2459,1.0073,4.2361,55.48,0.486,0.501
9,0.3003,0.3123,1.0242,3.2708,55.57,0.556,0.497
10,0.3337,0.4153,1.2560,3.9514,55.37,0.515,0.493
11,0.3670,0.5856,1.3794,6.4931,55.25,0.530,0.493
12,0.4004,0.6168,1.7116,10.8542,54.86,0.480,0.511
13,0.4338,0.8215,2.0446,16.9375,54.85,0.482,0.505
14,0.4671,1.1632,2.5098,23.7361,54.64,0.475,0.504
15,0.5005,1.6182,3.0386,29.8750,54.51,0.479,0.505
16,0.5339,1.9754,3.5813,35.5625,54.20,0.480,0.513
17,0.5672,1.9448,4.0757,40.6181,54.22,0.491,0.510
18,0.6006,1.9364,4.4912,43.3611,54.04,0.493,0.508
19,0.6340,1.8947,4.8203,45.0278,54.02,0.501,0.501
20,0.6673,1.8073,5.3036,46.0556,53.80,0.504,0.492
21,0.7007,1.5934,5.7135,47.4514,54.06,0.505,0.468
22,0.7341,1.4083,5.9689,46.5764,54.07,0.506,0.457
23,0.7674,1.3478,6.2358,46.3889,54.29,0.501,0.437
24,0.8008,1.2183,6.1766,42.8264,54.20,0.491,0.431
25,0.8342,1.1082,6.0731,38.1875,54.53,0.480,0.422
26,0.8675,1.0919,5.9404,38.6875,54.56,0.475,0.419
27,0.9009,1.1224,5.8920,41.3125,54.73,0.470,0.417
28,0.9343,1.2180,5.7806,41.7431,54.61,0.466,0.445
29,0.9676,1.1403,5.5503,42.0903,54.88,0.455,0.439
30,1.0010,1.2012,5.4565,44.1597,54.88,0.459,0.468
31,1.0344,1.1705,5.5186,44.6667,55.01,0.454,0.467
32,1.0677,1.1335,5.8660,46.0694,54.85,0.476,0.498
33,1.1011,0.9383,6.1785,47.4861,55.11,0.465,0.527
34,1.1345,0.8267,6.3130,47.6806,55.13,0.473,0.552
35,1.1678,0.7963,6.2563,47.2917,55.25,0.470,0.545
36,1.2012,0.8891,5.8610,45.9236,55.13,0.527,0.554
37,1.2346,0.8235,5.3161,44.0139,55.45,0.531,0.527
38,1.2679,0.9546,4.9278,42.0208,55.49,0.534,0.517
39,1.3013,1.0825,5.0230,40.4861,55.71,0.530,0.489
40,1.3347,1.1633,5.1468,38.0972,55.66,0.533,0.482
41,1.3680,1.1127,5.2579,35.7361,56.04,0.532,0.470
42,1.4014,1.0275,5.4875,40.3958,56.14,0.531,0.461
43,1.4348,0.9708,5.8671,44.0972,56.39,0.526,0.451
44,1.4681,1.0123,5.9119,43.2917,56.32,0.486,0.431
45,1.5015,0.9992,5.8496,41.2292,56.70,0.479,0.422
46,1.5349,1.1081,5.7656,41.3611,56.80,0.468,0.416
47,1.5682,1.1443,5.7348,39.8194,57.00,0.474,0.426
48,1.6016,1.3173,5.8215,35.1042,56.90,0.461,0.425
49,1.6350,1.2176,5.9593,37.3056,57.25,0.465,0.428
50,1.6683,1.1500,6.1534,42.1181,57.35,0.464,0.419
51,1.7017,1.0344,6.3837,45.6528,57.63,0.476,0.420
52,1.7351,1.0623,6.3627,46.2222,57.56,0.494,0.411
53,1.7684,1.2100,6.2067,41.6250,57.91,0.517,0.431
