frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.2119,0.2119,4.3333,232.73,0.496,0.238
1,0.0167,0.1715,0.3835,7.4653,232.53,0.499,0.242
2,0.0333,0.1922,0.5756,10.6250,232.36,0.497,0.249
3,0.0500,0.1934,0.7690,13.6111,232.18,0.499,0.254
4,0.0667,0.1669,0.9359,16.0347,232.01,0.496,0.254
5,0.0833,0.1092,1.0450,17.5347,231.85,0.501,0.264
6,0.1000,0.0753,1.1203,18.3611,231.75,0.503,0.274
7,0.1167,0.0521,1.1724,18.9861,231.68,0.489,0.271
8,0.1333,0.0114,0.9717,14.8472,231.64,0.514,0.249
9,0.1500,0.0439,0.8439,12.1319,231.63,0.505,0.288
10,0.1667,0.0766,0.7281,10.8681,231.59,0.497,0.277
11,0.1833,0.0067,0.5404,8.4861,231.52,0.500,0.303
12,0.2000,0.0151,0.3886,6.4722,231.52,0.490,0.291
13,0.2167,0.0069,0.2861,5.0347,231.50,0.510,0.291
14,0.2333,0.0195,0.2299,4.2222,231.50,0.497,0.282
15,0.2500,0.0107,0.1860,3.3194,231.48,0.513,0.610
16,0.2667,1.7783,1.9512,26.9028,231.49,0.136,0.645
17,0.2833,1.6498,3.5566,51.2639,229.73,0.134,0.649
18,0.3000,0.0021,3.4814,51.2639,228.11,0.272,0.317
19,0.3167,4.1382,7.6058,94.7222,228.11,0.200,0.651
20,0.3333,2.3385,9.9251,113.6806,224.03,0.235,0.652
21,0.3500,1.6482,11.5566,128.6042,221.74,0.216,0.655
22,0.3667,2.7668,14.2835,138.1389,220.12,0.409,0.626
23,0.3833,2.7005,16.9028,147.7014,217.40,0.407,0.626
24,0.4000,1.9630,16.7057,126.2431,214.80,0.411,0.626
25,0.4167,3.1495,17.7592,106.5556,213.24,0.560,0.634
26,0.4333,3.2031,20.5480,111.9236,210.56,0.559,0.635
27,0.4500,2.5182,18.2919,98.3958,207.79,0.585,0.639
28,0.4667,3.6714,19.8952,113.5417,205.96,0.705,0.643
29,0.4833,3.7208,22.6127,134.7292,203.05,0.709,0.643
30,0.5000,2.9170,22.7128,150.7778,199.98,0.744,0.645
31,0.5167,2.3930,22.4532,162.5833,197.71,0.728,0.645
32,0.5333,2.4701,23.2470,175.7500,196.02,0.730,0.644
33,0.5500,1.5704,21.7323,151.9097,194.13,0.760,0.648
34,0.5667,1.6304,20.4632,150.1597,192.97,0.759,0.645
35,0.5833,0.9835,19.0622,152.5139,191.68,0.785,0.649
36,0.6000,1.0213,16.4517,135.0556,190.89,0.779,0.646
37,0.6167,0.1343,12.9392,108.9931,190.00,0.582,0.632
38,0.6333,1.1305,11.1369,96.4514,189.96,0.781,0.654
39,0.6500,0.2198,8.9718,80.4722,188.97,0.827,0.659
40,0.6667,0.2559,6.7244,63.3472,188.79,0.787,0.645
41,0.6833,0.1344,5.3069,51.6319,188.62,0.833,0.645
42,0.7000,0.2537,3.9605,39.6597,188.51,0.585,0.637
43,0.7167,0.0242,3.0060,30.2847,188.35,0.558,0.676
44,0.7333,0.0119,2.0350,20.9097,188.37,0.641,0.702
45,0.7500,0.0164,1.9206,20.1389,188.36,0.672,0.621
46,0.7667,0.1590,0.8885,8.7222,188.37,0.694,0.613
47,0.7833,0.0371,0.7031,6.0694,188.38,0.385,0.641
48,0.8000,0.0875,0.6235,4.9653,188.40,0.325,0.645
49,0.8167,0.0155,0.5037,4.1944,188.39,0.539,0.597
50,0.8333,0.0330,0.2964,4.2361,188.40,0.562,0.601
51,0.8500,0.0281,0.3025,4.2292,188.37,0.427,0.605
52,0.8667,0.1597,0.3648,4.7292,188.38,0.593,0.629
53,0.8833,0.0107,0.3633,4.7153,188.38,0.615,0.594
54,0.9000,0.0166,0.2958,3.0347,188.38,0.560,0.633
55,0.9167,0.0146,0.2811,3.0486,188.37,0.544,0.607
56,0.9333,0.0123,0.2205,3.0417,188.38,0.473,0.584
57,0.9500,0.0067,0.2156,3.0486,188.37,0.291,0.627
58,0.9667,0.1750,0.2276,2.9236,188.37,0.657,0.625
59,0.9833,0.0088,0.2122,2.9306,188.37,0.478,0.659
60,1.0000,0.0084,0.2041,3.7292,188.37,0.429,0.615
61,1.0167,0.0055,0.2093,3.7222,188.37,0.294,0.661
62,1.0333,0.0503,0.2335,3.7153,188.37,0.645,0.659
63,1.0500,0.0021,0.2263,3.7361,188.35,0.527,0.623
64,1.0667,0.0875,0.2423,3.7569,188.36,0.694,0.610
65,1.0833,0.0013,0.2406,3.7500,188.33,0.607,0.614
66,1.1000,0.0024,0.1515,3.0208,188.33,0.425,0.630
67,1.1167,0.0056,0.1533,3.0208,188.33,0.418,0.660
68,1.1333,0.0326,0.1612,3.0417,188.33,0.743,0.651
69,1.1500,0.0039,0.1603,3.0417,188.33,0.246,0.658
70,1.1667,0.1172,0.1190,2.5417,188.33,0.673,0.610
71,1.1833,0.0035,0.1194,2.5486,188.38,0.300,0.653
72,1.2000,0.0038,0.1596,3.6944,188.38,0.342,0.619
73,1.2167,0.0322,0.1727,3.6944,188.38,0.837,0.655
74,1.2333,0.0075,0.1776,3.7222,188.37,0.250,0.623
75,1.2500,0.0041,0.1761,3.7431,188.37,0.429,0.620
76,1.2667,0.0030,0.1637,3.7431,188.37,0.496,0.660
77,1.2833,0.0751,0.1729,3.7569,188.37,0.685,0.612
78,1.3000,0.0059,0.1268,2.3194,188.36,0.412,0.629
79,1.3167,0.0677,0.1744,2.3125,188.36,0.761,0.652
80,1.3333,0.0068,0.1724,2.3194,188.39,0.438,0.660
81,1.3500,0.0044,0.1594,2.3194,188.39,0.408,0.658
82,1.3667,0.0360,0.1786,2.7292,188.39,0.581,0.647
83,1.3833,0.3278,0.2985,3.4514,188.36,0.679,0.638
84,1.4000,0.2188,0.4773,3.5139,188.44,0.517,0.629
85,1.4167,0.7388,1.1964,7.7014,188.41,0.502,0.628
86,1.4333,1.6816,2.8088,19.5069,188.39,0.498,0.628
87,1.4500,2.6919,5.3892,38.1667,188.27,0.485,0.628
88,1.4667,2.8940,7.8302,55.9792,188.13,0.502,0.628
89,1.4833,4.6799,10.9271,72.6667,188.02,0.526,0.627
90,1.5000,12.7843,16.5638,92.8403,188.04,0.539,0.627
91,1.5167,14.8659,19.7256,90.2222,188.71,0.540,0.627
92,1.5333,16.8125,23.0876,109.8194,189.67,0.520,0.627
93,1.5500,19.1765,27.6833,149.2361,191.01,0.498,0.631
94,1.5667,20.0641,32.1000,136.5000,192.87,0.484,0.632
95,1.5833,21.6629,37.7999,170.9306,194.11,0.473,0.633
96,1.6000,0.0056,37.4014,169.9375,195.95,0.626,0.584
97,1.6167,26.3751,38.7266,163.2361,195.95,0.542,0.633
98,1.6333,22.5052,39.8544,166.7361,193.94,0.518,0.633
99,1.6500,22.6430,40.8409,161.7361,191.76,0.492,0.633
100,1.6667,21.7544,40.4380,171.6667,189.26,0.469,0.634
101,1.6833,22.6925,39.7480,157.9653,186.93,0.493,0.639
102,1.7000,22.9059,38.8123,165.7222,186.72,0.496,0.641
103,1.7167,21.3251,39.0795,173.3750,185.48,0.489,0.643
104,1.7333,21.1147,39.8451,165.7639,185.36,0.488,0.645
105,1.7500,20.3615,37.7536,166.4514,184.79,0.516,0.647
106,1.7667,20.2118,36.7605,157.9722,185.51,0.511,0.647
107,1.7833,20.4362,35.0116,177.3403,184.91,0.482,0.647
108,1.8000,19.3824,33.2253,166.9861,184.08,0.463,0.648
109,1.8167,18.8391,33.2599,154.8056,183.44,0.491,0.648
110,1.8333,19.7176,32.4120,152.6181,183.97,0.497,0.647
111,1.8500,19.3912,32.2982,167.3264,185.83,0.472,0.646
112,1.8667,18.6162,32.4601,143.9653,187.44,0.453,0.646
113,1.8833,18.7517,33.8255,145.6736,189.01,0.442,0.646
114,1.9000,16.7833,34.2909,139.3958,190.17,0.475,0.647
115,1.9167,16.3324,35.7064,160.9722,189.70,0.462,0.646
116,1.9333,15.6661,37.1477,162.8750,189.59,0.456,0.647
117,1.9500,0.0454,37.4944,165.9097,190.20,0.467,0.666
118,1.9667,20.1556,35.4070,197.9931,190.21,0.429,0.649
119,1.9833,13.1985,34.1876,172.3889,190.53,0.426,0.649
120,2.0000,11.9583,33.7259,161.4236,190.37,0.435,0.648
121,2.0167,10.7587,33.6649,180.5833,191.07,0.453,0.647
122,2.0333,10.9936,32.1649,182.4722,192.61,0.442,0.647
123,2.0500,11.2463,30.6125,152.9861,194.00,0.437,0.648
124,2.0667,11.8530,28.7562,158.8889,195.13,0.434,0.650
125,2.0833,13.1031,30.2709,166.9722,196.16,0.432,0.652
126,2.1000,14.5952,27.5477,182.6667,197.93,0.421,0.654
127,2.1167,13.6279,27.2168,162.9236,200.29,0.437,0.654
128,2.1333,16.8743,29.6263,160.6875,201.65,0.524,0.651
129,2.1500,18.6082,33.0029,179.5069,201.18,0.511,0.649
130,2.1667,18.3022,36.8009,201.6667,200.00,0.497,0.649
131,2.1833,19.2573,37.8934,208.1944,198.26,0.568,0.650
132,2.2000,21.5163,38.5214,198.8889,201.41,0.556,0.649
133,2.2167,21.7819,39.4114,182.3264,204.66,0.548,0.648
134,2.2333,0.0230,37.7439,206.5208,207.81,0.536,0.630
135,2.2500,27.9544,40.1082,226.0972,207.81,0.590,0.650
136,2.2667,20.7219,39.8385,184.1736,205.33,0.546,0.656
137,2.2833,23.1121,40.2357,226.7778,203.50,0.564,0.655
138,2.3000,23.9355,40.9111,193.5208,202.71,0.531,0.654
139,2.3167,24.6391,38.4868,168.3125,201.72,0.496,0.653
140,2.3333,24.8893,35.9868,141.6389,200.58,0.500,0.650
141,2.3500,26.0138,35.4144,168.2431,198.58,0.483,0.648
142,2.3667,25.1482,35.8367,183.8889,195.70,0.441,0.647
143,2.3833,23.0738,36.6054,167.5278,192.24,0.501,0.650
144,2.4000,24.0659,36.1915,163.1944,194.51,0.495,0.651
145,2.4167,23.9925,33.3649,164.1667,197.66,0.465,0.653
146,2.4333,20.7994,31.9527,169.4583,200.95,0.476,0.653
147,2.4500,21.3338,31.7064,162.6597,201.87,0.496,0.648
148,2.4667,21.3479,32.0423,172.9097,200.81,0.496,0.645
149,2.4833,20.6717,31.7327,173.3403,200.76,0.514,0.643
150,2.5000,20.0149,30.3249,151.3681,199.00,0.538,0.639
151,2.5167,19.7307,29.5558,156.3750,198.68,0.567,0.635
152,2.5333,19.9635,28.7653,154.5694,197.95,0.545,0.634
153,2.5500,20.1915,32.4867,135.6250,197.48,0.522,0.634
154,2.5667,20.5738,34.2830,152.5625,197.17,0.497,0.634
155,2.5833,20.6101,36.0609,156.8333,196.86,0.516,0.632
156,2.6000,21.6213,37.7466,171.0000,195.43,0.521,0.632
157,2.6167,21.6328,38.0806,161.2639,193.92,0.498,0.632
158,2.6333,21.3687,37.8416,161.0069,191.78,0.475,0.632
159,2.6500,0.0076,38.0718,172.6250,189.82,0.426,0.569
160,2.6667,29.4592,36.8205,155.4653,189.82,0.499,0.633
161,2.6833,23.8381,38.1015,168.4583,192.02,0.487,0.635
162,2.7000,23.7457,38.8773,164.4236,193.76,0.504,0.634
163,2.7167,25.1033,37.8945,166.1806,194.57,0.545,0.636
164,2.7333,25.2376,35.4664,163.2778,191.19,0.508,0.636
165,2.7500,25.3556,34.2195,180.4236,187.62,0.503,0.641
166,2.7667,25.5804,32.6873,174.4028,185.98,0.493,0.645
167,2.7833,23.6068,29.9355,188.4653,184.20,0.491,0.647
168,2.8000,23.3010,32.7118,168.8750,184.30,0.506,0.650
169,2.8167,23.4217,33.8060,182.4028,184.22,0.499,0.650
170,2.8333,22.0447,35.1795,150.4167,183.37,0.472,0.651
171,2.8500,24.0119,34.8817,172.0000,182.11,0.509,0.650
172,2.8667,23.3347,33.8580,162.4444,184.51,0.482,0.648
173,2.8833,24.1988,32.7943,177.5556,186.95,0.453,0.650
174,2.9000,21.5944,33.8586,150.6458,189.12,0.474,0.649
175,2.9167,20.8786,34.6042,169.5069,189.32,0.444,0.649
176,2.9333,19.5537,34.3584,149.7431,190.43,0.417,0.651
177,2.9500,17.0219,36.2395,158.3958,190.53,0.446,0.649
178,2.9667,16.8697,38.0712,178.6250,193.87,0.448,0.651
179,2.9833,16.9478,38.5505,221.0764,196.49,0.434,0.652
180,3.0000,17.1968,38.6673,196.8194,199.66,0.459,0.652
181,3.0167,15.6164,39.0637,217.3750,201.64,0.518,0.651
182,3.0333,0.0302,33.3669,174.8542,201.05,0.247,0.636
183,3.0500,23.9214,39.7910,209.0903,201.04,0.515,0.644
184,3.0667,15.9582,38.5119,188.5764,199.33,0.519,0.649
185,3.0833,16.9132,37.4763,204.6111,199.37,0.569,0.649
186,3.1000,16.6595,36.6125,186.2292,202.26,0.552,0.647
187,3.1167,16.3918,38.5680,195.2639,204.49,0.527,0.647
188,3.1333,15.0041,38.2065,200.9583,206.65,0.527,0.646
189,3.1500,14.7032,38.9159,192.4583,207.98,0.576,0.646
190,3.1667,14.8533,37.6362,175.1528,208.19,0.587,0.649
191,3.1833,14.6949,38.1666,197.0486,207.15,0.569,0.650
192,3.2000,13.9135,37.6123,197.0694,206.28,0.553,0.650
193,3.2167,13.4221,37.3851,193.3611,205.29,0.536,0.651
194,3.2333,12.2556,36.7792,167.4722,204.43,0.526,0.651
195,3.2500,12.6331,35.6121,179.2639,203.59,0.551,0.652
196,3.2667,12.5349,34.8599,192.4236,203.26,0.557,0.650
197,3.2833,12.8662,36.0502,200.4236,202.93,0.548,0.650
198,3.3000,12.5863,37.9125,203.2431,202.56,0.541,0.652
199,3.3167,11.7770,39.6288,212.6528,202.18,0.534,0.652
200,3.3333,11.8928,40.4110,192.1181,202.13,0.522,0.652
201,3.3500,11.7082,41.3033,201.9653,201.81,0.520,0.651
202,3.3667,11.1447,40.7989,201.5069,201.57,0.521,0.650
203,3.3833,11.3420,39.1767,200.5000,201.30,0.521,0.650
204,3.4000,11.1085,37.8898,196.6597,201.02,0.520,0.651
205,3.4167,10.3874,36.6028,176.1944,200.72,0.525,0.651
206,3.4333,0.0112,33.9404,173.2153,200.81,0.497,0.625
207,3.4500,16.6283,35.8713,154.2153,200.81,0.532,0.651
208,3.4667,10.0073,34.7152,153.0972,199.42,0.548,0.650
209,3.4833,9.1922,33.2334,169.0000,198.96,0.547,0.649
210,3.5000,8.8549,32.6421,179.7083,198.57,0.541,0.650
211,3.5167,8.1633,32.0602,170.7500,198.16,0.530,0.649
212,3.5333,8.0685,31.3926,158.6597,197.71,0.528,0.650
213,3.5500,7.6595,31.0128,151.1944,197.27,0.523,0.649
214,3.5667,6.8114,32.5620,152.5556,196.80,0.521,0.649
215,3.5833,6.8785,28.4669,134.8611,196.40,0.511,0.647
216,3.6000,5.7368,26.9750,132.7292,195.92,0.508,0.649
217,3.6167,5.7892,25.8381,133.7222,195.59,0.504,0.646
218,3.6333,5.3380,24.6864,132.4653,195.24,0.507,0.648
219,3.6500,4.6963,23.5788,127.8681,194.89,0.490,0.645
220,3.6667,4.6195,22.5868,123.7778,194.62,0.495,0.647
221,3.6833,4.0246,21.4834,119.9375,194.31,0.486,0.643
222,3.7000,3.6823,20.6551,113.5069,194.04,0.491,0.647
223,3.7167,3.6954,19.5473,108.8750,193.87,0.482,0.643
224,3.7333,3.2422,18.8173,103.6389,193.63,0.476,0.642
225,3.7500,2.8774,17.9274,93.5625,193.45,0.484,0.648
226,3.7667,2.6198,16.9280,85.6736,193.34,0.496,0.648
227,3.7833,2.6035,16.2833,86.1944,193.12,0.465,0.641
228,3.8000,2.2619,15.4648,85.8819,192.98,0.478,0.648
229,3.8167,2.3652,14.6802,83.0000,192.87,0.463,0.637
230,3.8333,1.6298,13.8276,77.5625,192.70,0.491,0.649
231,3.8500,2.2436,13.1607,77.7292,192.59,0.454,0.636
232,3.8667,1.5451,12.5958,72.6875,192.44,0.469,0.647
233,3.8833,1.9117,11.9500,67.0278,192.30,0.441,0.631
234,3.9000,1.3532,11.2704,63.1181,192.17,0.484,0.646
235,3.9167,1.6122,10.7107,61.5694,192.04,0.454,0.633
236,3.9333,1.0943,10.1071,59.6528,191.95,0.486,0.644
237,3.9500,1.6455,9.7543,55.1875,191.77,0.438,0.632
238,3.9667,1.3854,9.4386,55.6806,191.58,0.436,0.630
239,3.9833,0.0687,8.2378,53.0833,191.42,0.558,0.665
240,4.0000,1.6850,8.2110,53.0347,191.47,0.472,0.649
241,4.0167,1.2283,7.6870,50.4722,191.40,0.420,0.625
242,4.0333,0.5824,7.1583,50.2431,191.42,0.518,0.648
243,4.0500,1.0078,6.7612,50.2639,191.39,0.430,0.625
244,4.0667,0.5407,6.3716,50.6597,191.48,0.523,0.649
245,4.0833,0.9459,5.8912,48.1250,191.48,0.415,0.623
246,4.1000,0.3981,5.3815,43.1389,191.46,0.535,0.646
247,4.1167,0.9136,5.7796,47.8750,191.42,0.419,0.626
248,4.1333,0.8588,4.7499,50.3056,191.48,0.403,0.618
249,4.1500,0.4513,4.3342,47.5694,191.48,0.501,0.663
250,4.1667,0.4132,4.1750,47.8333,191.38,0.502,0.656
251,4.1833,0.8727,4.0414,49.4722,191.25,0.396,0.626
252,4.2000,0.3392,3.8695,49.7361,191.18,0.505,0.661
253,4.2167,0.8022,3.7646,50.7292,191.07,0.377,0.616
254,4.2333,0.2254,3.6559,50.8194,191.04,0.496,0.670
255,4.2500,0.7829,3.5530,51.2500,190.96,0.373,0.613
256,4.2667,0.2127,3.3491,46.3125,191.01,0.503,0.663
257,4.2833,0.7765,3.3142,54.5417,190.94,0.359,0.612
258,4.3000,0.1972,3.1236,54.5208,190.85,0.515,0.664
259,4.3167,0.7561,2.9557,54.9514,190.79,0.345,0.602
260,4.3333,0.1617,2.8210,55.0486,190.69,0.499,0.656
261,4.3500,0.7416,2.7476,59.6042,190.67,0.339,0.595
262,4.3667,0.2170,2.6846,59.5278,190.52,0.500,0.662
263,4.3833,0.7359,2.5464,58.7986,190.51,0.329,0.591
264,4.4000,0.0905,2.4316,58.7708,190.47,0.500,0.662
265,4.4167,0.7639,2.4744,57.7569,190.46,0.332,0.591
266,4.4333,0.1056,2.3902,57.6389,190.41,0.529,0.688
267,4.4500,0.0536,2.1656,49.5625,190.37,0.558,0.692
268,4.4667,1.1415,2.2164,51.4583,190.40,0.330,0.587
269,4.4833,0.1056,2.1714,49.8264,190.51,0.487,0.645
270,4.5000,0.0785,2.0465,49.7778,190.51,0.505,0.670
271,4.5167,0.6083,1.9867,51.5208,190.46,0.313,0.585
272,4.5333,0.0090,1.9340,51.7153,190.54,0.465,0.658
273,4.5500,0.5601,1.7789,48.5139,190.53,0.314,0.586
274,4.5667,0.0162,1.7216,48.6875,190.57,0.491,0.676
275,4.5833,0.6117,1.7911,49.7431,190.56,0.313,0.586
276,4.6000,0.0060,1.5067,42.6458,190.60,0.441,0.650
277,4.6167,0.5902,1.6296,49.1042,190.60,0.313,0.588
278,4.6333,0.0142,1.5872,49.1042,190.61,0.437,0.667
279,4.6500,0.0122,1.4160,44.9514,190.60,0.486,0.631
280,4.6667,0.0074,1.4127,44.9444,190.61,0.507,0.650
281,4.6833,0.0064,1.1395,36.0486,190.61,0.511,0.654
282,4.7000,0.0315,1.1485,36.0556,190.61,0.489,0.652
283,4.7167,0.0240,0.6433,18.0069,190.58,0.535,0.648
284,4.7333,0.0175,0.6449,18.0069,190.60,0.535,0.653
285,4.7500,0.0127,0.0717,0.3333,190.59,0.602,0.607
286,4.7667,0.0413,0.0884,0.4306,190.59,0.534,0.629
287,4.7833,0.0061,0.0854,0.4097,190.56,0.603,0.561
288,4.8000,0.0064,0.0833,0.3958,190.56,0.692,0.503
289,4.8167,0.0031,0.0814,0.3750,190.56,0.473,0.616
290,4.8333,0.0068,0.0648,0.2847,190.56,0.488,0.629
291,4.8500,0.0041,0.0636,0.2847,190.56,0.619,0.678
292,4.8667,0.0013,0.0518,0.2500,190.56,0.560,0.587
293,4.8833,0.0017,0.0534,0.2569,190.56,0.579,0.627
294,4.9000,0.0047,0.0204,0.1458,190.56,0.532,0.619
295,4.9167,0.0081,0.0240,0.1042,190.56,0.474,0.601
296,4.9333,0.0060,0.0225,0.1319,190.56,0.486,0.675
297,4.9500,0.0040,0.0229,0.1319,190.56,0.487,0.643
298,4.9667,0.1210,0.1266,1.6042,190.56,0.503,0.676
299,4.9833,3.5686,3.6670,6.0000,190.65,0.502,0.467
300,5.0000,10.8101,14.3955,79.3264,187.20,0.503,0.688
301,5.0167,17.3811,31.4934,176.2639,176.76,0.500,0.701
302,5.0333,0.0858,31.5709,176.2639,159.74,0.372,0.474
303,5.0500,25.9239,57.2449,215.0972,159.66,0.498,0.533
304,5.0667,17.7775,72.1915,232.0833,135.06,0.503,0.566
305,5.0833,16.4389,84.9500,234.7222,125.18,0.499,0.476
306,5.1000,19.4048,87.4352,236.5000,113.10,0.501,0.574
307,5.1167,19.2183,82.3261,232.3750,109.32,0.500,0.598
308,5.1333,14.7677,82.7684,228.2014,110.24,0.498,0.580
309,5.1500,11.8683,92.0838,216.9722,112.02,0.496,0.548
310,5.1667,9.7016,94.6264,216.3611,113.13,0.495,0.534
311,5.1833,7.0642,80.1866,233.0000,113.78,0.494,0.547
312,5.2000,4.9413,71.7600,251.5764,114.78,0.492,0.554
313,5.2167,3.6429,67.8724,253.6042,115.59,0.491,0.562
314,5.2333,2.6510,57.9832,254.7847,116.21,0.493,0.539
315,5.2500,1.3053,44.7119,160.3958,116.37,0.491,0.557
316,5.2667,0.1000,33.1207,152.3333,116.60,0.511,0.439
317,5.2833,0.9337,24.1963,154.2500,116.59,0.491,0.558
318,5.3000,0.0853,16.6249,107.6389,116.75,0.513,0.470
319,5.3167,0.1994,11.0209,75.0486,116.74,0.488,0.554
320,5.3333,0.2668,7.2935,49.5972,116.75,0.489,0.541
321,5.3500,0.2997,4.1656,27.5972,116.75,0.491,0.600
322,5.3667,0.3332,1.3341,8.2917,116.70,0.489,0.571
323,5.3833,0.2628,0.5889,3.0625,116.60,0.491,0.543
324,5.4000,0.2824,0.8153,5.2708,116.65,0.487,0.588
325,5.4167,0.1962,1.7992,13.6528,116.57,0.495,0.548
326,5.4333,0.2032,1.9907,14.8611,116.58,0.490,0.549
327,5.4500,0.0903,1.8722,13.7708,116.51,0.480,0.549
328,5.4667,0.1494,1.7541,13.3194,116.56,0.491,0.604
329,5.4833,0.0554,1.5036,10.9236,116.50,0.486,0.428
330,5.5000,0.1389,1.3082,9.6458,116.54,0.483,0.629
331,5.5167,0.0725,1.1172,8.0417,116.43,0.472,0.505
332,5.5333,0.0423,0.8716,5.7847,116.43,0.483,0.554
333,5.5500,0.0471,0.7243,4.6250,116.42,0.512,0.516
334,5.5667,0.0484,0.5217,3.3889,116.45,0.473,0.629
335,5.5833,0.0127,0.4574,3.0764,116.44,0.491,0.558
336,5.6000,0.0383,0.3382,1.8750,116.44,0.491,0.461
337,5.6167,0.0335,0.3209,1.8611,116.41,0.472,0.371
338,5.6333,6.6132,6.7550,78.9514,116.39,0.502,0.382
339,5.6500,0.0165,6.7322,79.0486,111.52,0.482,0.411
340,5.6667,0.1141,6.6890,78.4028,111.51,0.527,0.410
341,5.6833,0.0175,6.6783,78.4514,111.44,0.487,0.460
342,5.7000,0.0469,6.6368,78.0764,111.43,0.537,0.416
343,5.7167,0.0051,6.6340,78.1181,111.41,0.485,0.494
344,5.7333,0.0123,6.6121,77.9028,111.40,0.465,0.512
345,5.7500,0.1326,6.5749,77.6944,111.39,0.520,0.409
346,5.7667,0.1475,0.4646,11.0208,111.33,0.512,0.416
347,5.7833,0.0142,0.4613,10.9722,111.26,0.483,0.449
348,5.8000,0.0790,0.4237,9.3958,111.26,0.503,0.410
349,5.8167,0.0056,0.4119,9.1806,111.24,0.487,0.485
350,5.8333,0.1590,0.5094,10.7847,111.24,0.495,0.416
351,5.8500,0.0127,0.5160,10.8750,111.22,0.472,0.444
352,5.8667,0.0942,0.5864,12.1181,111.21,0.479,0.418
353,5.8833,0.0089,0.4718,9.2292,111.21,0.523,0.483
354,5.9000,0.2327,0.5193,10.0417,111.20,0.458,0.418
355,5.9167,0.0024,0.5112,9.7986,111.15,0.583,0.397
356,5.9333,0.3067,0.6806,14.8333,111.15,0.446,0.411
357,5.9500,0.0009,0.6780,14.7292,111.05,0.580,0.514
358,5.9667,0.0022,0.5728,13.1458,111.05,0.670,0.586
359,5.9833,1.4038,1.8224,18.6042,111.05,0.493,0.543
360,6.0000,2.0089,3.6744,25.0764,111.11,0.493,0.538
361,6.0167,3.4236,6.3050,41.9583,111.37,0.493,0.521
362,6.0333,0.0016,6.2345,41.9583,111.86,0.411,0.346
363,6.0500,9.4693,13.3843,107.2153,111.86,0.498,0.534
364,6.0667,6.0953,17.0034,121.7431,115.23,0.496,0.590
365,6.0833,8.3702,20.9092,111.9097,118.34,0.496,0.501
366,6.1000,5.0983,23.9007,115.6875,122.70,0.480,0.599
