frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,1.0838,1.0838,23.9306,250.20,0.482,0.524
1,0.0333,1.1498,1.3985,28.1667,249.93,0.472,0.522
2,0.0667,1.1979,1.6624,27.0625,249.70,0.466,0.520
3,0.1000,1.6352,2.1831,25.9097,249.50,0.466,0.524
4,0.1333,1.7318,2.7814,30.9931,249.15,0.468,0.510
5,0.1667,1.9218,2.6855,31.5972,248.82,0.466,0.508
6,0.2000,1.6743,2.8240,28.5833,248.80,0.468,0.511
7,0.2333,2.0681,3.3537,33.3472,248.66,0.450,0.513
8,0.2667,1.8927,3.2913,29.8958,248.36,0.484,0.506
9,0.3000,2.0495,3.3961,32.9236,248.26,0.487,0.505
10,0.3333,2.1357,3.3360,29.6597,248.14,0.483,0.504
11,0.3667,2.6175,3.2960,31.9444,248.03,0.464,0.507
12,0.4000,2.1481,3.6253,29.9583,247.82,0.498,0.502
13,0.4333,2.1383,3.5290,34.7153,247.74,0.496,0.502
14,0.4667,2.8732,3.5673,29.1944,247.66,0.490,0.503
15,0.5000,1.9617,3.6622,28.9306,247.52,0.517,0.501
16,0.5333,1.9588,3.4371,26.9931,247.50,0.512,0.500
17,0.5667,1.7201,3.4232,27.0417,247.44,0.507,0.500
18,0.6000,2.5745,3.4271,24.6944,247.37,0.506,0.500
19,0.6333,1.4017,3.3430,25.5208,247.30,0.512,0.500
20,0.6667,1.2484,3.2814,27.7083,247.30,0.512,0.499
21,0.7000,1.1638,3.3296,27.0486,247.25,0.519,0.500
22,0.7333,1.8078,3.6020,27.0556,247.26,0.500,0.499
23,0.7667,0.8184,3.5704,26.4583,247.14,0.520,0.500
24,0.8000,0.7046,3.3673,23.5972,247.16,0.514,0.500
25,0.8333,1.0758,3.1899,24.6528,247.17,0.504,0.498
26,0.8667,0.4391,3.0043,20.6528,247.15,0.512,0.499
27,0.9000,0.3837,3.2103,18.3333,247.14,0.525,0.500
28,0.9333,0.3199,3.2442,20.0903,247.15,0.521,0.499
29,0.9667,0.4714,3.3295,22.4097,247.15,0.509,0.499
30,1.0000,0.1713,3.1004,22.0208,247.15,0.514,0.502
31,1.0333,0.1229,2.8863,20.7847,247.15,0.528,0.499
32,1.0667,0.1070,2.6248,17.8403,247.15,0.504,0.500
33,1.1000,0.1267,1.9827,12.5139,247.16,0.516,0.500
34,1.1333,0.0358,1.6304,9.9236,247.15,0.523,0.514
35,1.1667,0.0260,1.3082,7.7639,247.17,0.530,0.497
36,1.2000,0.0190,1.0235,6.0833,247.16,0.464,0.506
37,1.2333,0.0226,0.5969,3.7431,247.17,0.487,0.526
38,1.2667,0.0117,0.4347,2.7431,247.16,0.450,0.482
39,1.3000,0.0033,0.3152,1.9583,247.16,0.503,0.486
40,1.3333,0.0021,0.2138,1.3889,247.16,0.506,0.475
41,1.3667,0.0113,0.0955,0.5694,247.16,0.435,0.460
42,1.4000,0.0395,0.0961,0.8403,247.15,0.188,0.495
43,1.4333,0.0024,0.0744,0.7500,247.16,0.499,0.461
44,1.4667,0.0022,0.0613,0.7222,247.16,0.428,0.465
45,1.5000,0.0056,0.0496,0.6597,247.16,0.410,0.456
46,1.5333,0.0063,0.0487,0.6597,247.16,0.459,0.542
47,1.5667,0.0023,0.0488,0.6667,247.16,0.503,0.500
48,1.6000,0.0013,0.0479,0.6458,247.16,0.545,0.496
49,1.6333,0.0379,0.0445,0.6181,247.16,0.200,0.518
50,1.6667,0.0042,0.0429,0.6806,247.16,0.509,0.598
51,1.7000,0.1441,0.1841,3.3750,247.17,0.881,0.499
52,1.7333,0.4325,0.4252,9.4375,247.30,0.793,0.498
53,1.7667,0.6952,0.4052,8.0556,247.55,0.667,0.497
54,1.8000,0.6789,0.4242,8.7361,247.54,0.483,0.498
55,1.8333,0.4280,0.0764,2.2639,247.55,0.399,0.498
56,1.8667,0.0384,0.0397,0.6736,247.20,0.220,0.489
57,1.9000,0.0023,0.0074,0.0556,247.17,0.528,0.524
58,1.9333,0.0039,0.0084,0.0625,247.16,0.461,0.541
59,1.9667,0.0321,0.1809,3.3611,247.17,0.129,0.504
