frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.1076,0.1076,0.7083,89.94,0.499,0.237
1,0.0167,0.0897,0.1913,1.3125,89.99,0.515,0.237
2,0.0333,0.1598,0.2951,1.6528,89.98,0.577,0.223
3,0.0500,1.0253,1.2525,12.9722,90.01,0.596,0.200
4,0.0667,0.0583,1.2960,12.9722,90.47,0.374,0.304
5,0.0833,0.0502,1.3350,12.9722,90.49,0.331,0.290
6,0.1000,11.5246,11.6259,87.0625,90.49,0.608,0.219
7,0.1167,0.1583,11.7310,87.0625,95.16,0.431,0.300
8,0.1333,14.0537,17.7830,119.2431,95.17,0.659,0.228
9,0.1500,0.0962,17.8444,119.2708,104.05,0.364,0.321
10,0.1667,0.1204,17.8018,118.9167,104.05,0.381,0.297
11,0.1833,7.7289,17.1949,101.2014,104.04,0.535,0.215
12,0.2000,0.0672,17.1938,101.2083,102.65,0.481,0.339
13,0.2167,8.3280,17.5577,125.7569,102.67,0.553,0.225
14,0.2333,0.0178,12.3929,85.2222,101.67,0.466,0.303
15,0.2500,0.0180,12.3385,85.2292,101.67,0.584,0.371
16,0.2667,8.5392,9.7951,55.5208,101.66,0.499,0.217
17,0.2833,0.0567,9.7808,55.5208,101.34,0.478,0.319
18,0.3000,7.1632,9.9657,62.0139,101.35,0.502,0.221
19,0.3167,0.0204,9.0645,54.9306,99.56,0.494,0.361
20,0.3333,0.0222,9.0510,54.9306,99.56,0.472,0.365
21,0.3500,7.1912,6.5891,44.9653,99.55,0.486,0.208
22,0.3667,0.0373,6.5767,44.9653,101.99,0.327,0.388
23,0.3833,5.0980,6.4844,36.1111,102.01,0.476,0.203
24,0.4000,0.0836,6.3445,34.3750,100.83,0.398,0.352
25,0.4167,0.1030,6.3128,34.3472,100.80,0.545,0.260
26,0.4333,5.7087,7.6126,43.7917,100.83,0.438,0.196
27,0.4500,0.0923,7.6472,43.7917,99.52,0.521,0.315
28,0.4667,8.8581,10.3342,81.8333,99.53,0.417,0.209
29,0.4833,0.0107,10.6436,87.3611,94.77,0.556,0.374
30,0.5000,0.0118,10.6654,87.3681,94.77,0.611,0.336
31,0.5167,7.8008,11.9678,121.0625,94.77,0.473,0.222
32,0.5333,0.0659,11.9436,121.0486,92.03,0.543,0.302
33,0.5500,7.0187,13.1852,125.7292,92.03,0.512,0.226
34,0.5667,0.1255,13.5789,102.4306,90.44,0.451,0.275
35,0.5833,0.2256,13.6175,102.3542,90.44,0.453,0.295
36,0.6000,6.7442,11.1740,80.7639,90.50,0.519,0.225
37,0.6167,0.2252,11.2185,80.9306,89.91,0.612,0.252
38,0.6333,5.9010,12.5227,88.7500,89.93,0.539,0.224
39,0.6500,0.0597,9.5850,64.9514,89.65,0.498,0.272
40,0.6667,0.0599,9.5948,64.9722,89.67,0.495,0.284
41,0.6833,4.4353,8.8533,50.4931,89.65,0.552,0.220
42,0.7000,0.1063,8.8688,50.8958,89.46,0.524,0.262
43,0.7167,3.0998,9.1534,56.4653,89.45,0.561,0.220
44,0.7333,0.1438,8.1714,56.8194,89.41,0.504,0.260
45,0.7500,0.2537,8.1924,57.2222,89.41,0.524,0.249
46,0.7667,2.1561,7.1975,49.7917,89.43,0.570,0.220
47,0.7833,0.2183,7.1951,50.2778,89.27,0.563,0.255
48,0.8000,1.5736,7.5842,55.8125,89.31,0.577,0.213
49,0.8167,0.0993,5.8860,41.9722,89.24,0.544,0.258
50,0.8333,0.1107,5.8899,41.9653,89.26,0.570,0.264
51,0.8500,1.4007,4.7839,36.5625,89.21,0.572,0.216
52,0.8667,0.2679,4.8309,36.8681,89.20,0.558,0.252
53,0.8833,1.0807,5.2339,41.2778,89.18,0.577,0.218
54,0.9000,0.3287,4.2702,33.8889,89.13,0.554,0.251
55,0.9167,0.2741,4.2509,33.7292,89.09,0.605,0.238
