frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0000,0.0000,0.0000,30.00,0.500,0.500
1,0.0333,0.0000,0.0000,0.0000,30.00,0.500,0.500
2,0.0667,0.0000,0.0000,0.0000,30.00,0.500,0.500
3,0.1000,0.0000,0.0000,0.0000,30.00,0.500,0.500
4,0.1333,0.0000,0.0000,0.0000,30.00,0.500,0.500
5,0.1667,0.0000,0.0000,0.0000,30.00,0.500,0.500
6,0.2000,0.0000,0.0000,0.0000,30.00,0.500,0.500
7,0.2333,0.0000,0.0000,0.0000,30.00,0.500,0.500
8,0.2667,0.0000,0.0000,0.0000,30.00,0.500,0.500
9,0.3000,0.0000,0.0000,0.0000,30.00,0.500,0.500
10,0.3333,0.0000,0.0000,0.0000,30.00,0.500,0.500
11,0.3667,0.0000,0.0000,0.0000,30.00,0.500,0.500
12,0.4000,0.0000,0.0000,0.0000,30.00,0.500,0.500
13,0.4333,0.0000,0.0000,0.0000,30.00,0.500,0.500
14,0.4667,0.0000,0.0000,0.0000,30.00,0.500,0.500
15,0.5000,0.0000,0.0000,0.0000,30.00,0.500,0.500
16,0.5333,0.0000,0.0000,0.0000,30.00,0.500,0.500
17,0.5667,0.0000,0.0000,0.0000,30.00,0.500,0.500
18,0.6000,4.0126,4.0126,59.2431,30.00,0.398,0.377
19,0.6333,3.0433,4.0138,55.6528,33.85,0.375,0.380
20,0.6667,2.6901,4.0073,53.6944,33.86,0.365,0.382
21,0.7000,1.8431,4.0160,50.7569,33.85,0.358,0.382
22,0.7333,1.3572,3.9975,49.6736,33.86,0.354,0.382
23,0.7667,0.9634,4.0241,49.7153,33.85,0.351,0.382
24,0.8000,0.7499,4.0120,50.1111,33.86,0.346,0.382
25,0.8333,9.0154,12.3985,100.7500,33.86,0.549,0.490
26,0.8667,5.8497,11.8299,89.1250,42.00,0.524,0.492
27,0.9000,5.6615,11.3224,94.8194,42.00,0.519,0.495
28,0.9333,3.9059,11.4833,98.1042,42.00,0.515,0.495
29,0.9667,2.8375,11.4872,94.1944,42.00,0.512,0.496
30,1.0000,2.0037,11.1730,91.0069,42.01,0.512,0.498
31,1.0333,1.4849,10.7125,83.8611,42.00,0.514,0.501
32,1.0667,7.4748,16.3949,121.8611,42.01,0.599,0.602
33,1.1000,5.0326,13.8669,102.8333,48.15,0.596,0.597
34,1.1333,4.4157,12.7232,96.1806,48.16,0.564,0.599
35,1.1667,2.9897,12.7923,98.3819,48.15,0.554,0.599
36,1.2000,2.0829,12.6138,103.3056,48.17,0.552,0.600
37,1.2333,1.4961,11.9133,102.0556,48.15,0.548,0.604
38,1.2667,1.0512,10.8554,96.0417,48.15,0.551,0.610
39,1.3000,0.7684,9.7502,89.2361,48.15,0.549,0.615
40,1.3333,0.5840,7.0365,57.3125,48.15,0.546,0.615
41,1.3667,0.4272,5.9322,61.9444,48.14,0.545,0.614
42,1.4000,0.3112,5.7717,62.8542,48.15,0.542,0.614
43,1.4333,0.1990,5.0986,60.4722,48.15,0.543,0.614
44,1.4667,0.1161,4.1535,50.1389,48.15,0.538,0.611
45,1.5000,0.0417,3.1646,40.3472,48.14,0.546,0.607
46,1.5333,0.0077,2.3138,29.6458,48.14,0.521,0.571
47,1.5667,0.0037,1.6196,20.4375,48.14,0.449,0.557
48,1.6000,0.0068,1.0789,13.1806,48.15,0.493,0.531
49,1.6333,0.0026,0.6615,7.9236,48.14,0.575,0.519
50,1.6667,0.0033,0.3572,4.2153,48.14,0.589,0.500
51,1.7000,0.0024,0.1593,1.9167,48.14,0.594,0.495
52,1.7333,183.7365,183.7357,203.0000,48.14,0.502,0.499
53,1.7667,0.0000,183.7357,203.0000,231.56,0.500,0.500
54,1.8000,0.0000,183.7349,203.0000,231.56,0.500,0.500
55,1.8333,96.3198,97.5562,106.0000,231.56,0.500,0.500
56,1.8667,0.0000,97.5541,106.0000,135.24,0.500,0.500
57,1.9000,0.0000,97.5541,106.0000,135.24,0.500,0.500
58,1.9333,107.9950,195.7838,215.0069,135.24,0.502,0.500
59,1.9667,1.1392,195.6424,215.0069,238.65,0.366,0.500
60,2.0000,6.5238,23.4979,103.9653,238.54,0.677,0.522
61,2.0333,2.5315,23.6603,93.5903,232.95,0.610,0.516
62,2.0667,1.7738,23.8945,88.4028,232.76,0.578,0.518
63,2.1000,1.4007,106.5477,112.0417,232.57,0.541,0.513
64,2.1333,1.1573,106.6684,112.0417,232.32,0.514,0.508
65,2.1667,0.9572,106.7737,112.0417,232.09,0.489,0.504
66,2.2000,0.7435,10.4275,83.1736,231.87,0.486,0.497
67,2.2333,0.6137,9.9003,84.1458,231.68,0.467,0.492
68,2.2667,0.4924,8.1183,80.8125,231.53,0.452,0.487
69,2.3000,0.4100,6.8306,68.7639,231.38,0.439,0.484
70,2.3333,0.3201,5.6319,66.4097,231.23,0.427,0.479
71,2.3667,0.2516,4.5877,68.5764,231.10,0.403,0.473
72,2.4000,0.1873,3.6738,69.4514,230.97,0.353,0.458
73,2.4333,0.1577,2.9122,68.0556,230.87,0.309,0.444
74,2.4667,0.1249,2.3216,63.8264,230.77,0.186,0.422
75,2.5000,0.1299,1.9051,63.2361,230.67,0.185,0.415
76,2.5333,0.1185,1.5917,62.5278,230.55,0.190,0.409
77,2.5667,0.0711,1.2903,58.1875,230.44,0.191,0.405
78,2.6000,0.0140,1.0076,50.7014,230.38,0.220,0.412
79,2.6333,0.0051,0.7656,42.1458,230.37,0.321,0.438
80,2.6667,0.0033,0.5898,34.5486,230.37,0.440,0.480
81,2.7000,0.0010,0.4444,27.6389,230.38,0.388,0.465
82,2.7333,0.0009,0.3230,20.0764,230.38,0.349,0.447
83,2.7667,0.0030,0.1990,12.2292,230.38,0.519,0.497
84,2.8000,209.5458,209.4907,215.3889,230.37,0.499,0.500
85,2.8333,1.5139,208.8755,215.3194,44.97,0.525,0.498
86,2.8667,2.1331,207.6783,215.3194,45.24,0.524,0.498
87,2.9000,1.5624,206.7807,215.4375,45.64,0.527,0.498
88,2.9333,1.0473,206.1920,215.4722,45.90,0.530,0.498
89,2.9667,0.7725,205.7584,215.5139,46.09,0.524,0.497
90,3.0000,0.6224,205.4142,215.5694,46.23,0.524,0.498
91,3.0333,0.4944,205.1444,215.5694,46.35,0.523,0.498
92,3.0667,0.4036,7.6648,67.0556,46.44,0.527,0.499
93,3.1000,0.3403,6.7531,59.5069,46.51,0.528,0.497
94,3.1333,0.2696,5.1507,45.3889,46.58,0.528,0.497
95,3.1667,0.2340,4.0018,35.6458,46.62,0.535,0.499
96,3.2000,0.1870,3.2433,28.9236,46.67,0.524,0.499
97,3.2333,0.1644,2.6649,23.5625,46.68,0.534,0.499
98,3.2667,0.1222,2.1829,19.1875,46.72,0.536,0.497
99,3.3000,0.1085,1.8023,15.6250,46.74,0.528,0.499
100,3.3333,0.0894,1.4889,12.9167,46.76,0.536,0.499
101,3.3667,0.0806,1.2325,10.6528,46.77,0.529,0.497
102,3.4000,0.0482,1.0148,8.6250,46.79,0.519,0.501
103,3.4333,0.1636,0.9202,10.5764,46.80,0.312,0.552
104,3.4667,0.2668,0.9717,22.9097,46.70,0.217,0.563
105,3.5000,0.1569,0.8147,20.9792,46.47,0.209,0.551
106,3.5333,0.1664,0.6395,14.7569,46.49,0.195,0.554
107,3.5667,0.1172,0.4974,9.7986,46.56,0.192,0.539
108,3.6000,0.0854,0.4215,9.2222,46.62,0.194,0.530
109,3.6333,0.0826,0.3825,10.8264,46.61,0.184,0.521
110,3.6667,0.0943,0.4054,13.4931,46.59,0.193,0.522
111,3.7000,0.1275,0.3599,9.5903,46.54,0.256,0.514
112,3.7333,0.2301,0.3955,7.8542,46.47,0.237,0.546
113,3.7667,0.3658,0.6573,17.0764,46.33,0.260,0.544
114,3.8000,0.4768,1.1721,37.5417,46.12,0.293,0.536
115,3.8333,0.5609,1.7620,58.1389,45.84,0.306,0.526
116,3.8667,0.6622,2.3990,73.7500,45.53,0.332,0.514
117,3.9000,0.7577,3.1112,85.4514,45.22,0.353,0.504
118,3.9333,1.4616,4.4757,88.9167,44.90,0.281,0.483
119,3.9667,0.9960,5.2984,86.3264,44.01,0.412,0.480
120,4.0000,1.3624,6.3916,85.5972,43.73,0.389,0.466
121,4.0333,2.8787,7.9453,88.6389,43.30,0.457,0.492
122,4.0667,2.8876,9.6517,90.8403,41.02,0.469,0.487
123,4.1000,3.0358,11.5283,99.1111,38.71,0.474,0.478
124,4.1333,2.3084,12.5981,96.7778,36.31,0.748,0.487
125,4.1667,2.2488,13.8110,95.4583,34.23,0.746,0.482
126,4.2000,2.1718,14.4040,107.5764,32.11,0.747,0.474
127,4.2333,0.0000,14.1085,109.4028,30.00,0.500,0.500
128,4.2667,0.0003,13.6399,111.8611,30.00,0.633,0.568
129,4.3000,0.0000,11.3263,102.5208,30.00,0.500,0.500
130,4.3333,0.0000,8.9535,104.8472,30.00,0.500,0.500
131,4.3667,0.0000,6.4745,107.7361,30.00,0.500,0.500
132,4.4000,0.0000,4.3271,74.6458,30.00,0.500,0.500
133,4.4333,76.8477,75.6532,201.7986,30.00,0.540,0.566
134,4.4667,16.5673,77.2929,202.3611,103.41,0.541,0.529
135,4.5000,6.9412,78.2184,204.6806,103.81,0.547,0.497
136,4.5333,4.8647,77.4495,202.4792,104.81,0.522,0.540
137,4.5667,4.5122,76.7625,200.0417,103.93,0.514,0.531
138,4.6000,4.2432,75.9965,206.1111,103.29,0.520,0.519
139,4.6333,4.0398,76.5563,203.0764,102.38,0.526,0.582
140,4.6667,4.9388,78.3367,211.6042,103.00,0.517,0.646
141,4.7000,4.9115,31.3573,107.9653,104.71,0.504,0.603
142,4.7333,3.5311,23.4097,84.8542,106.71,0.517,0.519
143,4.7667,2.0280,20.7088,77.5833,107.07,0.518,0.509
144,4.8000,2.5907,18.1946,68.8750,107.82,0.545,0.515
145,4.8333,2.5870,17.2848,67.5903,108.76,0.559,0.523
146,4.8667,1.7952,17.8936,74.9583,110.45,0.571,0.508
147,4.9000,2.2835,17.1598,75.7153,111.23,0.562,0.423
148,4.9333,1.5098,15.4459,65.5764,112.71,0.554,0.440
149,4.9667,0.7368,13.1247,60.0764,113.12,0.520,0.496
150,5.0000,0.7866,12.3367,58.8125,113.04,0.530,0.495
151,5.0333,0.7027,11.1956,53.1806,112.63,0.532,0.490
152,5.0667,0.6631,9.5918,38.8889,112.64,0.543,0.513
153,5.1000,0.6423,8.0739,34.1042,112.39,0.532,0.511
154,5.1333,0.6891,7.0533,31.8542,112.24,0.555,0.519
155,5.1667,0.7080,5.5238,30.5764,111.84,0.504,0.496
156,5.2000,0.6525,4.7266,36.6736,111.81,0.516,0.515
157,5.2333,0.6444,4.7874,43.7778,111.53,0.516,0.509
158,5.2667,0.6916,4.8171,45.4236,111.37,0.521,0.505
159,5.3000,1.0131,5.1707,45.9653,110.98,0.514,0.566
160,5.3333,0.7309,5.1903,45.6528,110.61,0.536,0.542
161,5.3667,0.6214,5.1365,41.9375,110.37,0.514,0.531
162,5.4000,1.0272,5.4327,36.0833,110.25,0.547,0.584
163,5.4333,0.7365,5.3245,29.0903,109.57,0.512,0.507
164,5.4667,0.6255,5.2421,28.0764,109.61,0.533,0.527
165,5.5000,0.5889,5.1620,28.0694,109.38,0.510,0.510
166,5.5333,0.6687,5.0903,28.1319,109.30,0.524,0.511
167,5.5667,0.5951,4.9964,27.0556,108.91,0.515,0.505
168,5.6000,0.5281,4.8199,25.7014,108.92,0.538,0.526
169,5.6333,0.4836,4.6877,25.2431,108.72,0.522,0.522
170,5.6667,0.5302,4.4220,24.7014,108.64,0.539,0.530
171,5.7000,0.5295,4.2069,24.2847,108.38,0.503,0.497
172,5.7333,0.4473,4.0386,23.4722,108.47,0.533,0.522
173,5.7667,0.4214,3.8736,22.7708,108.31,0.518,0.515
174,5.8000,0.4936,3.7215,21.9861,108.28,0.532,0.522
175,5.8333,0.3812,3.5456,21.3681,107.98,0.537,0.498
176,5.8667,0.3947,3.3779,20.8333,107.90,0.525,0.521
177,5.9000,0.3987,3.2954,20.0000,107.95,0.560,0.530
178,5.9333,0.6235,3.2901,19.1667,107.73,0.490,0.494
179,5.9667,0.3066,3.1113,18.2778,107.45,0.490,0.561
180,6.0000,0.2607,2.9411,17.3681,107.53,0.526,0.540
181,6.0333,0.2952,2.8396,16.8056,107.45,0.513,0.537
182,6.0667,0.3454,2.7142,16.9167,107.41,0.528,0.549
183,6.1000,0.6080,2.8166,17.1736,107.22,0.510,0.499
184,6.1333,0.5188,2.9765,18.0208,107.38,0.530,0.521
185,6.1667,0.5840,3.1804,19.5347,107.21,0.521,0.505
186,6.2000,0.7795,3.4385,21.5278,107.15,0.529,0.515
187,6.2333,0.9655,4.0253,24.4236,106.76,0.516,0.506
188,6.2667,1.1631,4.8560,28.6458,106.81,0.527,0.500
189,6.3000,1.4678,5.9539,33.9514,106.50,0.521,0.518
190,6.3333,2.6147,7.9886,42.4861,106.27,0.521,0.524
191,6.3667,142.2275,140.4997,228.4583,105.42,0.483,0.486
192,6.4000,6.0711,139.9862,228.4653,232.29,0.494,0.497
193,6.4333,1.7601,139.7687,228.3889,234.13,0.493,0.497
194,6.4667,1.0537,140.0218,228.6319,234.58,0.496,0.495
195,6.5000,0.7350,139.8543,228.2639,234.85,0.496,0.494
196,6.5333,0.5344,140.0580,228.2292,235.03,0.496,0.495
197,6.5667,0.4109,140.1809,228.0694,235.16,0.495,0.495
198,6.6000,0.3202,140.8957,228.2986,235.27,0.493,0.497
199,6.6333,0.2552,7.0135,105.4375,235.36,0.495,0.495
200,6.6667,0.2183,4.3797,81.1944,235.43,0.495,0.495
201,6.7000,0.1721,3.2938,62.0000,235.48,0.496,0.497
202,6.7333,0.1453,2.5729,47.0694,235.53,0.495,0.495
203,6.7667,0.1101,2.0262,36.0556,235.57,0.496,0.494
204,6.8000,0.0964,1.6447,29.5972,235.60,0.498,0.497
205,6.8333,0.0749,1.3497,24.4653,235.62,0.495,0.498
206,6.8667,0.0557,1.1008,20.1736,235.64,0.495,0.491
207,6.9000,0.0342,0.8908,16.3472,235.66,0.486,0.499
208,6.9333,0.0290,0.7045,13.1111,235.66,0.500,0.495
209,6.9667,0.0080,0.5424,10.2847,235.67,0.490,0.493
210,7.0000,0.0441,0.4041,8.2986,235.67,0.499,0.502
211,7.0333,0.2209,0.3604,9.9861,235.67,0.497,0.495
212,7.0667,0.4786,0.7530,16.7917,235.67,0.510,0.498
213,7.1000,0.7946,1.5177,29.6250,235.66,0.515,0.494
214,7.1333,1.2309,2.5905,46.5764,235.64,0.514,0.498
215,7.1667,1.9997,3.8811,64.0625,235.58,0.505,0.497
216,7.2000,2.8701,4.7845,82.8333,235.48,0.500,0.499
217,7.2333,4.3355,4.6669,72.4722,235.34,0.493,0.500
218,7.2667,4.7048,6.2950,67.4861,235.07,0.491,0.501
219,7.3000,18.6055,21.3647,99.9861,234.37,0.762,0.499
220,7.3333,16.0869,27.1362,102.2847,220.40,0.425,0.500
221,7.3667,8.0166,27.3829,101.7153,212.53,0.424,0.499
222,7.4000,5.2695,27.3530,100.1458,212.16,0.418,0.499
223,7.4333,3.3469,27.3604,99.6597,212.02,0.432,0.499
224,7.4667,2.2648,27.4069,98.8889,211.90,0.422,0.500
225,7.5000,1.4270,27.5400,97.3472,211.80,0.417,0.499
226,7.5333,0.7842,27.6705,95.9722,211.74,0.425,0.497
227,7.5667,0.3358,15.9965,76.5278,211.70,0.427,0.491
228,7.6000,0.1201,10.6332,79.7083,211.68,0.501,0.508
