frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0226,0.0226,0.4583,87.14,0.799,0.838
1,0.0333,0.0232,0.0454,0.8681,87.14,0.803,0.835
2,0.0667,0.0231,0.0683,1.2917,87.14,0.804,0.836
3,0.1000,0.0240,0.0918,1.7083,87.14,0.803,0.834
4,0.1333,0.0189,0.1000,1.6944,87.13,0.764,0.804
5,0.1667,0.4937,0.5818,14.0556,87.13,0.197,0.514
6,0.2000,0.0539,0.5813,14.0556,86.72,0.797,0.832
7,0.2333,0.0566,0.5952,14.0625,86.72,0.793,0.833
8,0.2667,0.0745,0.6671,14.0764,86.71,0.785,0.829
9,0.3000,0.0910,0.7536,14.0625,86.70,0.787,0.829
10,0.3333,0.0091,0.7632,14.0764,86.70,0.452,0.604
11,0.3667,0.1028,0.8500,14.0417,86.69,0.770,0.805
12,0.4000,0.1059,0.9217,14.0417,86.69,0.788,0.827
13,0.4333,0.1112,0.5166,8.9861,86.68,0.788,0.826
14,0.4667,0.1242,0.5522,9.4861,86.68,0.757,0.790
15,0.5000,0.0199,0.5299,8.9028,86.67,0.458,0.510
16,0.5333,0.1199,0.5428,9.3333,86.68,0.787,0.815
17,0.5667,0.1247,0.5590,10.1250,86.68,0.789,0.816
18,0.6000,0.1433,0.6179,10.8681,86.68,0.748,0.770
19,0.6333,0.1510,0.6482,10.9306,86.65,0.758,0.771
20,0.6667,0.0405,0.6347,10.4444,86.66,0.494,0.455
21,0.7000,0.1263,0.6345,10.4306,86.64,0.802,0.812
22,0.7333,0.1314,0.6376,10.8125,86.64,0.800,0.806
23,0.7667,0.1353,0.6866,11.4514,86.64,0.787,0.789
24,0.8000,0.1130,0.6801,11.9097,86.62,0.816,0.834
25,0.8333,0.0031,0.6363,11.3889,86.61,0.607,0.593
26,0.8667,0.1096,0.6117,11.4583,86.61,0.833,0.840
27,0.9000,0.1096,0.5769,11.3750,86.61,0.815,0.818
28,0.9333,0.2231,0.6827,12.2569,86.59,0.707,0.619
29,0.9667,0.1445,0.6938,12.6458,86.70,0.747,0.735
30,1.0000,0.8518,1.3927,11.7292,86.68,0.517,0.524
31,1.0333,2.0820,3.2700,11.6667,86.84,0.568,0.496
32,1.0667,3.8632,6.9019,17.6597,86.83,0.549,0.504
33,1.1000,6.3467,12.5299,29.7361,87.16,0.500,0.502
34,1.1333,7.5710,18.1823,46.8750,86.51,0.552,0.486
35,1.1667,10.1131,23.9375,62.9097,87.01,0.550,0.502
36,1.2000,12.5824,30.0003,79.0486,87.50,0.545,0.511
37,1.2333,15.1501,36.9175,93.4792,88.38,0.533,0.530
38,1.2667,17.1924,43.0424,110.9028,88.78,0.526,0.519
39,1.3000,19.7133,47.4984,114.2292,88.77,0.506,0.537
40,1.3333,23.1790,51.8906,124.7083,87.96,0.486,0.561
41,1.3667,27.1439,55.2117,131.0764,86.92,0.469,0.578
42,1.4000,31.7834,56.9498,152.2014,85.80,0.458,0.593
43,1.4333,38.0216,60.8754,147.3611,84.72,0.463,0.584
44,1.4667,45.6518,67.1367,137.6944,86.83,0.489,0.584
45,1.5000,44.9225,66.9517,167.1736,91.53,0.524,0.589
46,1.5333,37.6098,68.9214,168.1667,97.87,0.535,0.594
47,1.5667,29.7016,70.9260,171.1389,103.66,0.560,0.578
48,1.6000,23.8436,72.5915,168.4306,107.71,0.578,0.568
49,1.6333,18.9467,74.8650,175.9653,109.98,0.593,0.560
50,1.6667,15.4929,77.1273,185.2847,112.12,0.603,0.554
51,1.7000,12.4229,78.1171,166.7986,114.22,0.612,0.554
52,1.7333,9.7245,77.5149,175.8958,115.83,0.617,0.555
53,1.7667,7.5392,70.7255,166.9097,116.97,0.627,0.544
54,1.8000,6.0253,62.6694,138.1667,118.17,0.626,0.543
55,1.8333,4.3996,55.8069,149.2083,118.70,0.628,0.547
56,1.8667,3.5623,49.2225,136.3472,119.51,0.627,0.559
57,1.9000,2.0540,42.5736,118.7917,119.72,0.663,0.555
58,1.9333,1.2641,36.1791,98.7986,120.39,0.621,0.498
59,1.9667,0.1696,29.0318,79.6319,120.60,0.605,0.613
60,2.0000,13.2695,31.1354,63.0347,120.67,0.493,0.502
61,2.0333,0.0332,25.6210,57.2500,133.50,0.510,0.476
62,2.0667,0.0156,21.2899,58.6181,133.53,0.523,0.537
63,2.1000,0.0139,18.1360,60.2917,133.52,0.522,0.458
64,2.1333,0.0401,15.5954,61.9583,133.53,0.528,0.470
65,2.1667,0.0205,14.0480,62.6181,133.49,0.479,0.559
66,2.2000,0.0071,13.4055,63.1875,133.51,0.546,0.520
67,2.2333,0.0074,13.3231,63.1875,133.51,0.513,0.592
68,2.2667,0.0195,0.1016,0.2986,133.51,0.601,0.518
69,2.3000,0.0195,0.1037,0.2986,133.50,0.412,0.508
70,2.3333,0.0088,0.0939,0.2708,133.51,0.491,0.552
71,2.3667,0.0086,0.0974,0.2986,133.51,0.417,0.596
72,2.4000,0.0203,0.0763,0.3194,133.51,0.509,0.516
73,2.4333,0.0139,0.0749,0.3264,133.50,0.529,0.499
74,2.4667,0.0058,0.0714,0.3125,133.51,0.562,0.549
75,2.5000,0.0064,0.0728,0.2569,133.50,0.576,0.604
76,2.5333,0.0158,0.0646,0.2639,133.51,0.587,0.479
77,2.5667,0.0145,0.0667,0.2083,133.49,0.502,0.568
78,2.6000,0.0051,0.0617,0.2083,133.50,0.492,0.598
79,2.6333,0.0063,0.0608,0.2083,133.50,0.506,0.500
80,2.6667,0.0132,0.0492,0.1875,133.50,0.507,0.545
81,2.7000,0.0129,0.0536,0.1528,133.49,0.405,0.707
82,2.7333,0.0042,0.0510,0.1528,133.50,0.384,0.549
83,2.7667,0.0036,0.0501,0.1458,133.50,0.455,0.611
84,2.8000,0.0124,0.0406,0.1528,133.50,0.472,0.556
85,2.8333,0.0111,0.0445,0.1528,133.49,0.394,0.511
86,2.8667,0.0042,0.0432,0.1528,133.50,0.404,0.539
87,2.9000,0.0060,0.0455,0.1667,133.50,0.296,0.631
88,2.9333,15.3775,15.3984,67.7500,133.51,0.498,0.491
89,2.9667,0.5352,15.7892,67.9236,148.80,0.484,0.506
90,3.0000,0.9342,16.4206,68.2500,148.81,0.505,0.547
91,3.0333,2.0776,18.1806,68.1042,149.08,0.526,0.533
92,3.0667,4.0777,21.9403,68.3194,149.00,0.524,0.535
93,3.1000,5.6737,26.5127,68.6875,149.50,0.552,0.531
94,3.1333,7.6859,32.5283,69.8264,149.90,0.530,0.533
95,3.1667,10.0896,39.0951,91.4931,150.90,0.551,0.530
96,3.2000,10.9659,28.8057,103.0486,151.72,0.623,0.526
97,3.2333,13.3976,32.0502,113.8056,151.48,0.625,0.524
98,3.2667,16.2186,33.8631,126.1597,151.22,0.623,0.521
99,3.3000,19.6239,38.0359,144.5625,150.49,0.621,0.517
100,3.3333,22.9620,40.5120,122.8750,150.19,0.608,0.514
101,3.3667,26.1416,43.8384,119.4722,149.90,0.580,0.514
102,3.4000,26.3129,48.2279,119.5139,149.70,0.596,0.517
103,3.4333,28.6509,53.1995,163.1250,147.84,0.578,0.521
104,3.4667,31.8725,58.8579,154.7292,146.22,0.525,0.498
105,3.5000,30.6927,63.9340,162.4931,141.19,0.439,0.474
106,3.5333,27.3613,64.5767,164.2431,137.57,0.376,0.450
107,3.5667,22.8076,64.3646,165.8125,135.69,0.347,0.427
108,3.6000,19.6272,63.8279,162.3264,134.72,0.327,0.417
109,3.6333,16.2158,62.6248,162.3125,134.63,0.288,0.407
110,3.6667,14.3957,60.9908,163.5972,133.66,0.299,0.397
111,3.7000,12.4840,58.2367,166.4097,133.12,0.340,0.395
112,3.7333,10.1901,54.3598,155.7083,132.52,0.355,0.392
113,3.7667,8.2378,50.0566,152.3403,131.70,0.360,0.388
