frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0047,0.0047,0.0347,38.50,0.603,0.571
1,0.0167,0.0030,0.0075,0.1250,38.50,0.474,0.661
2,0.0333,0.0015,0.0086,0.1319,38.50,0.461,0.643
3,0.0500,0.0065,0.0127,0.2500,38.50,0.445,0.576
4,0.0667,0.0081,0.0202,0.2569,38.49,0.435,0.209
5,0.0833,0.0013,0.0206,0.2639,38.50,0.485,0.089
6,0.1000,0.0012,0.0212,0.2708,38.50,0.513,0.481
7,0.1167,0.0075,0.0267,0.2847,38.50,0.465,0.329
8,0.1333,0.0058,0.0278,0.2708,38.49,0.504,0.324
9,0.1500,0.0011,0.0250,0.1736,38.50,0.546,0.441
10,0.1667,0.0014,0.0253,0.1597,38.50,0.651,0.509
11,0.1833,0.0102,0.0288,0.2361,38.50,0.512,0.562
12,0.2000,0.0088,0.0290,0.2222,38.49,0.462,0.324
13,0.2167,0.0023,0.0282,0.2153,38.50,0.541,0.374
14,0.2333,0.0021,0.0295,0.2153,38.49,0.483,0.264
15,0.2500,0.0089,0.0311,0.2083,38.50,0.465,0.334
16,0.2667,0.0140,0.0387,0.2569,38.49,0.389,0.413
17,0.2833,0.0030,0.0383,0.2431,38.50,0.466,0.353
18,0.3000,0.0022,0.0391,0.2222,38.50,0.619,0.410
19,0.3167,0.0107,0.0368,0.1458,38.50,0.501,0.270
20,0.3333,0.0077,0.0372,0.1528,38.49,0.452,0.557
21,0.3500,0.0027,0.0374,0.1458,38.50,0.464,0.601
22,0.3667,0.0024,0.0378,0.1458,38.50,0.505,0.542
23,0.3833,0.0086,0.0366,0.1389,38.50,0.458,0.457
24,0.4000,0.0066,0.0322,0.1458,38.49,0.400,0.421
25,0.4167,0.0031,0.0295,0.1528,38.49,0.425,0.711
26,0.4333,0.0020,0.0306,0.1528,38.49,0.290,0.801
27,0.4500,0.0046,0.0233,0.1181,38.49,0.461,0.410
28,0.4667,0.0046,0.0215,0.1389,38.49,0.597,0.451
29,0.4833,0.0853,0.1017,3.2083,38.49,0.909,0.802
30,0.5000,0.0055,0.0977,3.1944,38.41,0.793,0.588
31,0.5167,0.0042,0.0942,3.1875,38.42,0.604,0.586
32,0.5333,0.0015,0.0910,3.1875,38.41,0.474,0.190
33,0.5500,0.0003,0.0910,3.1806,38.41,0.425,0.235
34,0.5667,0.0003,0.0901,3.1875,38.41,0.436,0.455
35,0.5833,0.0095,0.0955,3.1736,38.41,0.535,0.578
36,0.6000,0.0014,0.0962,3.1806,38.41,0.440,0.491
37,0.6167,0.0017,0.0168,0.5278,38.41,0.461,0.639
38,0.6333,0.0002,0.0158,0.5208,38.41,0.343,0.437
39,0.6500,0.1587,0.1625,4.9306,38.41,0.500,0.648
40,0.6667,0.0040,0.1648,5.0069,38.26,0.504,0.592
41,0.6833,0.0190,0.1822,5.5278,38.26,0.497,0.649
42,0.7000,0.0143,0.1953,5.8889,38.24,0.487,0.647
43,0.7167,0.0122,0.2066,6.2153,38.23,0.504,0.624
44,0.7333,0.0077,0.2120,6.3542,38.21,0.506,0.637
45,0.7500,0.0022,0.2120,6.3750,38.21,0.466,0.613
46,0.7667,0.0001,0.2121,6.3819,38.21,0.213,0.183
47,0.7833,0.0036,0.0600,1.8333,38.21,0.493,0.596
48,0.8000,0.0004,0.0566,1.7292,38.20,0.378,0.623
49,0.8167,0.0005,0.0393,1.1528,38.20,0.603,0.532
50,0.8333,0.0001,0.0253,0.7431,38.20,0.512,0.718
51,0.8500,0.0022,0.0155,0.4514,38.20,0.486,0.453
52,0.8667,0.0004,0.0085,0.1944,38.20,0.431,0.201
53,0.8833,0.0004,0.0063,0.1458,38.20,0.467,0.461
54,0.9000,0.0003,0.0065,0.1458,38.20,0.504,0.164
55,0.9167,0.0012,0.0037,0.0694,38.20,0.539,0.452
56,0.9333,0.0002,0.0039,0.0764,38.20,0.681,0.296
57,0.9500,0.0001,0.0035,0.0694,38.20,0.606,0.662
58,0.9667,0.0000,0.0034,0.0625,38.20,0.500,0.500
59,0.9833,0.0009,0.0018,0.0486,38.20,0.589,0.560
60,1.0000,0.0012,0.0030,0.0556,38.20,0.518,0.636
61,1.0167,5.7777,5.7788,72.2569,38.20,0.523,0.593
62,1.0333,0.0009,5.7793,72.2569,35.41,0.624,0.373
63,1.0500,0.0013,5.7785,72.2431,35.41,0.591,0.451
64,1.0667,0.0015,5.7783,72.2431,35.41,0.673,0.386
65,1.0833,0.0014,5.7781,72.2431,35.41,0.571,0.606
66,1.1000,0.0002,5.7779,72.2431,35.41,0.539,0.465
67,1.1167,0.0011,5.7768,72.2153,35.41,0.634,0.425
68,1.1333,0.0205,5.7974,72.2014,35.41,0.602,0.704
69,1.1500,0.0005,0.0216,0.6042,35.41,0.529,0.656
70,1.1667,0.0100,0.0125,0.5972,35.41,0.654,0.775
71,1.1833,0.0026,0.0144,0.5972,35.40,0.461,0.477
72,1.2000,0.0031,0.0148,0.5972,35.40,0.415,0.513
73,1.2167,0.0005,0.0150,0.6042,35.41,0.443,0.761
74,1.2333,0.0008,0.0153,0.6111,35.40,0.398,0.684
75,1.2500,0.0015,0.0160,0.6042,35.40,0.585,0.411
76,1.2667,0.0014,0.0166,0.6042,35.40,0.377,0.690
77,1.2833,0.0009,0.0161,0.6042,35.40,0.499,0.710
78,1.3000,0.0004,0.0063,0.0625,35.40,0.490,0.236
79,1.3167,0.0016,0.0068,0.0625,35.40,0.352,0.397
80,1.3333,0.0040,0.0075,0.0556,35.40,0.415,0.511
81,1.3500,0.0012,0.0077,0.0625,35.41,0.428,0.310
82,1.3667,0.0011,0.0076,0.0556,35.40,0.537,0.404
83,1.3833,0.0034,0.0079,0.0625,35.41,0.522,0.386
84,1.4000,0.0023,0.0092,0.0625,35.40,0.463,0.315
85,1.4167,0.0005,0.0087,0.0556,35.40,0.616,0.276
86,1.4333,0.0004,0.0087,0.0486,35.40,0.498,0.588
87,1.4500,0.0022,0.0086,0.0486,35.40,0.681,0.154
88,1.4667,0.0023,0.0084,0.0556,35.40,0.467,0.270
89,1.4833,0.0004,0.0078,0.0486,35.40,0.337,0.292
90,1.5000,0.0009,0.0085,0.0694,35.40,0.299,0.174
91,1.5167,0.0027,0.0072,0.0556,35.40,0.516,0.349
92,1.5333,0.0016,0.0065,0.0486,35.40,0.725,0.407
93,1.5500,0.0003,0.0063,0.0486,35.40,0.496,0.446
94,1.5667,0.0003,0.0062,0.0486,35.40,0.496,0.488
95,1.5833,0.0013,0.0051,0.0347,35.40,0.519,0.434
96,1.6000,0.0008,0.0053,0.0417,35.40,0.334,0.312
97,1.6167,0.0001,0.0048,0.0417,35.40,0.189,0.155
98,1.6333,0.0002,0.0052,0.0417,35.40,0.291,0.570
99,1.6500,0.0004,0.0023,0.0208,35.40,0.362,0.430
100,1.6667,0.0003,0.0025,0.0278,35.40,0.283,0.446
101,1.6833,0.0000,0.0022,0.0208,35.40,0.500,0.500
102,1.7000,0.0002,0.0025,0.0278,35.40,0.307,0.549
103,1.7167,0.0008,0.0020,0.0208,35.40,0.481,0.340
104,1.7333,0.0007,0.0018,0.0208,35.40,0.257,0.087
105,1.7500,0.0002,0.0017,0.0208,35.40,0.256,0.056
106,1.7667,0.0001,0.0018,0.0278,35.40,0.260,0.070
107,1.7833,0.0005,0.0017,0.0208,35.40,0.254,0.454
108,1.8000,0.0001,0.0015,0.0208,35.40,0.354,0.958
109,1.8167,0.0000,0.0015,0.0208,35.40,0.500,0.500
110,1.8333,0.0000,0.0015,0.0208,35.40,0.500,0.500
111,1.8500,0.0000,0.0008,0.0208,35.40,0.500,0.500
112,1.8667,0.0001,0.0009,0.0208,35.40,0.055,0.915
113,1.8833,0.2376,0.2385,7.6181,35.40,0.500,0.798
114,1.9000,0.0002,0.2386,7.6181,35.40,0.508,0.901
115,1.9167,0.5308,0.6452,22.7153,35.40,0.510,0.801
116,1.9333,0.3519,0.8019,29.1736,35.40,0.522,0.797
117,1.9500,0.0011,0.8023,29.1736,35.40,0.587,0.328
118,1.9667,0.4197,1.0441,43.9306,35.40,0.530,0.798
119,1.9833,0.6453,1.1086,48.0625,35.40,0.543,0.803
120,2.0000,0.0000,1.1085,48.0625,35.23,0.500,0.500
121,2.0167,0.5396,1.1952,57.5000,35.23,0.561,0.796
122,2.0333,0.3659,1.2152,58.7292,35.30,0.570,0.798
123,2.0500,0.3526,1.2256,72.6458,35.31,0.577,0.797
124,2.0667,0.0001,1.1648,73.4097,35.32,0.449,0.254
125,2.0833,0.2677,1.2188,76.7847,35.33,0.581,0.791
126,2.1000,0.0074,1.1248,71.4236,35.33,0.472,0.315
127,2.1167,0.0002,0.8026,50.7917,35.33,0.071,0.162
128,2.1333,0.0000,0.8026,50.7917,35.33,0.500,0.500
129,2.1500,0.0000,0.6853,43.0972,35.33,0.500,0.500
130,2.1667,0.0003,0.5852,36.6875,35.33,0.919,0.131
131,2.1833,0.0106,0.2775,16.8750,35.33,0.452,0.281
132,2.2000,0.0009,0.2780,16.8958,35.33,0.574,0.727
133,2.2167,0.0008,0.0152,0.7708,35.33,0.579,0.781
134,2.2333,0.2730,0.2769,16.7778,35.33,0.580,0.791
135,2.2500,0.0832,0.3096,18.6597,35.55,0.573,0.761
136,2.2667,0.0002,0.3096,18.6597,35.49,0.610,0.796
137,2.2833,0.0000,0.3096,18.6597,35.49,0.500,0.500
138,2.3000,0.0867,0.3430,20.8264,35.49,0.574,0.765
139,2.3167,0.0206,0.3502,21.1806,35.42,0.533,0.612
140,2.3333,0.0004,0.3499,21.1597,35.41,0.543,0.482
141,2.3500,0.0002,0.3500,21.1667,35.41,0.583,0.810
142,2.3667,0.0116,0.1872,10.7639,35.41,0.455,0.345
143,2.3833,0.0023,0.1130,5.9097,35.41,0.462,0.372
144,2.4000,0.0073,0.1135,5.9097,35.42,0.448,0.339
145,2.4167,0.0001,0.1136,5.9097,35.41,0.047,0.437
146,2.4333,0.0005,0.0340,1.1528,35.41,0.359,0.256
147,2.4500,0.0093,0.0218,1.0833,35.41,0.451,0.351
148,2.4667,0.0044,0.0234,1.1528,35.42,0.433,0.409
149,2.4833,0.0003,0.0233,1.1528,35.42,0.262,0.671
150,2.5000,0.0053,0.0216,1.0069,35.42,0.491,0.339
151,2.5167,0.0098,0.0228,0.8819,35.41,0.438,0.367
152,2.5333,0.1420,0.1554,8.5069,35.42,0.576,0.773
153,2.5500,0.0002,0.1555,8.5069,35.41,0.622,0.528
154,2.5667,0.4379,0.5024,30.7222,35.41,0.575,0.790
155,2.5833,0.0003,0.5023,30.7361,35.41,0.478,0.540
156,2.6000,0.0000,0.5020,30.7361,35.41,0.500,0.500
157,2.6167,0.5842,0.8992,56.1667,35.41,0.562,0.797
158,2.6333,0.0000,0.8976,56.1667,35.41,0.500,0.500
159,2.6500,0.0000,0.8967,56.1736,35.41,0.500,0.500
160,2.6667,1.1288,1.3203,74.0208,35.41,0.533,0.798
161,2.6833,0.4479,1.3207,64.6181,35.41,0.507,0.797
162,2.7000,0.0000,1.3194,64.6736,35.41,0.500,0.500
163,2.7167,0.4566,1.3213,54.7986,35.41,0.496,0.797
164,2.7333,0.6425,1.3207,41.6875,35.42,0.480,0.800
165,2.7500,0.0003,1.3202,41.6875,35.41,0.441,0.746
166,2.7667,0.4093,1.3209,41.7014,35.41,0.464,0.797
167,2.7833,0.6287,1.3204,41.6806,35.41,0.449,0.799
168,2.8000,0.0081,1.3206,50.9444,35.41,0.442,0.456
169,2.8167,0.0000,1.3196,60.2708,35.41,0.500,0.500
170,2.8333,0.0000,1.3196,60.2708,35.41,0.500,0.500
171,2.8500,0.0082,1.2629,66.5208,35.41,0.442,0.464
172,2.8667,0.0000,0.8915,55.8681,35.41,0.500,0.500
173,2.8833,0.0060,0.8913,55.8611,35.41,0.443,0.478
174,2.9000,0.0081,0.6390,39.7153,35.41,0.454,0.477
175,2.9167,0.0007,0.0192,1.1597,35.41,0.492,0.420
176,2.9333,0.0000,0.0189,1.1389,35.42,0.500,0.500
177,2.9500,0.0093,0.0193,1.0347,35.42,0.444,0.498
178,2.9667,0.0002,0.0195,1.0347,35.42,0.382,0.500
179,2.9833,0.0640,0.0729,0.7639,35.41,0.451,0.362
180,3.0000,0.0755,0.1413,3.6528,35.43,0.738,0.280
181,3.0167,0.0001,0.1415,3.6528,35.50,0.772,0.239
182,3.0333,0.0047,0.1415,3.6667,35.50,0.473,0.491
183,3.0500,0.0003,0.1414,3.6528,35.50,0.777,0.258
184,3.0667,0.0546,0.1697,5.7292,35.50,0.705,0.316
185,3.0833,0.0004,0.1697,5.7083,35.52,0.776,0.254
186,3.1000,0.0846,0.1723,6.2500,35.52,0.740,0.290
187,3.1167,0.0003,0.1166,6.1736,35.52,0.777,0.272
188,3.1333,0.0007,0.1305,6.2847,35.52,0.727,0.221
189,3.1500,0.1306,0.1795,9.5556,35.52,0.742,0.304
190,3.1667,0.0500,0.1871,10.0069,35.53,0.742,0.316
191,3.1833,0.0002,0.1872,9.9931,35.53,0.406,0.099
192,3.2000,0.0567,0.2080,11.5694,35.53,0.738,0.324
193,3.2167,0.1484,0.2160,12.0833,35.53,0.744,0.334
194,3.2333,0.0002,0.2189,12.6250,35.53,0.831,0.099
195,3.2500,0.0565,0.2193,12.6250,35.53,0.748,0.343
196,3.2667,0.0569,0.2202,12.6597,35.53,0.744,0.352
197,3.2833,0.0582,0.2208,12.8611,35.53,0.745,0.362
198,3.3000,0.0001,0.2195,12.7639,35.53,0.031,0.254
199,3.3167,0.1356,0.2210,11.9236,35.53,0.748,0.370
200,3.3333,0.0650,0.2191,10.5625,35.53,0.747,0.383
201,3.3500,0.0001,0.2188,10.5833,35.53,0.433,0.620
202,3.3667,0.1166,0.2197,7.3611,35.53,0.745,0.395
203,3.3833,0.1177,0.2195,6.4514,35.53,0.751,0.405
204,3.4000,0.0004,0.2197,6.4514,35.53,0.132,0.342
205,3.4167,0.0624,0.2198,6.4722,35.53,0.744,0.420
206,3.4333,0.1161,0.2193,6.4375,35.53,0.750,0.426
207,3.4500,0.0000,0.2202,7.3681,35.53,0.500,0.500
208,3.4667,0.0001,0.2184,8.6875,35.53,0.433,0.648
209,3.4833,0.1230,0.2188,8.6667,35.53,0.746,0.442
210,3.5000,0.0000,0.2195,11.9028,35.53,0.500,0.500
211,3.5167,0.0002,0.2103,12.5278,35.53,0.535,0.887
212,3.5333,0.1195,0.2193,12.8056,35.53,0.748,0.453
213,3.5500,0.1243,0.2201,12.8333,35.53,0.747,0.467
214,3.5667,0.0009,0.2188,12.7986,35.53,0.326,0.518
215,3.5833,0.1221,0.2204,12.7986,35.53,0.747,0.481
216,3.6000,0.0658,0.2214,12.8750,35.53,0.753,0.488
217,3.6167,0.0002,0.2207,12.8542,35.53,0.516,0.803
218,3.6333,0.0692,0.2205,12.2361,35.53,0.742,0.490
219,3.6500,0.1225,0.2197,9.4861,35.53,0.746,0.508
220,3.6667,0.0001,0.2199,9.4722,35.53,0.378,0.901
221,3.6833,0.0005,0.2157,9.3611,35.53,0.387,0.577
222,3.7000,0.1836,0.2170,6.3611,35.53,0.745,0.527
223,3.7167,0.0001,0.2170,6.3611,35.52,0.441,0.704
224,3.7333,0.1421,0.2185,6.4375,35.52,0.747,0.545
225,3.7500,0.0002,0.2185,6.4375,35.52,0.661,0.514
