frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0295,0.0295,0.4028,228.68,0.495,0.498
1,0.0167,0.1086,0.1273,0.9028,228.68,0.514,0.571
2,0.0333,0.0956,0.2077,1.5764,228.72,0.509,0.570
3,0.0500,0.1012,0.3067,2.3125,228.69,0.508,0.554
4,0.0667,0.1163,0.4018,3.0139,228.69,0.502,0.576
5,0.0833,0.1789,0.5525,4.0972,228.63,0.509,0.570
6,0.1000,0.1617,0.7036,5.1181,228.69,0.501,0.568
7,0.1167,0.1727,0.8691,6.2361,228.67,0.510,0.556
8,0.1333,0.1853,1.0245,7.1250,228.68,0.507,0.566
9,0.1500,0.3127,1.2123,7.9167,228.61,0.500,0.559
10,0.1667,0.2928,1.4084,8.8750,228.73,0.501,0.549
11,0.1833,0.3351,1.6362,10.0069,228.72,0.510,0.531
12,0.2000,0.3268,1.8536,11.0764,228.78,0.495,0.566
13,0.2167,0.4086,2.0553,11.9792,228.69,0.492,0.572
14,0.2333,0.4056,2.2967,13.1806,228.82,0.509,0.543
15,0.2500,0.4119,2.5158,14.3194,228.81,0.499,0.568
16,0.2667,0.4505,2.7832,15.6528,228.86,0.509,0.549
17,0.2833,0.5990,2.9915,16.4653,228.78,0.509,0.549
18,0.3000,0.5924,3.2387,18.1250,228.94,0.513,0.555
19,0.3167,0.6558,3.5234,19.8125,228.92,0.507,0.545
20,0.3333,0.6927,3.8913,23.2014,229.00,0.500,0.574
21,0.3500,0.8160,4.2188,26.2361,228.92,0.488,0.564
22,0.3667,0.8271,4.6090,29.2917,229.09,0.493,0.558
23,0.3833,0.9314,4.9838,30.9931,229.09,0.494,0.558
24,0.4000,0.9886,5.4095,32.0764,229.15,0.504,0.553
25,0.4167,1.2167,5.8350,32.0069,229.09,0.512,0.565
26,0.4333,1.2818,6.3053,32.7500,229.27,0.508,0.569
27,0.4500,1.5474,6.8623,34.5903,229.29,0.504,0.561
28,0.4667,1.6872,7.5857,36.9306,229.42,0.506,0.566
29,0.4833,2.1017,8.3949,40.4861,229.32,0.502,0.564
30,0.5000,2.3117,9.4365,43.8889,229.57,0.505,0.561
31,0.5167,2.7026,10.5271,46.3819,229.64,0.500,0.581
32,0.5333,3.3890,11.6825,47.4583,229.76,0.502,0.552
33,0.5500,4.3058,12.7683,44.6528,229.83,0.500,0.568
34,0.5667,5.3490,14.5371,52.4306,230.11,0.511,0.569
35,0.5833,7.1008,16.6276,62.1667,230.20,0.502,0.573
36,0.6000,9.9839,19.3137,71.5972,230.51,0.503,0.572
37,0.6167,12.5636,21.7611,73.2153,230.90,0.513,0.574
38,0.6333,14.2615,22.3703,59.3264,231.38,0.515,0.564
39,0.6500,28.7194,21.6521,60.5069,232.82,0.505,0.518
40,0.6667,2.9226,22.5946,58.2431,224.40,0.489,0.460
41,0.6833,2.4521,23.3599,59.7222,224.35,0.483,0.441
42,0.7000,2.3686,24.7541,62.6389,224.36,0.480,0.439
43,0.7167,2.5960,26.1541,65.3542,224.31,0.490,0.451
44,0.7333,2.4692,28.1905,66.6667,224.26,0.486,0.463
45,0.7500,2.4789,30.1510,64.0903,224.27,0.485,0.454
46,0.7667,2.3472,30.1740,60.5556,224.16,0.481,0.443
47,0.7833,2.2748,9.4630,46.7222,224.23,0.484,0.451
