frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0001,0.0001,0.0069,11.48,0.394,0.465
1,0.0167,0.0001,0.0000,0.0000,11.48,0.394,0.465
2,0.0333,0.0001,0.0001,0.0069,11.48,0.394,0.465
3,0.0500,0.0001,0.0000,0.0000,11.48,0.394,0.465
4,0.0667,0.0001,0.0001,0.0069,11.48,0.394,0.465
5,0.0833,0.0000,0.0001,0.0069,11.48,0.500,0.500
6,0.1000,0.0001,0.0000,0.0000,11.48,0.394,0.465
7,0.1167,0.0000,0.0000,0.0000,11.48,0.500,0.500
8,0.1333,0.0000,0.0001,0.0069,11.48,0.500,0.500
9,0.1500,0.0000,0.0000,0.0000,11.48,0.500,0.500
10,0.1667,0.0000,0.0001,0.0069,11.48,0.500,0.500
11,0.1833,0.0000,0.0000,0.0000,11.48,0.500,0.500
12,0.2000,0.0000,0.0001,0.0069,11.48,0.500,0.500
13,0.2167,0.0000,0.0001,0.0069,11.48,0.500,0.500
14,0.2333,0.0000,0.0000,0.0000,11.48,0.500,0.500
15,0.2500,0.0000,0.0000,0.0000,11.48,0.500,0.500
16,0.2667,0.0000,0.0000,0.0000,11.48,0.500,0.500
17,0.2833,0.0000,0.0000,0.0000,11.48,0.500,0.500
18,0.3000,0.0000,0.0000,0.0000,11.48,0.500,0.500
19,0.3167,0.0000,0.0000,0.0000,11.48,0.500,0.500
20,0.3333,0.0000,0.0000,0.0000,11.48,0.500,0.500
21,0.3500,0.0000,0.0000,0.0000,11.48,0.500,0.500
22,0.3667,0.0000,0.0000,0.0000,11.48,0.500,0.500
23,0.3833,0.0000,0.0000,0.0000,11.48,0.500,0.500
24,0.4000,4.6613,4.6613,52.5347,11.48,0.474,0.507
25,0.4167,0.0000,4.6613,52.5347,7.00,0.500,0.500
26,0.4333,0.0000,4.6613,52.5347,7.00,0.500,0.500
27,0.4500,0.0000,4.6613,52.5347,7.00,0.500,0.500
28,0.4667,0.0000,4.6613,52.5347,7.00,0.500,0.500
29,0.4833,0.0000,4.6613,52.5347,7.00,0.500,0.500
30,0.5000,0.0000,4.6613,52.5347,7.00,0.500,0.500
31,0.5167,0.0000,4.6613,52.5347,7.00,0.500,0.500
32,0.5333,0.0000,0.0000,0.0000,7.00,0.500,0.500
33,0.5500,0.0000,0.0000,0.0000,7.00,0.500,0.500
34,0.5667,0.0000,0.0000,0.0000,7.00,0.500,0.500
35,0.5833,0.0000,0.0000,0.0000,7.00,0.500,0.500
36,0.6000,0.0000,0.0000,0.0000,7.00,0.500,0.500
37,0.6167,0.0000,0.0000,0.0000,7.00,0.500,0.500
38,0.6333,0.0000,0.0000,0.0000,7.00,0.500,0.500
39,0.6500,0.0000,0.0000,0.0000,7.00,0.500,0.500
40,0.6667,0.0000,0.0000,0.0000,7.00,0.500,0.500
41,0.6833,0.0000,0.0000,0.0000,7.00,0.500,0.500
42,0.7000,0.0000,0.0000,0.0000,7.00,0.500,0.500
43,0.7167,0.0000,0.0000,0.0000,7.00,0.500,0.500
44,0.7333,0.0000,0.0000,0.0000,7.00,0.500,0.500
45,0.7500,0.0000,0.0000,0.0000,7.00,0.500,0.500
46,0.7667,0.0000,0.0000,0.0000,7.00,0.500,0.500
47,0.7833,0.0000,0.0000,0.0000,7.00,0.500,0.500
48,0.8000,0.0000,0.0000,0.0000,7.00,0.500,0.500
49,0.8167,0.0000,0.0000,0.0000,7.00,0.500,0.500
50,0.8333,0.0000,0.0000,0.0000,7.00,0.500,0.500
51,0.8500,0.0000,0.0000,0.0000,7.00,0.500,0.500
52,0.8667,0.0000,0.0000,0.0000,7.00,0.500,0.500
53,0.8833,0.0000,0.0000,0.0000,7.00,0.500,0.500
54,0.9000,0.0000,0.0000,0.0000,7.00,0.500,0.500
55,0.9167,0.0000,0.0000,0.0000,7.00,0.500,0.500
56,0.9333,0.0000,0.0000,0.0000,7.00,0.500,0.500
57,0.9500,0.0000,0.0000,0.0000,7.00,0.500,0.500
58,0.9667,0.0000,0.0000,0.0000,7.00,0.500,0.500
59,0.9833,0.0000,0.0000,0.0000,7.00,0.500,0.500
60,1.0000,0.0000,0.0000,0.0000,7.00,0.500,0.500
61,1.0167,0.0000,0.0000,0.0000,7.00,0.500,0.500
62,1.0333,0.0002,0.0002,0.0069,7.00,0.500,0.479
63,1.0500,0.0009,0.0011,0.0486,7.00,0.502,0.465
64,1.0667,0.0014,0.0014,0.0833,7.00,0.503,0.465
65,1.0833,0.0025,0.0017,0.1111,7.00,0.504,0.457
66,1.1000,0.0049,0.0053,0.2986,7.00,0.504,0.441
67,1.1167,0.0071,0.0074,0.3264,7.00,0.498,0.441
68,1.1333,0.0114,0.0118,0.4097,7.00,0.492,0.436
69,1.1500,0.0170,0.0206,0.8403,7.01,0.484,0.433
70,1.1667,0.0269,0.0330,1.4583,7.01,0.483,0.425
71,1.1833,0.0405,0.0420,2.0486,7.02,0.477,0.426
72,1.2000,0.0476,0.0706,3.1944,7.04,0.475,0.424
73,1.2167,0.0693,0.0945,4.2569,7.05,0.470,0.423
74,1.2333,0.0789,0.1294,5.7986,7.08,0.467,0.427
75,1.2500,0.0998,0.1699,8.2431,7.11,0.465,0.423
76,1.2667,0.1174,0.2195,11.1319,7.14,0.461,0.430
77,1.2833,0.1420,0.2777,13.1111,7.18,0.462,0.432
78,1.3000,0.1635,0.3509,14.5208,7.23,0.458,0.438
79,1.3167,0.1831,0.4284,15.5417,7.29,0.462,0.437
80,1.3333,0.2139,0.5254,17.0417,7.35,0.458,0.444
81,1.3500,0.2449,0.6324,18.7014,7.42,0.461,0.449
82,1.3667,0.2668,0.7517,21.2778,7.49,0.462,0.452
83,1.3833,0.3085,0.8786,24.4375,7.58,0.462,0.457
84,1.4000,0.3294,1.0181,28.4097,7.67,0.466,0.462
85,1.4167,0.3685,1.1686,31.3056,7.75,0.465,0.465
86,1.4333,0.3937,1.3300,33.3819,7.85,0.468,0.467
87,1.4500,0.4417,1.4877,35.4167,7.95,0.471,0.470
88,1.4667,0.4666,1.6673,36.2778,8.05,0.473,0.475
89,1.4833,0.5018,1.8539,38.0417,8.15,0.476,0.475
90,1.5000,0.5457,2.0360,39.6389,8.26,0.480,0.480
91,1.5167,0.5776,2.2554,40.3333,8.37,0.482,0.480
92,1.5333,0.5956,2.4289,39.7639,8.49,0.485,0.481
93,1.5500,0.6525,2.6471,38.5000,8.59,0.487,0.484
94,1.5667,0.6672,2.8102,37.4375,8.70,0.489,0.486
95,1.5833,0.6981,3.0419,39.1042,8.80,0.491,0.487
96,1.6000,0.7096,3.2387,39.7917,8.92,0.492,0.486
97,1.6167,0.7387,3.4255,41.2847,9.01,0.493,0.491
98,1.6333,0.7548,3.6126,44.8472,9.11,0.495,0.491
99,1.6500,0.7687,3.8150,47.7431,9.21,0.496,0.490
100,1.6667,0.7830,3.9868,49.0069,9.29,0.496,0.493
101,1.6833,0.7996,4.1671,50.3889,9.36,0.498,0.494
102,1.7000,0.8115,4.3103,50.4375,9.45,0.498,0.495
103,1.7167,0.8103,4.4787,48.1736,9.52,0.499,0.493
104,1.7333,0.8331,4.5792,48.1042,9.58,0.499,0.498
105,1.7500,0.8253,4.7348,48.7222,9.63,0.500,0.498
106,1.7667,0.8455,4.8253,50.8681,9.68,0.501,0.499
107,1.7833,0.8375,4.9342,52.9375,9.74,0.500,0.498
108,1.8000,0.8441,4.9971,54.8750,9.78,0.501,0.501
109,1.8167,0.8314,5.0938,57.4514,9.82,0.500,0.500
110,1.8333,0.8566,5.1583,59.4375,9.85,0.501,0.502
111,1.8500,0.8393,5.1560,60.6250,9.87,0.501,0.502
112,1.8667,0.8403,5.2582,61.4792,9.90,0.502,0.502
113,1.8833,0.8460,5.2095,60.4514,9.92,0.501,0.502
114,1.9000,0.8350,5.3227,58.6875,9.94,0.502,0.504
115,1.9167,0.8498,5.2526,56.5278,9.95,0.502,0.503
116,1.9333,0.8291,5.3648,58.3681,9.96,0.501,0.503
117,1.9500,0.8384,5.3033,58.2847,9.98,0.502,0.504
118,1.9667,0.8244,5.3378,57.7569,9.98,0.502,0.503
119,1.9833,0.8291,5.3478,56.5000,9.99,0.502,0.504
120,2.0000,0.8210,5.2907,54.2639,9.99,0.501,0.504
121,2.0167,0.8189,5.3347,53.2014,9.98,0.502,0.505
122,2.0333,0.8081,5.2863,53.8750,9.99,0.501,0.504
123,2.0500,0.8105,5.2846,55.1458,9.98,0.501,0.505
124,2.0667,0.7996,5.2898,56.3194,9.99,0.502,0.504
125,2.0833,0.8008,5.2138,56.6597,9.99,0.501,0.505
126,2.1000,0.7933,5.2692,54.5764,9.99,0.502,0.506
127,2.1167,0.7914,5.1875,51.5556,9.99,0.500,0.504
128,2.1333,0.7861,5.2137,53.0903,9.99,0.501,0.506
129,2.1500,0.7702,5.1771,53.4375,9.99,0.500,0.505
130,2.1667,0.7785,5.1480,55.0208,9.99,0.501,0.505
131,2.1833,0.7675,5.1427,56.7153,9.98,0.500,0.505
132,2.2000,0.7606,5.1228,57.9583,9.99,0.501,0.505
133,2.2167,0.7572,5.1039,59.0069,9.99,0.500,0.505
134,2.2333,0.7518,5.0751,60.2500,9.98,0.500,0.505
135,2.2500,0.7451,5.0303,59.0417,9.99,0.500,0.505
136,2.2667,0.7508,5.0209,58.2639,9.98,0.500,0.505
137,2.2833,0.7357,5.0101,56.1389,9.99,0.500,0.505
138,2.3000,0.7359,4.9340,54.3958,9.99,0.499,0.505
139,2.3167,0.7237,4.9858,53.5139,9.99,0.499,0.505
140,2.3333,0.7169,4.8930,53.8750,9.99,0.500,0.505
141,2.3500,0.7281,4.9112,54.8056,9.98,0.499,0.504
142,2.3667,0.7093,4.8735,56.3264,9.99,0.500,0.506
143,2.3833,0.7129,4.8471,56.7639,9.99,0.499,0.506
144,2.4000,0.7112,4.8214,57.5069,9.99,0.499,0.504
145,2.4167,0.6950,4.8239,56.9514,9.99,0.499,0.505
146,2.4333,0.6978,4.7478,55.0972,9.99,0.499,0.506
147,2.4500,0.6901,4.7756,54.0764,9.99,0.499,0.504
148,2.4667,0.6853,4.7204,51.8819,9.99,0.499,0.505
149,2.4833,0.6864,4.7082,50.0972,9.99,0.498,0.505
150,2.5000,0.6729,4.6724,48.0208,9.99,0.499,0.504
151,2.5167,0.6719,4.6631,47.1944,9.99,0.498,0.505
152,2.5333,0.6633,4.6092,45.2917,9.99,0.498,0.504
153,2.5500,0.6641,4.6190,47.0694,9.99,0.498,0.504
154,2.5667,0.6592,4.5873,48.2778,9.99,0.499,0.504
155,2.5833,0.6438,4.5360,48.6667,9.99,0.497,0.504
156,2.6000,0.6522,4.5335,48.1458,9.98,0.498,0.504
157,2.6167,0.6420,4.4837,46.2639,9.99,0.498,0.503
158,2.6333,0.6350,4.4658,44.6042,9.99,0.498,0.504
159,2.6500,0.6372,4.4346,43.7917,9.99,0.498,0.503
160,2.6667,0.6229,4.4287,45.7361,9.99,0.498,0.504
161,2.6833,0.6336,4.3605,46.5417,9.99,0.498,0.503
162,2.7000,0.6150,4.3797,47.5278,9.99,0.497,0.503
163,2.7167,0.6149,4.3265,48.1736,9.99,0.497,0.503
164,2.7333,0.6101,4.3109,47.6944,9.99,0.498,0.503
165,2.7500,0.6060,4.2811,46.4722,9.99,0.497,0.502
166,2.7667,0.6049,4.2624,45.6389,9.99,0.498,0.503
167,2.7833,0.5923,4.2445,46.7708,9.99,0.498,0.503
168,2.8000,0.5879,4.1860,48.3889,9.99,0.497,0.502
169,2.8167,0.5857,4.1848,50.4097,9.99,0.497,0.502
170,2.8333,0.5885,4.1668,51.8403,9.99,0.498,0.503
171,2.8500,0.5778,4.1238,52.9167,9.99,0.496,0.502
172,2.8667,0.5762,4.1020,53.1319,9.99,0.498,0.502
173,2.8833,0.5737,4.0510,53.1597,9.99,0.497,0.502
174,2.9000,0.5571,4.0372,53.5694,9.99,0.497,0.502
175,2.9167,0.5641,3.9977,52.3403,9.98,0.498,0.500
176,2.9333,0.5609,3.9653,52.1458,9.96,0.497,0.502
177,2.9500,0.5547,3.9245,50.2708,9.92,0.498,0.501
178,2.9667,0.5477,3.8646,48.4792,9.88,0.497,0.501
179,2.9833,0.5554,3.7858,46.3750,9.83,0.497,0.500
180,3.0000,0.5522,3.7859,45.6458,9.75,0.498,0.502
181,3.0167,0.5527,3.7507,43.9583,9.67,0.497,0.500
182,3.0333,0.5665,3.7560,43.9514,9.58,0.496,0.501
183,3.0500,0.5856,3.7110,44.2500,9.47,0.498,0.500
184,3.0667,0.6132,3.7432,45.3056,9.34,0.498,0.500
185,3.0833,0.6279,3.7515,46.6597,9.20,0.497,0.500
186,3.1000,0.6774,3.8113,46.5208,9.03,0.498,0.498
187,3.1167,0.7116,3.8496,47.3333,8.85,0.498,0.498
188,3.1333,0.7830,3.8141,50.4167,8.63,0.497,0.498
189,3.1500,0.8290,3.7729,52.5903,8.39,0.498,0.497
190,3.1667,0.8828,3.4959,52.4444,8.13,0.498,0.497
191,3.1833,0.9161,3.0692,47.4792,7.85,0.499,0.496
192,3.2000,1.2687,3.1162,46.4236,7.55,0.499,0.498
193,3.2167,0.4198,2.9309,47.2917,7.75,0.500,0.500
194,3.2333,0.6125,2.5926,45.3125,7.74,0.500,0.500
195,3.2500,0.3534,2.2298,42.6597,7.62,0.500,0.500
196,3.2667,0.1724,1.8814,39.0972,7.47,0.500,0.500
197,3.2833,0.1118,1.5233,32.8750,7.37,0.500,0.500
198,3.3000,0.0715,1.1951,26.7014,7.30,0.500,0.500
199,3.3167,0.0424,0.8322,18.7014,7.25,0.500,0.500
200,3.3333,0.0302,0.9891,15.8750,7.21,0.500,0.499
201,3.3500,0.0220,0.9425,15.2569,7.18,0.500,0.500
202,3.3667,0.0174,0.6993,11.4514,7.16,0.500,0.499
203,3.3833,0.0136,0.4582,7.5556,7.15,0.500,0.501
204,3.4000,0.0118,0.2961,4.9375,7.13,0.499,0.499
205,3.4167,0.0078,0.1967,3.2361,7.12,0.500,0.502
206,3.4333,0.0080,0.1508,2.4306,7.12,0.500,0.500
207,3.4500,0.0037,0.1140,1.8542,7.11,0.501,0.501
208,3.4667,0.0028,0.0865,1.3958,7.11,0.499,0.499
209,3.4833,0.0021,0.0665,1.0833,7.10,0.496,0.501
210,3.5000,0.0003,0.0501,0.8264,7.10,0.499,0.484
211,3.5167,0.0000,0.0366,0.6597,7.10,0.500,0.500
212,3.5333,0.0000,0.0247,0.4306,7.10,0.500,0.500
213,3.5500,0.0027,0.0142,0.2639,7.10,0.501,0.499
214,3.5667,0.0018,0.0043,0.0903,7.11,0.499,0.498
215,3.5833,0.0023,0.0025,0.0833,7.11,0.502,0.500
216,3.6000,0.0024,0.0068,0.1528,7.11,0.499,0.498
217,3.6167,0.0049,0.0138,0.2222,7.11,0.500,0.501
218,3.6333,0.0042,0.0183,0.3056,7.11,0.500,0.501
219,3.6500,0.0076,0.0259,0.4306,7.12,0.500,0.500
220,3.6667,0.0067,0.0327,0.5347,7.12,0.500,0.501
221,3.6833,0.0095,0.0395,0.6597,7.13,0.500,0.499
222,3.7000,0.0110,0.0486,0.7986,7.14,0.500,0.500
223,3.7167,0.0144,0.0603,0.9931,7.15,0.500,0.500
224,3.7333,0.0137,0.0714,1.1736,7.16,0.500,0.500
225,3.7500,0.0202,0.0867,1.4097,7.18,0.500,0.499
226,3.7667,0.0260,0.1087,1.8194,7.19,0.500,0.502
227,3.7833,0.0350,0.1357,2.2361,7.22,0.500,0.499
228,3.8000,0.3231,0.3933,7.0556,7.25,0.504,0.502
229,3.8167,0.2712,0.5404,9.8681,7.49,0.501,0.506
230,3.8333,0.2881,0.7233,12.7986,7.51,0.501,0.506
231,3.8500,0.3662,0.8813,15.5347,7.68,0.500,0.506
232,3.8667,0.4009,0.9903,17.2708,7.83,0.499,0.503
233,3.8833,0.4095,1.0789,18.1250,7.94,0.497,0.502
234,3.9000,0.4158,1.1570,19.8264,8.03,0.498,0.501
235,3.9167,0.3826,1.2099,20.3472,8.12,0.500,0.498
236,3.9333,0.4047,1.0660,18.1042,8.19,0.497,0.499
237,3.9500,0.3825,1.0161,18.1389,8.26,0.498,0.495
238,3.9667,0.3457,1.0413,18.2639,8.31,0.499,0.496
239,3.9833,0.3465,1.0815,18.5139,8.37,0.499,0.492
240,4.0000,0.3366,1.1228,18.7847,8.41,0.500,0.497
241,4.0167,0.3181,1.0720,18.4653,8.45,0.500,0.500
242,4.0333,0.3240,1.0946,18.7014,8.48,0.498,0.495
243,4.0500,0.2839,1.1662,21.0694,8.52,0.498,0.496
244,4.0667,0.2637,1.2478,21.3958,8.54,0.499,0.496
245,4.0833,0.2491,1.2790,21.4931,8.57,0.499,0.497
246,4.1000,0.2368,1.3187,21.3750,8.59,0.499,0.499
247,4.1167,0.2236,1.3421,22.4514,8.61,0.499,0.500
248,4.1333,0.2271,1.3105,22.7083,8.63,0.499,0.497
249,4.1500,0.2028,1.2581,21.6736,8.64,0.499,0.497
250,4.1667,0.1993,1.2878,22.1250,8.65,0.500,0.500
251,4.1833,0.1820,1.2983,22.1806,8.67,0.500,0.500
252,4.2000,0.1700,1.3084,22.0833,8.67,0.499,0.501
253,4.2167,0.1641,1.2865,21.8125,8.68,0.499,0.503
254,4.2333,0.1557,1.2623,21.2986,8.68,0.499,0.501
255,4.2500,0.1449,1.2373,20.2569,8.68,0.499,0.502
256,4.2667,0.1383,1.1809,19.2222,8.69,0.500,0.504
257,4.2833,0.1281,1.1190,18.3542,8.70,0.499,0.503
258,4.3000,0.1319,1.0647,18.0764,8.70,0.499,0.501
259,4.3167,0.1158,1.0217,17.5833,8.70,0.499,0.500
260,4.3333,0.1117,0.9722,17.0486,8.69,0.499,0.501
261,4.3500,0.1038,0.9239,16.6736,8.70,0.500,0.500
262,4.3667,0.1035,0.8735,16.2014,8.70,0.499,0.497
263,4.3833,0.1043,0.8479,15.6875,8.70,0.500,0.502
264,4.4000,0.0970,0.8120,15.2014,8.70,0.500,0.500
265,4.4167,0.0910,0.7790,14.2083,8.71,0.499,0.504
266,4.4333,0.0939,0.7511,13.1389,8.70,0.500,0.498
267,4.4500,0.0863,0.7374,12.1806,8.70,0.500,0.500
268,4.4667,0.0782,0.7159,11.8611,8.70,0.500,0.503
269,4.4833,0.0780,0.7025,12.0208,8.71,0.499,0.501
270,4.5000,0.0805,0.6790,11.8542,8.70,0.500,0.502
271,4.5167,0.0669,0.6411,11.2014,8.70,0.499,0.499
272,4.5333,0.0698,0.6112,10.5764,8.70,0.501,0.501
273,4.5500,0.0620,0.5815,9.8264,8.71,0.499,0.504
274,4.5667,0.0656,0.5539,9.2986,8.71,0.500,0.500
275,4.5833,0.0581,0.5277,8.7500,8.71,0.501,0.498
276,4.6000,0.0581,0.5149,8.4653,8.70,0.500,0.505
277,4.6167,0.0508,0.4922,8.0694,8.71,0.499,0.499
278,4.6333,0.0527,0.4681,7.6528,8.70,0.498,0.500
279,4.6500,0.0526,0.4564,7.4167,8.71,0.499,0.500
280,4.6667,0.0468,0.4338,7.1944,8.70,0.500,0.505
281,4.6833,0.0445,0.4150,6.9583,8.70,0.499,0.502
282,4.7000,0.0410,0.3904,6.5833,8.70,0.498,0.495
283,4.7167,0.0400,0.3713,6.3958,8.70,0.498,0.499
284,4.7333,0.0343,0.3469,6.0069,8.69,0.501,0.501
285,4.7500,0.0344,0.3312,5.7431,8.70,0.499,0.500
286,4.7667,0.0310,0.3118,5.4444,8.70,0.499,0.502
287,4.7833,0.0316,0.2914,5.1250,8.70,0.498,0.499
288,4.8000,0.0243,0.2701,4.7361,8.69,0.500,0.505
289,4.8167,0.0252,0.2527,4.5069,8.69,0.501,0.508
290,4.8333,0.0239,0.2351,4.2847,8.70,0.499,0.504
291,4.8500,0.0307,0.2173,3.9722,8.69,0.502,0.509
292,4.8667,0.0294,0.2068,3.8681,8.70,0.502,0.510
293,4.8833,0.0421,0.2026,3.8194,8.70,0.501,0.511
294,4.9000,0.0448,0.2114,4.2778,8.70,0.504,0.511
295,4.9167,0.0574,0.2355,4.7014,8.70,0.498,0.502
296,4.9333,0.0655,0.2812,5.5556,8.70,0.500,0.503
297,4.9500,0.0770,0.3409,6.3889,8.70,0.497,0.500
298,4.9667,0.0921,0.4176,7.2500,8.70,0.496,0.499
299,4.9833,0.1004,0.4873,9.0208,8.70,0.496,0.498
300,5.0000,0.1271,0.5795,11.2917,8.70,0.494,0.500
301,5.0167,0.1403,0.6723,13.3056,8.71,0.496,0.500
302,5.0333,0.1583,0.7834,15.2361,8.70,0.497,0.502
303,5.0500,0.1858,0.9098,16.8194,8.71,0.497,0.503
304,5.0667,0.1906,1.0239,18.0625,8.70,0.497,0.504
305,5.0833,0.2237,1.1400,20.1944,8.69,0.494,0.501
306,5.1000,0.2658,1.2477,22.8611,8.70,0.493,0.501
307,5.1167,0.2997,1.3615,24.0069,8.71,0.491,0.498
308,5.1333,0.3367,1.5113,28.0694,8.73,0.490,0.497
309,5.1500,0.3914,1.6545,33.1806,8.75,0.491,0.501
310,5.1667,0.4371,1.7414,36.4653,8.77,0.491,0.503
311,5.1833,0.5256,1.8373,37.2014,8.83,0.490,0.500
312,5.2000,0.6198,1.9245,36.6181,8.93,0.487,0.497
313,5.2167,0.7675,2.0231,39.0556,9.02,0.490,0.503
314,5.2333,0.9094,2.0935,41.5903,9.06,0.488,0.500
315,5.2500,1.1054,2.1410,41.5000,9.09,0.486,0.500
316,5.2667,1.3617,2.2857,42.4444,9.11,0.485,0.500
317,5.2833,1.7394,2.3453,44.2917,9.21,0.486,0.504
318,5.3000,2.1204,2.4803,48.9583,9.36,0.483,0.503
319,5.3167,2.6381,2.8773,56.7083,9.57,0.484,0.503
320,5.3333,2.9984,3.1808,64.1875,9.70,0.483,0.501
321,5.3500,3.0407,3.4434,65.9097,9.85,0.480,0.503
322,5.3667,2.9062,3.6954,71.2014,10.04,0.479,0.505
323,5.3833,2.5854,3.9812,72.3958,10.21,0.478,0.505
324,5.4000,2.3194,4.1163,69.1319,10.39,0.477,0.504
325,5.4167,2.1042,4.1450,68.6875,10.43,0.479,0.506
326,5.4333,1.8893,4.0686,69.2361,10.56,0.476,0.507
327,5.4500,1.6895,3.9608,67.6111,10.63,0.478,0.506
328,5.4667,1.5169,3.8503,60.1111,10.67,0.474,0.507
329,5.4833,1.4265,3.6825,48.8819,10.79,0.479,0.510
330,5.5000,1.3134,3.9082,51.8542,10.91,0.474,0.507
331,5.5167,1.2100,4.0263,62.1042,10.92,0.473,0.508
332,5.5333,1.1482,3.9297,56.2569,10.94,0.477,0.510
333,5.5500,1.0496,3.9001,59.4028,11.00,0.478,0.508
334,5.5667,0.9699,4.0000,59.0278,11.07,0.473,0.508
335,5.5833,0.9185,3.9563,53.3681,11.12,0.472,0.507
336,5.6000,0.8859,4.1136,53.4514,11.16,0.472,0.509
337,5.6167,0.8294,4.2856,56.1389,11.19,0.478,0.509
338,5.6333,0.7412,4.3569,57.7083,11.21,0.475,0.508
339,5.6500,0.6834,4.4588,63.5833,11.22,0.473,0.508
340,5.6667,0.6452,4.5610,69.1944,11.23,0.473,0.508
341,5.6833,0.6288,4.4950,70.1458,11.25,0.474,0.507
342,5.7000,0.5860,4.3757,65.6528,11.29,0.476,0.508
343,5.7167,0.5598,4.2103,59.3056,11.30,0.476,0.510
344,5.7333,0.5144,4.0758,54.8542,11.31,0.477,0.509
