frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0489,0.0489,0.4583,126.71,0.638,0.510
1,0.0333,0.0477,0.0902,1.0764,126.73,0.705,0.472
2,0.0667,0.0533,0.1304,1.6597,126.74,0.694,0.455
3,0.1000,0.1455,0.2505,2.9028,126.72,0.637,0.504
4,0.1333,0.0959,0.3219,4.2014,126.72,0.711,0.466
5,0.1667,0.1209,0.4185,6.2431,126.68,0.717,0.464
6,0.2000,0.1060,0.4766,7.1111,126.65,0.715,0.458
7,0.2333,0.1529,0.5717,8.7500,126.62,0.689,0.469
8,0.2667,0.1718,0.6627,10.4792,126.61,0.719,0.466
9,0.3000,0.1839,0.7622,12.4931,126.53,0.733,0.462
10,0.3333,0.1640,0.8227,13.6319,126.46,0.724,0.449
11,0.3667,0.2108,0.8503,14.0903,126.41,0.715,0.470
12,0.4000,0.2584,0.9352,15.4375,126.36,0.735,0.449
13,0.4333,0.2122,0.9478,14.7847,126.25,0.741,0.443
14,0.4667,0.2911,1.0513,16.3681,126.19,0.743,0.454
15,0.5000,0.3073,1.1452,16.8611,126.05,0.744,0.446
16,0.5333,0.2840,1.1662,16.8125,125.91,0.746,0.436
17,0.5667,0.3495,1.2322,16.3819,125.83,0.760,0.442
18,0.6000,0.3796,1.3784,18.5764,125.69,0.770,0.436
19,0.6333,0.3660,1.4704,20.5208,125.50,0.774,0.425
20,0.6667,0.4440,1.5543,21.8472,125.38,0.764,0.429
21,0.7000,0.4638,1.6966,24.2083,125.21,0.772,0.424
22,0.7333,0.4882,1.8060,25.4097,125.05,0.775,0.419
23,0.7667,0.4872,1.8474,25.5556,124.86,0.787,0.408
24,0.8000,0.5370,2.0221,27.6319,124.74,0.791,0.403
25,0.8333,0.5611,2.0514,27.6319,124.58,0.798,0.394
26,0.8667,0.6222,2.1458,27.7222,124.44,0.793,0.400
27,0.9000,0.6500,2.2167,26.7847,124.20,0.791,0.396
28,0.9333,0.7004,2.2951,26.3333,124.13,0.799,0.389
29,0.9667,0.8998,2.5008,25.9375,123.92,0.748,0.401
30,1.0000,0.8049,2.6016,26.2708,123.61,0.797,0.382
31,1.0333,0.8254,2.6791,25.5347,123.41,0.814,0.369
32,1.0667,0.8045,2.7487,25.8194,123.29,0.825,0.365
33,1.1000,0.8832,2.8734,25.9653,123.11,0.824,0.361
34,1.1333,0.9058,2.9663,26.8056,122.95,0.823,0.357
35,1.1667,0.9002,3.0815,26.2292,122.81,0.821,0.349
36,1.2000,0.9324,3.0908,25.2361,122.59,0.824,0.344
37,1.2333,0.9094,3.0567,23.5972,122.53,0.830,0.342
38,1.2667,0.9372,3.1313,22.7847,122.35,0.833,0.336
39,1.3000,0.9703,3.0997,22.8958,122.25,0.824,0.344
40,1.3333,0.9153,3.0957,23.5486,122.11,0.835,0.329
41,1.3667,0.8953,3.0941,23.1458,122.11,0.838,0.323
42,1.4000,0.9447,3.0611,24.0278,121.96,0.835,0.327
43,1.4333,0.9627,3.0062,23.7153,121.83,0.825,0.322
44,1.4667,0.8969,2.8772,23.3125,121.82,0.830,0.315
