frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0000,0.0000,0.0000,184.00,0.500,0.500
1,0.0334,0.0000,0.0000,0.0000,184.00,0.500,0.500
2,0.0667,0.0000,0.0000,0.0000,184.00,0.500,0.500
3,0.1001,0.0000,0.0000,0.0000,184.00,0.500,0.500
4,0.1335,0.0000,0.0000,0.0000,184.00,0.500,0.500
5,0.1668,0.0000,0.0000,0.0000,184.00,0.500,0.500
6,0.2002,0.0000,0.0000,0.0000,184.00,0.500,0.500
7,0.2336,0.0000,0.0000,0.0000,184.00,0.500,0.500
8,0.2669,0.0000,0.0000,0.0000,184.00,0.500,0.500
9,0.3003,0.0000,0.0000,0.0000,184.00,0.500,0.500
10,0.3337,0.0000,0.0000,0.0000,184.00,0.500,0.500
11,0.3670,0.0248,0.0248,0.9236,184.00,0.493,0.979
12,0.4004,0.0423,0.0296,1.0486,183.98,0.493,0.971
13,0.4338,0.0592,0.0457,1.6250,183.97,0.493,0.949
14,0.4671,0.0977,0.0689,1.6667,183.96,0.492,0.924
15,0.5005,0.1162,0.0473,0.9097,183.94,0.492,0.791
16,0.5339,0.1360,0.0908,2.0208,183.95,0.492,0.499
17,0.5672,0.1723,0.1025,2.0069,183.91,0.492,0.411
18,0.6006,0.1446,0.1011,1.8750,183.91,0.492,0.372
19,0.6340,0.1008,0.1332,2.1528,183.91,0.493,0.352
20,0.6673,0.0341,0.1359,2.1736,183.91,0.492,0.348
21,0.7007,0.0103,0.1570,2.2778,183.91,0.496,0.346
22,0.7341,0.0195,0.1809,2.3125,183.91,0.502,0.369
23,0.7674,0.0349,0.1602,2.2222,183.91,0.500,0.384
24,0.8008,0.0604,0.1905,3.2500,183.91,0.498,0.372
25,0.8342,0.1018,0.1560,3.1111,183.90,0.496,0.374
26,0.8675,0.1428,0.1555,3.2500,183.90,0.497,0.380
27,0.9009,0.1838,0.2116,3.6667,183.89,0.499,0.391
28,0.9343,0.3639,0.3722,6.3889,183.89,0.474,0.510
29,0.9676,0.5031,0.6404,17.5000,183.74,0.463,0.558
30,1.0010,0.5365,0.9499,31.8264,183.47,0.450,0.588
31,1.0344,0.4967,1.3060,38.7639,183.18,0.423,0.614
32,1.0677,0.5086,1.6332,38.5556,182.83,0.378,0.598
33,1.1011,0.5179,1.9105,38.5556,182.53,0.343,0.532
34,1.1345,0.5065,2.1351,38.5556,182.33,0.334,0.441
35,1.1678,0.5353,2.3700,38.5556,182.15,0.349,0.392
36,1.2012,0.6351,2.5407,32.5972,181.99,0.409,0.432
37,1.2346,0.5561,2.4411,29.3889,181.93,0.387,0.418
38,1.2679,0.5933,2.2666,31.4514,181.78,0.402,0.449
39,1.3013,0.6731,2.1727,28.4861,181.70,0.406,0.470
40,1.3347,0.6195,2.1463,23.5972,181.58,0.411,0.470
41,1.3680,0.5689,2.1348,20.5972,181.45,0.416,0.470
42,1.4014,0.5812,2.0260,17.8472,181.36,0.445,0.488
43,1.4348,0.6508,2.0897,20.5833,181.23,0.476,0.498
44,1.4681,0.7609,2.2233,26.5556,181.02,0.513,0.508
45,1.5015,0.6560,2.4361,27.6736,180.71,0.516,0.495
46,1.5349,0.4178,2.4246,26.6597,180.38,0.501,0.485
47,1.5682,0.2374,2.2691,25.7153,180.18,0.463,0.479
48,1.6016,0.3102,2.2815,25.0347,180.10,0.528,0.431
49,1.6350,0.2661,2.1624,27.2778,179.92,0.550,0.422
50,1.6683,0.2107,2.0952,30.1042,179.87,0.574,0.430
51,1.7017,0.3141,1.8459,28.6458,179.87,0.590,0.468
52,1.7351,0.2663,1.4013,18.1181,179.96,0.571,0.484
53,1.7684,0.1756,1.0414,11.2569,179.98,0.553,0.497
54,1.8018,0.1557,1.0800,14.6736,179.99,0.585,0.507
55,1.8352,0.1263,1.0127,16.2292,180.00,0.625,0.514
56,1.8685,0.0806,0.8998,15.3750,180.00,0.602,0.328
57,1.9019,0.0825,0.7137,14.7083,180.00,0.563,0.406
58,1.9353,0.0747,0.6472,13.7153,180.00,0.548,0.434
59,1.9686,0.0340,0.5290,10.8681,180.00,0.586,0.355
60,2.0020,0.0473,0.3899,6.6042,180.00,0.521,0.483
61,2.0354,0.0363,0.3279,5.3889,180.00,0.520,0.500
62,2.0687,0.0175,0.2682,6.0417,180.00,0.519,0.491
63,2.1021,0.0089,0.1589,5.4583,180.00,0.519,0.490
64,2.1355,0.0051,0.1133,3.3125,180.00,0.571,0.468
65,2.1688,0.0014,0.1177,2.2014,180.00,0.582,0.523
66,2.2022,0.0001,0.1202,4.0208,180.00,0.291,0.324
67,2.2356,0.0001,0.1005,4.3056,180.00,0.291,0.324
68,2.2689,0.0008,0.0635,2.6736,180.00,0.597,0.447
69,2.3023,0.0007,0.0295,1.1875,180.00,0.581,0.432
70,2.3357,0.0001,0.0128,0.4653,180.00,0.291,0.324
71,2.3690,0.0001,0.0042,0.1111,180.00,0.291,0.324
72,2.4024,0.0007,0.0009,0.0417,180.00,0.581,0.432
73,2.4358,0.0007,0.0001,0.0069,180.00,0.581,0.432
74,2.4691,0.0001,0.0001,0.0069,180.00,0.291,0.324
75,2.5025,0.0001,0.0001,0.0069,180.00,0.291,0.324
76,2.5359,0.0007,0.0000,0.0000,180.00,0.581,0.432
77,2.5692,0.0007,0.0000,0.0000,180.00,0.581,0.432
78,2.6026,0.0001,0.0000,0.0000,180.00,0.291,0.324
79,2.6360,0.0001,0.0000,0.0000,180.00,0.291,0.324
80,2.6693,0.0007,0.0000,0.0000,180.00,0.581,0.432
