frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0267,0.0267,0.2083,59.50,0.491,0.562
1,0.0417,0.0171,0.0430,0.4028,59.51,0.478,0.577
2,0.0833,0.0203,0.0585,0.5764,59.51,0.482,0.575
3,0.1250,0.0180,0.0693,0.6806,59.51,0.490,0.606
4,0.1667,0.0266,0.0911,0.8056,59.51,0.464,0.515
5,0.2083,0.0202,0.1029,0.9375,59.51,0.492,0.581
6,0.2500,0.0217,0.1165,1.1736,59.51,0.483,0.550
7,0.2917,0.0234,0.1339,1.4236,59.50,0.479,0.572
8,0.3333,0.0192,0.1336,1.5764,59.51,0.481,0.586
9,0.3750,0.0188,0.1361,1.6667,59.51,0.499,0.563
10,0.4167,0.0204,0.1373,1.6181,59.51,0.479,0.596
11,0.4583,0.0218,0.1374,1.5347,59.50,0.463,0.592
12,0.5000,0.0208,0.1288,1.3542,59.51,0.496,0.556
13,0.5417,0.0199,0.1300,1.1667,59.51,0.471,0.577
14,0.5833,0.0230,0.1311,1.2153,59.51,0.522,0.584
15,0.6250,0.0276,0.1372,1.2361,59.51,0.470,0.601
16,0.6667,0.0208,0.1373,1.1944,59.51,0.481,0.582
17,0.7083,0.0191,0.1389,1.2083,59.51,0.452,0.605
18,0.7500,13.1187,13.1126,103.0903,59.51,0.503,0.382
19,0.7917,0.3109,13.3594,103.0903,47.00,0.253,0.321
20,0.8333,1.2678,14.1636,103.0903,47.26,0.208,0.407
21,0.8750,1.9854,14.9397,103.0903,48.24,0.191,0.492
22,0.9167,2.6832,16.0323,103.0903,49.15,0.201,0.519
23,0.9583,3.1684,16.2129,103.1042,50.34,0.207,0.557
24,1.0000,3.3430,16.8078,103.1042,50.55,0.240,0.559
25,1.0417,3.7046,16.9014,103.1042,51.29,0.253,0.578
26,1.0833,3.4366,5.2182,34.7639,51.75,0.270,0.584
27,1.1250,3.4334,5.4891,43.6806,52.02,0.279,0.595
28,1.1667,3.4261,5.7193,45.3611,52.21,0.292,0.604
29,1.2083,3.3962,5.9528,34.9236,52.38,0.303,0.614
30,1.2500,3.5021,6.1582,35.5903,52.66,0.310,0.599
31,1.2917,3.2922,6.3580,46.5972,53.19,0.298,0.618
