frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,4.3851,4.3851,27.0417,97.89,0.424,0.722
1,0.0333,3.8745,7.4171,38.4792,96.38,0.425,0.688
2,0.0667,3.7657,9.7633,43.1181,94.86,0.416,0.674
3,0.1000,4.0609,11.8730,67.0417,93.72,0.411,0.705
4,0.1333,4.2577,13.6828,76.3333,92.33,0.443,0.683
5,0.1667,3.7976,15.0734,78.6944,92.15,0.460,0.686
6,0.2000,3.1112,16.2703,80.7292,91.37,0.496,0.630
7,0.2333,2.5095,17.2395,82.4375,90.99,0.482,0.589
8,0.2667,2.4478,16.2241,74.7222,90.45,0.450,0.602
9,0.3000,2.5010,15.2202,61.9931,90.29,0.444,0.606
10,0.3333,2.2544,14.0118,61.3958,89.79,0.431,0.596
11,0.3667,2.3044,12.6175,61.2431,89.52,0.431,0.609
12,0.4000,2.6410,11.7180,59.8056,89.07,0.416,0.641
13,0.4333,2.8902,11.8785,59.8264,88.88,0.415,0.648
14,0.4667,3.0662,11.9958,58.4653,88.29,0.413,0.628
15,0.5000,3.1508,12.7586,56.7292,87.84,0.428,0.599
16,0.5333,3.1474,13.2684,54.8889,87.02,0.438,0.567
17,0.5667,3.3849,13.9525,58.3472,86.53,0.451,0.539
18,0.6000,3.7538,14.5497,62.7708,85.80,0.469,0.547
19,0.6333,4.3696,15.6164,64.3819,85.38,0.498,0.596
20,0.6667,3.8504,16.1598,59.4653,84.76,0.500,0.569
21,0.7000,2.9398,16.4564,56.0972,84.53,0.536,0.526
22,0.7333,2.7372,16.5289,54.7361,84.12,0.569,0.527
23,0.7667,2.8376,16.3510,52.7708,84.08,0.570,0.512
24,0.8000,2.8197,15.5915,49.5556,83.75,0.554,0.494
25,0.8333,2.6647,14.6994,43.9028,84.33,0.529,0.490
26,0.8667,2.4526,14.0089,44.7222,84.59,0.523,0.512
27,0.9000,2.2934,13.2125,46.8681,85.14,0.533,0.500
28,0.9333,2.3577,12.3678,43.5278,85.36,0.513,0.513
29,0.9667,1.4903,11.7815,38.8819,86.64,0.501,0.557
30,1.0000,1.4389,10.8489,32.8194,87.00,0.482,0.526
31,1.0333,1.4072,9.5850,28.8194,87.49,0.492,0.449
32,1.0667,1.4880,7.6942,24.7500,87.33,0.496,0.473
33,1.1000,1.2362,6.5978,20.3333,87.62,0.492,0.469
34,1.1333,1.3875,6.3849,19.9722,87.63,0.513,0.609
35,1.1667,1.3625,7.0065,21.1875,87.87,0.529,0.584
36,1.2000,1.7058,7.0653,21.1944,87.82,0.504,0.569
37,1.2333,1.6096,7.2996,24.2847,88.58,0.493,0.573
38,1.2667,1.8236,7.0011,27.7569,89.01,0.490,0.583
39,1.3000,1.6835,7.3218,27.9931,89.63,0.475,0.576
40,1.3333,1.4105,7.9727,28.0903,89.92,0.472,0.590
41,1.3667,1.3115,8.7025,29.5208,90.58,0.470,0.583
42,1.4000,1.1173,8.7680,28.7986,90.94,0.479,0.568
43,1.4333,1.1077,8.8583,29.4861,91.31,0.492,0.536
44,1.4667,1.4035,8.4423,27.5417,91.30,0.476,0.567
45,1.5000,1.2625,7.9958,29.8958,91.85,0.456,0.617
46,1.5333,1.0610,7.3547,28.4444,92.10,0.465,0.565
47,1.5667,1.0129,6.9997,25.3611,92.43,0.462,0.539
48,1.6000,1.0292,6.5817,25.7431,92.36,0.484,0.548
49,1.6333,1.0560,6.3058,28.4028,92.79,0.471,0.552
50,1.6667,1.2263,6.1312,31.1458,92.88,0.487,0.544
51,1.7000,1.2208,6.3797,33.7778,93.10,0.482,0.487
52,1.7333,1.1758,6.2439,35.2292,92.89,0.482,0.441
