frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.5380,0.5380,1.1458,174.91,0.454,0.510
1,0.0334,0.3458,0.8712,1.9375,175.26,0.487,0.377
2,0.0667,0.3997,1.2536,2.8056,175.16,0.493,0.453
3,0.1001,0.3800,1.6169,4.1944,175.29,0.498,0.385
4,0.1335,0.5239,2.1149,4.9375,175.06,0.451,0.498
5,0.1668,0.3848,2.4797,6.0833,175.33,0.522,0.387
6,0.2002,6.3892,7.8383,34.0486,175.18,0.478,0.501
7,0.2336,0.2792,8.0483,34.9514,172.26,0.484,0.460
8,0.2669,0.6968,8.0166,35.2292,172.26,0.469,0.509
9,0.3003,0.3952,8.0345,35.5208,172.73,0.502,0.459
10,0.3337,0.5707,8.1131,35.9931,172.73,0.497,0.485
11,0.3670,0.3627,8.1173,36.4514,172.96,0.485,0.429
12,0.4004,0.7289,8.1114,37.0347,172.82,0.482,0.502
13,0.4338,0.4027,8.1146,37.6042,173.31,0.511,0.456
14,0.4671,0.5662,3.8512,10.6806,173.30,0.497,0.483
15,0.5005,0.3549,3.9257,11.0347,173.52,0.487,0.464
16,0.5339,0.7285,3.9526,10.9931,173.37,0.489,0.498
17,0.5672,0.3583,3.9161,10.9236,173.88,0.502,0.471
18,0.6006,0.5579,3.9107,10.8889,173.83,0.494,0.488
19,0.6340,0.3327,3.8911,10.7222,174.07,0.507,0.467
20,0.6673,0.7039,3.8530,10.4444,173.88,0.483,0.492
21,0.7007,0.3503,3.7943,10.3403,174.37,0.497,0.480
22,0.7341,0.5509,3.7798,10.4514,174.30,0.489,0.497
23,0.7674,0.4100,3.8067,10.9097,174.55,0.529,0.475
24,0.8008,0.8209,3.8574,11.9514,174.33,0.481,0.477
25,0.8342,0.4552,3.9096,13.4861,174.90,0.517,0.483
26,0.8675,0.7897,3.9383,15.5069,174.86,0.499,0.471
27,0.9009,0.7595,4.0448,14.8472,175.11,0.518,0.492
28,0.9343,1.1493,4.0966,13.6181,174.93,0.495,0.474
29,0.9676,0.8006,4.1107,12.3681,175.45,0.510,0.497
30,1.0010,0.9973,4.0846,12.5417,175.31,0.492,0.477
31,1.0344,1.0460,4.4270,19.8403,175.46,0.512,0.510
32,1.0677,1.5716,4.5764,24.9514,175.45,0.507,0.478
33,1.1011,1.4912,4.8947,28.4306,176.01,0.507,0.504
