frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0157,0.0157,0.1736,157.24,0.627,0.531
1,0.0333,0.0085,0.0136,0.1875,157.24,0.553,0.387
2,0.0667,0.0071,0.0187,0.1944,157.24,0.491,0.731
3,0.1000,0.0009,0.0184,0.1944,157.24,0.254,0.738
4,0.1333,0.0022,0.0182,0.2083,157.24,0.521,0.801
5,0.1667,0.0038,0.0186,0.1944,157.24,0.392,0.758
6,0.2000,0.0012,0.0195,0.2014,157.24,0.525,0.625
7,0.2333,0.0002,0.0193,0.2014,157.24,0.543,0.437
8,0.2667,0.0454,0.0602,1.4931,157.24,0.500,0.983
9,0.3000,0.1183,0.0789,1.6667,157.25,0.501,0.925
10,0.3333,0.1640,0.0967,2.1319,157.21,0.500,0.806
11,0.3667,0.2657,0.1923,2.8819,157.18,0.500,0.636
12,0.4000,0.5698,0.5461,10.1944,157.10,0.500,0.533
13,0.4333,1.0690,1.0664,18.7569,156.74,0.500,0.494
14,0.4667,1.9066,2.4490,39.0764,156.22,0.500,0.486
15,0.5000,2.5715,4.5492,69.2500,154.85,0.499,0.484
16,0.5333,3.4525,7.4947,102.4722,152.76,0.500,0.481
17,0.5667,4.4470,11.0780,125.2083,149.91,0.499,0.473
18,0.6000,5.3753,15.0383,131.7153,146.41,0.500,0.465
19,0.6333,5.8766,19.3788,137.4514,142.40,0.500,0.461
20,0.6667,5.9639,23.6431,131.2708,138.11,0.500,0.464
21,0.7000,5.5317,27.7579,133.7500,133.61,0.500,0.470
22,0.7333,5.0171,30.8867,131.9514,129.12,0.500,0.480
23,0.7667,4.4413,33.1044,127.1736,124.87,0.501,0.480
24,0.8000,4.2370,34.5742,122.1875,121.07,0.501,0.465
25,0.8333,3.6742,34.8330,122.5208,117.96,0.503,0.462
26,0.8667,3.1211,32.0627,110.7847,115.62,0.500,0.446
27,0.9000,2.5598,27.3021,101.4861,114.20,0.501,0.434
28,0.9333,2.7168,22.3595,99.0556,113.57,0.498,0.440
29,0.9667,4.0335,17.3848,91.5972,114.21,0.499,0.454
30,1.0000,7.0926,14.2527,64.5694,116.67,0.500,0.476
31,1.0333,13.3409,18.6780,108.6736,122.38,0.500,0.482
32,1.0667,17.0174,34.2676,121.3611,133.89,0.500,0.483
33,1.1000,7.6854,40.3249,131.3194,147.99,0.500,0.488
34,1.1333,2.4804,42.9534,133.7778,154.01,0.504,0.497
35,1.1667,2.2836,43.8069,135.5833,155.56,0.488,0.502
36,1.2000,1.8414,42.9366,136.2847,156.11,0.474,0.502
37,1.2333,1.5259,41.0692,134.2014,156.47,0.462,0.501
38,1.2667,1.5541,35.5994,133.9583,156.46,0.455,0.503
39,1.3000,1.7469,24.2026,133.5347,156.45,0.452,0.503
40,1.3333,1.7811,9.7613,112.3819,156.28,0.456,0.502
41,1.3667,1.5967,3.4052,52.2014,156.42,0.464,0.503
42,1.4000,1.5617,1.7910,29.5000,156.34,0.476,0.504
43,1.4333,3.4554,2.8758,21.3125,156.29,0.493,0.493
44,1.4667,2.5461,2.8461,15.7986,158.03,0.396,0.499
45,1.5000,6.3968,6.5829,94.3889,158.17,0.220,0.483
46,1.5333,32.0539,35.6725,140.3403,154.63,0.196,0.499
47,1.5667,38.0741,70.5597,139.5208,124.43,0.413,0.504
48,1.6000,30.3887,94.5858,141.8472,88.00,0.633,0.498
49,1.6333,36.4761,107.6482,143.9583,65.48,0.635,0.440
50,1.6667,37.7418,110.4623,133.8125,58.73,0.583,0.472
51,1.7000,30.4960,111.3044,141.0139,60.31,0.542,0.524
52,1.7333,29.5420,111.2790,140.2500,63.21,0.513,0.496
53,1.7667,33.3121,106.5998,137.7986,64.99,0.501,0.498
54,1.8000,35.4911,88.8341,140.9653,64.38,0.500,0.500
55,1.8333,39.0671,65.5067,135.4028,61.21,0.500,0.501
56,1.8667,38.2923,60.7507,129.0139,61.22,0.500,0.520
57,1.9000,38.3188,51.5849,126.1528,58.08,0.500,0.500
58,1.9333,36.1828,45.0587,118.7500,56.28,0.500,0.500
59,1.9667,30.6590,49.4339,103.9653,52.45,0.500,0.503
60,2.0000,22.9677,51.8837,120.2222,49.07,0.500,0.499
61,2.0333,16.9599,49.6619,117.1667,47.03,0.500,0.487
62,2.0667,13.5515,45.1041,97.0764,45.47,0.500,0.499
63,2.1000,10.8761,44.0394,113.5556,44.27,0.500,0.502
64,2.1333,8.9929,40.0017,102.8472,43.23,0.500,0.502
65,2.1667,7.5074,36.6076,115.1319,42.52,0.500,0.502
66,2.2000,6.2344,29.7466,90.4792,41.90,0.500,0.500
67,2.2333,5.2686,25.5745,88.6875,41.31,0.500,0.504
68,2.2667,4.5519,23.2169,119.0694,40.92,0.500,0.506
69,2.3000,3.8244,18.9725,96.4167,40.47,0.500,0.501
70,2.3333,3.3513,16.0675,69.5347,40.12,0.500,0.506
71,2.3667,2.8755,14.2696,57.0764,39.76,0.500,0.499
72,2.4000,2.4970,14.0503,65.3472,39.50,0.500,0.501
73,2.4333,2.1060,14.3139,72.9028,39.30,0.500,0.499
74,2.4667,1.8309,14.2905,80.7361,39.05,0.502,0.506
75,2.5000,1.5825,13.9588,84.1806,38.96,0.500,0.511
76,2.5333,1.3256,13.1488,80.5694,38.79,0.501,0.508
77,2.5667,1.1514,12.1263,75.4722,38.69,0.503,0.505
78,2.6000,0.9281,11.2028,69.7222,38.52,0.501,0.501
79,2.6333,0.7697,10.0992,61.6944,38.49,0.500,0.500
80,2.6667,0.5663,8.9745,54.5903,38.39,0.499,0.498
81,2.7000,0.4775,7.8224,52.0069,38.36,0.503,0.494
82,2.7333,0.2707,6.6246,47.5208,38.27,0.501,0.509
83,2.7667,0.2395,5.4298,41.1181,38.28,0.496,0.499
84,2.8000,0.0356,4.2294,33.0764,38.24,0.507,0.521
85,2.8333,0.0458,3.1674,25.1458,38.24,0.504,0.536
