frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,55.3108,55.3108,145.6667,164.99,0.454,0.560
1,0.0167,17.7822,60.5086,152.5208,174.21,0.441,0.549
2,0.0333,12.6031,62.2176,161.0903,174.79,0.460,0.544
3,0.0500,11.1899,63.1325,185.0556,175.75,0.441,0.534
4,0.0667,9.4442,64.2495,202.2014,177.92,0.432,0.534
5,0.0833,8.0642,65.6789,205.0903,179.96,0.429,0.532
6,0.1000,6.9079,66.8084,197.4931,181.71,0.433,0.531
7,0.1167,6.3175,67.6517,191.9444,183.20,0.458,0.533
8,0.1333,5.4771,53.3528,174.9306,184.70,0.466,0.533
9,0.1500,5.0403,49.9827,190.6389,186.02,0.455,0.532
10,0.1667,4.5074,45.4877,179.1042,187.22,0.464,0.531
11,0.1833,4.0920,40.6292,159.1806,188.31,0.456,0.532
12,0.2000,3.7652,36.4469,142.5000,189.30,0.462,0.530
13,0.2167,3.4181,33.2016,127.9653,190.15,0.460,0.532
14,0.2333,3.1963,30.2587,114.0139,191.00,0.460,0.530
15,0.2500,3.0163,27.5994,104.5139,191.76,0.460,0.529
16,0.2667,2.7467,25.3812,104.7500,192.48,0.468,0.532
17,0.2833,39.9423,38.9657,160.5903,193.11,0.422,0.514
18,0.3000,32.6753,43.6042,169.3750,192.53,0.485,0.538
19,0.3167,8.9660,42.5164,156.2292,203.26,0.501,0.532
20,0.3333,6.0248,41.1549,146.5694,205.73,0.506,0.532
21,0.3500,4.6883,40.1595,141.2083,207.35,0.504,0.532
22,0.3667,3.7440,39.1257,138.9792,208.57,0.499,0.530
23,0.3833,3.1956,38.4654,136.5000,209.57,0.504,0.530
24,0.4000,2.7307,37.6386,135.6250,210.41,0.501,0.529
25,0.4167,2.4539,41.2237,151.3472,211.13,0.504,0.530
26,0.4333,2.1664,26.8644,153.2917,211.77,0.502,0.528
27,0.4500,1.9430,22.2934,134.9792,212.33,0.499,0.529
28,0.4667,1.8346,19.1600,121.4167,212.83,0.506,0.529
29,0.4833,1.6618,16.9109,111.4306,213.30,0.505,0.528
