frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0152,0.0152,0.4583,244.11,0.499,0.630
1,0.0167,0.0235,0.0387,1.2222,244.09,0.500,0.653
2,0.0333,0.0523,0.0873,2.9722,244.07,0.508,0.645
3,0.0500,0.3510,0.4360,5.1181,244.02,0.503,0.527
4,0.0667,0.2708,0.6747,8.2986,243.91,0.507,0.546
5,0.0833,0.2218,0.8626,12.1458,243.79,0.504,0.563
6,0.1000,0.2271,1.0878,16.7500,243.67,0.512,0.577
7,0.1167,0.2706,1.3406,21.8681,243.51,0.509,0.585
8,0.1333,0.3262,1.6392,26.5347,243.33,0.504,0.594
9,0.1500,0.3331,1.9156,29.8611,243.08,0.516,0.599
10,0.1667,0.4310,2.2049,33.5208,242.81,0.509,0.607
11,0.1833,0.5189,2.4150,38.4583,242.51,0.512,0.623
12,0.2000,0.6165,2.7265,44.0000,242.05,0.512,0.624
13,0.2167,0.7795,3.2371,51.2292,241.56,0.510,0.619
14,0.2333,1.0341,3.9653,62.1250,240.88,0.511,0.624
15,0.2500,1.2631,4.8324,77.1875,240.01,0.508,0.632
16,0.2667,1.4362,5.8933,98.7500,238.94,0.510,0.645
17,0.2833,1.4234,6.7416,119.2083,237.66,0.511,0.648
18,0.3000,1.1523,7.3571,115.1528,236.55,0.517,0.647
19,0.3167,0.9719,7.7708,108.4236,235.63,0.511,0.653
20,0.3333,0.8217,7.8695,99.9722,234.89,0.509,0.669
21,0.3500,0.6812,7.7584,90.9792,234.36,0.510,0.671
22,0.3667,0.6783,7.3945,77.5208,233.91,0.503,0.675
23,0.3833,2.7103,8.9035,76.9028,233.53,0.492,0.304
24,0.4000,1.5583,8.1118,83.3403,231.02,0.489,0.364
25,0.4167,0.9674,7.3424,87.7222,230.77,0.489,0.411
26,0.4333,0.8326,6.7833,76.2778,230.49,0.493,0.436
27,0.4500,0.7050,6.3005,72.8958,230.25,0.492,0.427
28,0.4667,0.6530,5.8474,72.1389,230.01,0.496,0.436
29,0.4833,0.6126,5.5595,72.1181,229.91,0.497,0.452
30,0.5000,0.5335,5.2739,71.9444,229.71,0.496,0.455
31,0.5167,0.5000,5.2645,78.5278,229.54,0.495,0.453
32,0.5333,2.0016,6.1439,78.4028,229.32,0.460,0.335
33,0.5500,1.1731,5.7030,76.0347,227.71,0.464,0.346
34,0.5667,0.7799,5.4214,73.6389,227.55,0.474,0.383
35,0.5833,0.6773,5.2006,72.1806,227.45,0.475,0.396
36,0.6000,0.5983,4.9252,70.3333,227.27,0.477,0.397
37,0.6167,0.5214,4.6354,68.7639,227.23,0.476,0.391
38,0.6333,0.4926,4.4350,67.2153,227.15,0.478,0.383
39,0.6500,0.4460,4.2521,66.0000,227.11,0.476,0.409
40,0.6667,0.3946,4.0522,66.0903,226.98,0.479,0.399
41,0.6833,0.3684,3.6592,55.0556,226.97,0.477,0.399
42,0.7000,0.3536,3.3388,48.5208,226.87,0.479,0.407
43,0.7167,0.3336,3.0373,41.6875,226.86,0.478,0.398
44,0.7333,0.3174,2.7959,38.0833,226.76,0.475,0.404
45,0.7500,0.2737,2.6241,35.8194,226.78,0.480,0.386
46,0.7667,0.2625,2.4265,33.4306,226.71,0.477,0.394
47,0.7833,0.2662,2.2882,31.5625,226.70,0.479,0.390
48,0.8000,0.2367,2.1404,29.8125,226.62,0.483,0.389
49,0.8167,0.2233,2.0552,28.2222,226.65,0.484,0.382
50,0.8333,0.1933,1.9161,26.9861,226.60,0.478,0.375
51,0.8500,0.1979,1.7961,25.7431,226.59,0.475,0.388
52,0.8667,0.1814,1.6615,24.2569,226.52,0.482,0.381
53,0.8833,0.1745,1.5545,23.4444,226.56,0.486,0.393
54,0.9000,0.1506,1.4398,22.2222,226.52,0.482,0.380
55,0.9167,0.1660,1.3444,21.3403,226.52,0.482,0.395
56,0.9333,0.1530,1.2577,20.2014,226.45,0.480,0.422
57,0.9500,0.1208,1.1517,19.5903,226.50,0.476,0.360
58,0.9667,0.1207,1.0711,18.6528,226.49,0.480,0.393
59,0.9833,0.1353,1.0141,18.0278,226.51,0.481,0.375
60,1.0000,0.1253,0.9489,17.0694,226.47,0.483,0.436
61,1.0167,0.0991,0.9006,16.0486,226.52,0.480,0.364
62,1.0333,0.0983,0.8618,15.0000,226.51,0.485,0.422
63,1.0500,0.1080,0.8232,13.8264,226.54,0.489,0.428
64,1.0667,0.1323,0.8073,12.9583,226.50,0.492,0.448
65,1.0833,0.1042,0.8022,12.0417,226.56,0.478,0.447
66,1.1000,0.0751,0.7534,11.1042,226.58,0.486,0.382
67,1.1167,0.0821,0.7199,10.1806,226.59,0.486,0.417
68,1.1333,0.0802,0.6663,9.4167,226.57,0.496,0.466
69,1.1500,0.0707,0.6302,8.5833,226.61,0.502,0.436
70,1.1667,0.0738,0.6070,7.8264,226.59,0.498,0.430
71,1.1833,0.0873,0.5879,7.2292,226.61,0.490,0.534
72,1.2000,0.0792,0.5413,6.5625,226.57,0.492,0.469
73,1.2167,0.0640,0.4782,5.9306,226.61,0.544,0.494
74,1.2333,0.0742,0.4817,5.4375,226.62,0.580,0.581
75,1.2500,0.1742,0.5763,8.1528,226.63,0.786,0.829
76,1.2667,0.3130,0.7939,22.3472,226.49,0.842,0.875
77,1.2833,0.8456,1.4967,48.5972,226.27,0.867,0.949
78,1.3000,1.2688,2.4252,71.5000,225.59,0.851,0.935
79,1.3167,2.0923,2.8992,88.1389,224.63,0.858,0.938
80,1.3333,2.6671,3.1483,96.0208,224.15,0.829,0.919
81,1.3500,2.8827,3.2209,65.3958,223.86,0.802,0.892
82,1.3667,2.7206,3.2262,79.8403,223.81,0.776,0.862
83,1.3833,2.5163,3.3151,82.2708,223.79,0.752,0.834
84,1.4000,2.3268,3.4825,93.8819,223.81,0.731,0.805
85,1.4167,2.1597,4.0966,84.0069,223.83,0.714,0.783
86,1.4333,1.9055,4.9010,71.4444,223.95,0.701,0.762
87,1.4500,1.6667,5.2863,88.1111,224.08,0.690,0.745
88,1.4667,1.5304,5.4448,95.9931,224.29,0.676,0.728
89,1.4833,1.3176,5.3957,87.4583,224.43,0.673,0.717
90,1.5000,1.2184,5.2824,90.4306,224.58,0.664,0.704
91,1.5167,1.1099,5.1419,90.0486,224.77,0.654,0.693
92,1.5333,1.0442,4.9309,92.3056,224.88,0.644,0.682
93,1.5500,0.9742,4.6548,95.6806,225.07,0.637,0.675
94,1.5667,0.9041,4.2784,95.8125,225.22,0.629,0.666
95,1.5833,0.8375,3.8826,95.8264,225.38,0.622,0.657
96,1.6000,0.7815,3.4855,92.8264,225.46,0.615,0.656
97,1.6167,0.6824,3.2276,87.9097,225.60,0.614,0.649
98,1.6333,0.6578,3.0307,81.9167,225.68,0.609,0.644
99,1.6500,0.6084,2.9103,79.6667,225.78,0.602,0.636
100,1.6667,0.5576,2.7048,71.6181,225.83,0.598,0.634
101,1.6833,0.5260,2.5275,60.1319,225.92,0.596,0.634
102,1.7000,0.4710,2.3626,50.8194,225.99,0.593,0.627
103,1.7167,0.4397,2.2120,43.0764,226.06,0.586,0.613
104,1.7333,0.4175,2.1053,37.1042,226.08,0.584,0.611
105,1.7500,0.3877,2.0792,35.7778,226.17,0.582,0.606
106,1.7667,0.3525,2.0683,37.2153,226.20,0.580,0.610
107,1.7833,0.3349,1.9931,37.8125,226.26,0.574,0.600
108,1.8000,0.3014,1.9313,36.1181,226.25,0.575,0.608
109,1.8167,0.2692,1.9353,35.9444,226.30,0.572,0.604
110,1.8333,0.2508,1.9219,38.9792,226.32,0.571,0.600
111,1.8500,0.2285,1.8231,37.9514,226.34,0.567,0.597
112,1.8667,0.3032,1.7502,36.1389,226.33,0.545,0.574
113,1.8833,0.2109,1.6611,33.4028,226.45,0.558,0.597
114,1.9000,0.2235,1.6122,31.2639,226.47,0.549,0.585
115,1.9167,0.2106,1.5973,29.7917,226.53,0.546,0.556
116,1.9333,0.2601,1.6209,28.3819,226.49,0.531,0.580
117,1.9500,0.1630,1.5867,27.5625,226.64,0.546,0.583
118,1.9667,0.1770,1.5500,25.8819,226.70,0.535,0.573
119,1.9833,0.1357,1.4918,23.5903,226.80,0.551,0.580
120,2.0000,0.2358,1.3875,20.6736,226.82,0.522,0.552
121,2.0167,0.1512,1.3110,17.7708,227.00,0.543,0.551
122,2.0333,0.2318,1.2728,15.1597,227.06,0.532,0.544
123,2.0500,0.2208,1.2932,14.4792,227.18,0.540,0.555
124,2.0667,0.4601,1.4548,15.1181,227.22,0.525,0.535
125,2.0833,0.4273,1.6768,16.4167,227.47,0.527,0.525
126,2.1000,0.5294,1.9873,17.8681,227.57,0.529,0.514
127,2.1167,0.6871,2.4655,21.3750,227.72,0.527,0.515
128,2.1333,1.1336,3.2526,37.4514,227.76,0.534,0.525
129,2.1500,0.9030,3.8567,37.6944,228.23,0.503,0.481
130,2.1667,1.2941,4.5377,39.2153,228.09,0.506,0.477
131,2.1833,1.2043,5.2414,49.9583,227.79,0.495,0.436
132,2.2000,1.2029,5.7330,57.9375,227.55,0.488,0.439
133,2.2167,0.9378,6.1632,63.7292,227.53,0.494,0.451
134,2.2333,0.7030,6.3987,67.5208,227.44,0.486,0.433
135,2.2500,0.5731,6.5093,70.8958,227.44,0.493,0.447
136,2.2667,0.4708,6.2708,71.8403,227.32,0.497,0.453
137,2.2833,0.4102,6.0406,69.5556,227.46,0.492,0.476
138,2.3000,0.3812,5.2377,62.1528,227.49,0.495,0.456
139,2.3167,0.9569,4.9118,50.2708,227.58,0.502,0.529
140,2.3333,1.0393,4.6687,40.2292,228.36,0.498,0.545
141,2.3500,0.8983,4.7362,33.6042,229.25,0.500,0.534
142,2.3667,0.9134,5.0180,32.8681,230.04,0.497,0.547
143,2.3833,0.8802,5.4382,39.2778,230.87,0.501,0.534
144,2.4000,0.8124,5.7637,42.5833,231.54,0.500,0.541
145,2.4167,0.6982,6.1077,47.7014,232.29,0.499,0.548
146,2.4333,0.6659,6.4771,52.8403,232.92,0.498,0.561
147,2.4500,0.5722,6.1251,49.5903,233.58,0.497,0.560
148,2.4667,0.6223,5.7235,46.6597,234.11,0.494,0.580
149,2.4833,0.5139,5.3714,43.5417,234.73,0.493,0.572
150,2.5000,0.5534,5.0431,40.0903,235.22,0.494,0.577
151,2.5167,0.4404,4.7335,36.5972,235.78,0.494,0.576
152,2.5333,0.5640,4.3942,38.0000,236.20,0.494,0.555
153,2.5500,0.5488,4.1092,39.9792,236.64,0.492,0.549
154,2.5667,0.5388,3.8217,41.3681,236.97,0.491,0.540
155,2.5833,0.5253,3.8391,42.7361,237.32,0.493,0.535
156,2.6000,0.4979,3.7390,40.0000,237.53,0.495,0.529
157,2.6167,0.5078,3.6106,36.7500,237.49,0.498,0.527
158,2.6333,0.4831,3.5047,32.4861,237.28,0.498,0.509
159,2.6500,0.5337,3.4652,28.3819,237.11,0.498,0.523
160,2.6667,0.4883,3.2293,24.1597,236.81,0.497,0.539
161,2.6833,0.5370,3.1838,25.6250,236.46,0.492,0.530
162,2.7000,0.5164,3.2950,26.7431,236.04,0.495,0.526
163,2.7167,0.5146,3.4022,27.1736,235.60,0.493,0.526
164,2.7333,0.5217,3.4423,26.3542,235.14,0.495,0.531
165,2.7500,0.5536,3.4486,28.0278,234.64,0.496,0.533
166,2.7667,0.5040,3.4823,29.8194,234.14,0.497,0.520
167,2.7833,0.4907,3.5742,32.8819,233.76,0.498,0.539
168,2.8000,0.4125,3.6059,35.6597,233.31,0.495,0.568
169,2.8167,0.4431,3.6501,36.0139,232.95,0.499,0.588
170,2.8333,0.3140,3.4386,33.5208,232.52,0.501,0.620
171,2.8500,0.3118,3.2837,31.0903,232.35,0.497,0.630
172,2.8667,0.2822,3.0809,29.3542,232.08,0.497,0.607
173,2.8833,0.3074,2.9135,29.7153,231.88,0.492,0.627
174,2.9000,0.2372,2.5734,28.0347,231.60,0.500,0.601
175,2.9167,0.1908,2.3025,26.4792,231.63,0.504,0.622
176,2.9333,0.2033,2.0464,23.8889,231.53,0.490,0.598
177,2.9500,0.1760,1.8496,21.1736,231.54,0.488,0.631
178,2.9667,0.1298,1.6519,19.0208,231.41,0.488,0.573
179,2.9833,0.2027,1.4833,15.9792,231.32,0.502,0.551
