frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,6.2231,6.2231,19.4097,105.54,0.516,0.486
1,0.0333,5.7779,10.6288,34.1528,106.25,0.505,0.490
2,0.0667,4.3835,13.7614,47.8333,107.06,0.492,0.572
3,0.1000,4.7665,16.1251,53.3472,108.32,0.510,0.484
4,0.1333,4.0277,17.8787,57.2569,109.27,0.501,0.487
5,0.1667,1.5442,18.4055,58.6389,109.58,0.493,0.498
6,0.2000,2.4735,19.2918,59.5208,109.95,0.499,0.443
7,0.2333,0.3749,19.4167,59.5972,109.64,0.402,0.446
8,0.2667,0.1736,16.8498,52.8194,109.57,0.374,0.664
9,0.3000,0.2050,13.9492,47.1389,109.54,0.331,0.698
10,0.3333,0.5737,11.3441,30.7500,109.54,0.422,0.749
11,0.3667,0.0627,8.0392,22.2708,109.57,0.485,0.591
12,0.4000,0.1777,4.7335,17.6389,109.61,0.292,0.745
13,0.4333,0.1586,3.5444,19.4306,109.59,0.270,0.764
14,0.4667,0.2168,1.4068,20.8472,109.62,0.302,0.743
15,0.5000,0.2378,1.2433,22.3333,109.57,0.309,0.730
16,0.5333,0.2359,1.2674,25.4653,109.64,0.310,0.736
17,0.5667,0.0506,1.1978,24.7778,109.65,0.518,0.548
18,0.6000,0.2393,0.8990,24.6875,109.66,0.338,0.723
19,0.6333,0.2228,0.9616,26.9514,109.64,0.357,0.716
20,0.6667,0.2019,0.9867,27.3264,109.69,0.372,0.709
21,0.7000,0.1489,1.0123,27.1389,109.69,0.350,0.720
22,0.7333,0.1872,1.0232,24.8333,109.72,0.418,0.675
23,0.7667,0.0527,0.8987,20.2153,109.67,0.482,0.571
24,0.8000,0.0992,0.7880,15.5694,109.70,0.398,0.676
25,0.8333,0.5750,1.2701,16.1111,109.70,0.494,0.745
26,0.8667,0.0917,1.1798,12.4375,109.88,0.454,0.623
27,0.9000,0.0729,1.1122,12.1181,109.84,0.460,0.590
28,0.9333,0.0712,1.0340,12.0764,109.88,0.488,0.558
29,0.9667,0.0377,0.9744,12.0556,109.87,0.482,0.561
30,1.0000,0.0781,0.8970,11.9722,109.88,0.495,0.541
31,1.0333,0.2097,1.0167,11.9931,109.84,0.556,0.615
32,1.0667,0.1378,1.0586,12.1389,109.97,0.549,0.544
33,1.1000,0.2273,0.6458,5.7153,109.93,0.532,0.566
34,1.1333,78.8891,78.9535,139.8542,109.96,0.511,0.384
35,1.1667,4.7382,79.3945,139.8889,56.62,0.467,0.740
36,1.2000,7.7827,80.1069,139.8889,56.91,0.475,0.743
37,1.2333,5.9569,80.5492,139.8889,57.31,0.473,0.745
38,1.2667,2.2539,80.6950,139.8889,57.62,0.469,0.738
39,1.3000,2.0618,80.8780,139.8889,57.48,0.483,0.741
40,1.3333,28.0660,59.6767,92.7917,57.51,0.478,0.215
41,1.3667,9.4863,59.1883,90.5903,85.06,0.498,0.214
42,1.4000,22.3426,49.1306,135.7917,83.40,0.505,0.215
43,1.4333,32.6528,62.1683,189.1736,91.79,0.511,0.219
44,1.4667,16.8923,52.3597,171.9306,106.46,0.497,0.215
45,1.5000,26.7882,40.8088,148.9792,100.79,0.494,0.224
46,1.5333,30.7305,46.2930,171.8889,93.57,0.489,0.216
47,1.5667,14.0557,43.8020,161.1944,101.12,0.491,0.213
48,1.6000,24.2595,26.7063,101.3958,100.32,0.492,0.215
49,1.6333,26.6963,19.5903,75.1111,96.90,0.492,0.216
50,1.6667,7.7180,20.2632,71.1042,89.49,0.484,0.215
51,1.7000,12.4442,37.6191,145.5208,89.95,0.497,0.215
52,1.7333,16.0332,34.9027,117.2222,92.62,0.494,0.216
53,1.7667,5.2969,26.7718,85.4306,94.35,0.489,0.217
54,1.8000,9.3175,26.6058,115.1319,95.27,0.494,0.280
55,1.8333,8.7721,25.7177,128.7292,97.16,0.496,0.214
56,1.8667,2.3902,29.9638,115.5278,98.37,0.500,0.224
57,1.9000,3.6689,31.3980,104.6597,98.57,0.508,0.218
