frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,5.1643,5.1643,33.6111,40.77,0.529,0.467
1,0.0167,5.0747,7.6152,40.1667,41.02,0.535,0.466
2,0.0333,4.8020,9.3797,49.1389,41.08,0.557,0.469
3,0.0500,4.6514,10.8553,56.4444,41.01,0.557,0.455
4,0.0667,4.3373,12.0917,58.8889,41.11,0.552,0.444
5,0.0833,4.2458,12.9282,58.0903,41.05,0.560,0.424
6,0.1000,6.2985,14.2566,59.7847,40.91,0.558,0.418
7,0.1167,5.4796,14.7857,60.1736,40.92,0.551,0.413
8,0.1333,5.3235,15.2153,55.7847,40.77,0.554,0.412
9,0.1500,4.7783,15.2304,51.2708,40.83,0.557,0.419
10,0.1667,4.5760,15.2400,48.3750,40.75,0.561,0.433
11,0.1833,4.6660,15.4090,53.1736,40.90,0.562,0.434
12,0.2000,7.1685,15.3298,58.1806,40.98,0.545,0.460
13,0.2167,6.4795,15.5465,56.1806,40.63,0.548,0.438
14,0.2333,6.0585,15.8818,57.3056,40.94,0.558,0.425
15,0.2500,5.8244,15.6637,59.3403,41.10,0.563,0.421
16,0.2667,5.5412,15.7242,56.4375,40.99,0.554,0.422
17,0.2833,5.2585,15.6438,57.3194,40.98,0.563,0.416
18,0.3000,6.6012,16.0723,56.9514,40.99,0.556,0.452
19,0.3167,6.0350,16.1093,57.0556,41.17,0.554,0.460
20,0.3333,5.6666,15.9168,58.5208,41.16,0.550,0.462
21,0.3500,5.4466,16.1215,57.9722,41.16,0.552,0.462
22,0.3667,4.9448,16.3379,59.4931,41.07,0.554,0.461
23,0.3833,5.0092,16.3584,60.3542,41.06,0.548,0.463
24,0.4000,4.7335,16.2809,62.3889,41.08,0.556,0.463
25,0.4167,4.4327,16.1455,60.8958,40.99,0.543,0.462
26,0.4333,4.2690,16.3612,62.0486,41.01,0.539,0.455
27,0.4500,4.3101,16.2958,61.1111,41.02,0.534,0.453
28,0.4667,3.9149,16.1646,59.5972,40.95,0.538,0.440
29,0.4833,3.7783,15.9494,56.7222,40.98,0.548,0.427
30,0.5000,3.7587,15.9830,59.2292,40.98,0.534,0.422
31,0.5167,3.8626,16.1458,60.8681,41.00,0.531,0.413
32,0.5333,3.6775,15.9117,58.6806,41.23,0.530,0.416
33,0.5500,3.5605,15.7852,57.8264,41.31,0.535,0.408
34,0.5667,3.7045,15.7815,58.9167,41.29,0.510,0.412
35,0.5833,3.7552,15.5801,60.6111,41.15,0.521,0.412
36,0.6000,3.4612,15.4379,59.1528,41.05,0.520,0.400
37,0.6167,3.3762,15.3602,56.9375,40.99,0.521,0.388
38,0.6333,3.4499,15.6050,59.3681,41.05,0.521,0.401
39,0.6500,3.4926,15.7847,58.5556,41.07,0.532,0.396
40,0.6667,3.1885,15.6659,56.0000,41.16,0.525,0.376
41,0.6833,3.0439,15.6465,56.3194,41.13,0.525,0.384
42,0.7000,3.3036,15.7551,56.3958,41.18,0.522,0.366
43,0.7167,3.2993,15.4975,57.6597,41.27,0.523,0.369
