frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,9.1377,9.1377,25.8819,80.40,0.510,0.511
1,0.0333,7.9444,14.0639,34.0486,80.40,0.511,0.497
2,0.0667,4.1672,15.7062,38.5833,80.63,0.505,0.518
3,0.1000,6.5571,18.0093,45.2847,80.43,0.495,0.521
4,0.1333,5.7118,19.7138,49.2708,80.78,0.486,0.517
5,0.1667,2.7233,20.2786,50.8264,80.91,0.467,0.539
6,0.2000,4.5957,21.4468,52.7778,81.09,0.463,0.512
7,0.2333,3.5326,22.0938,53.9931,80.79,0.460,0.527
8,0.2667,1.6016,20.0581,48.4444,81.17,0.445,0.531
9,0.3000,2.1959,18.0519,45.2639,81.15,0.450,0.520
10,0.3333,1.7230,17.3893,43.7222,81.28,0.459,0.492
11,0.3667,0.3662,14.9051,42.5139,80.91,0.417,0.558
12,0.4000,0.3155,12.3868,35.4444,81.10,0.354,0.595
13,0.4333,0.2451,11.0043,31.3333,81.07,0.409,0.573
14,0.4667,0.2671,8.2897,23.7292,81.14,0.405,0.569
15,0.5000,0.1658,5.6467,18.7153,81.01,0.385,0.596
16,0.5333,0.1438,4.4183,16.8611,81.08,0.341,0.641
17,0.5667,0.1597,2.6183,13.4653,81.04,0.333,0.637
18,0.6000,0.6069,1.5087,15.6597,81.04,0.215,0.732
19,0.6333,1.0547,1.8211,15.6806,80.90,0.251,0.704
20,0.6667,2.2932,3.5646,27.0278,81.04,0.439,0.731
21,0.7000,0.9130,3.8633,28.0486,79.57,0.293,0.641
22,0.7333,0.5302,3.9855,28.1528,79.38,0.410,0.574
23,0.7667,0.5535,3.9778,27.4236,79.28,0.334,0.631
24,0.8000,1.6930,3.3139,20.0000,79.43,0.386,0.718
25,0.8333,0.9586,3.0830,20.0347,80.14,0.253,0.699
26,0.8667,0.5626,2.8723,20.6111,80.16,0.290,0.658
27,0.9000,0.5859,3.3089,19.9444,80.05,0.278,0.660
28,0.9333,0.7416,3.0779,21.8125,80.10,0.231,0.695
29,0.9667,0.4734,3.1551,24.1528,80.20,0.260,0.668
30,1.0000,0.6505,2.9334,21.6944,80.26,0.248,0.668
31,1.0333,0.6727,2.7354,21.3611,80.14,0.273,0.649
32,1.0667,0.4452,1.7282,15.2083,80.18,0.332,0.618
33,1.1000,0.5492,2.0833,15.7014,80.12,0.314,0.636
34,1.1333,0.4372,2.1968,16.4931,80.11,0.380,0.603
35,1.1667,0.1673,2.0775,14.4097,79.96,0.422,0.552
36,1.2000,0.2439,1.7933,12.6042,80.04,0.310,0.628
