frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0786,0.0786,0.5764,219.51,0.559,0.470
1,0.0167,8.1726,8.2037,53.1111,219.52,0.529,0.469
2,0.0333,6.6579,13.0232,78.7917,219.81,0.541,0.550
3,0.0500,0.0151,13.0261,78.7986,219.51,0.528,0.393
4,0.0667,0.0388,13.0411,78.8056,219.50,0.562,0.369
5,0.0833,0.0189,13.0485,78.8264,219.52,0.393,0.314
6,0.1000,6.8320,16.7738,99.9583,219.51,0.546,0.555
7,0.1167,0.0216,16.7706,99.9583,219.40,0.536,0.547
8,0.1333,6.8403,19.1144,119.5486,219.39,0.550,0.561
9,0.1500,0.0081,15.6717,110.8681,219.29,0.424,0.454
10,0.1667,0.0205,12.0109,89.2222,219.29,0.422,0.316
11,0.1833,6.8913,15.8532,141.5486,219.28,0.549,0.563
12,0.2000,0.0058,15.8340,141.6319,219.21,0.635,0.684
13,0.2167,5.7792,17.6344,173.8958,219.21,0.519,0.557
14,0.2333,0.0157,15.1482,145.9931,219.65,0.568,0.472
15,0.2500,0.0164,15.1595,146.0486,219.65,0.444,0.407
16,0.2667,5.4122,14.0691,147.9097,219.65,0.502,0.560
17,0.2833,0.0173,14.0704,147.8889,220.41,0.635,0.578
18,0.3000,5.0025,15.7163,176.6389,220.41,0.493,0.561
19,0.3167,0.0082,12.6946,139.1528,221.42,0.497,0.519
20,0.3333,0.0128,12.7033,139.1458,221.42,0.600,0.605
21,0.3500,4.3597,11.7561,133.2569,221.42,0.493,0.569
22,0.3667,0.0269,11.7677,133.2639,222.42,0.452,0.370
23,0.3833,3.7211,13.2689,165.1736,222.42,0.496,0.581
24,0.4000,0.0150,10.5465,119.2083,223.13,0.678,0.626
25,0.4167,0.0217,10.5397,119.2569,223.14,0.467,0.461
26,0.4333,3.3619,9.2151,102.9861,223.14,0.498,0.584
27,0.4500,0.0290,9.2165,103.0625,223.73,0.483,0.376
28,0.4667,2.9655,10.5878,114.2847,223.72,0.476,0.571
29,0.4833,0.0171,8.2439,73.3194,224.21,0.409,0.491
30,0.5000,0.0573,8.2641,73.3194,224.20,0.445,0.650
31,0.5167,2.1243,7.1545,67.5417,224.24,0.423,0.536
32,0.5333,0.0251,7.1635,67.5208,224.59,0.372,0.541
33,0.5500,1.7834,8.2427,88.5625,224.60,0.461,0.532
34,0.5667,0.0133,5.8584,77.9931,224.95,0.517,0.644
35,0.5833,0.0103,5.8508,77.9931,224.95,0.473,0.646
36,0.6000,1.4419,4.7261,76.1944,224.95,0.544,0.578
37,0.6167,0.0193,4.7309,76.1875,225.43,0.336,0.370
38,0.6333,1.2884,5.5636,89.9931,225.43,0.535,0.563
39,0.6500,0.0229,4.0999,66.0556,225.82,0.511,0.701
40,0.6667,0.0181,4.0873,66.0417,225.83,0.363,0.272
41,0.6833,1.2130,3.6105,55.5972,225.83,0.537,0.550
42,0.7000,0.0138,3.6207,55.6042,226.17,0.343,0.211
43,0.7167,0.9436,4.3081,62.4306,226.17,0.530,0.525
44,0.7333,0.0073,3.1683,43.9931,226.36,0.714,0.675
45,0.7500,0.0031,3.1649,44.0000,226.36,0.630,0.586
46,0.7667,0.8572,2.7732,32.2917,226.36,0.502,0.481
47,0.7833,0.0119,2.7646,32.2778,226.45,0.654,0.640
48,0.8000,0.7204,3.3298,33.1042,226.46,0.476,0.443
49,0.8167,0.0136,2.3324,17.9028,226.46,0.442,0.440
50,0.8333,0.0459,2.3504,17.8750,226.46,0.515,0.527
51,0.8500,0.6781,2.1044,18.8958,226.49,0.487,0.451
52,0.8667,0.0126,2.1143,18.9167,226.48,0.400,0.397
53,0.8833,0.6250,2.6393,24.9514,226.49,0.503,0.468
54,0.9000,0.0077,1.9226,18.8819,226.46,0.577,0.567
55,0.9167,0.0043,1.9233,18.8889,226.47,0.485,0.503
56,0.9333,0.6042,1.8485,19.0903,226.47,0.525,0.489
57,0.9500,0.0056,1.8445,19.1111,226.49,0.594,0.567
58,0.9667,0.5447,2.3338,25.5486,226.49,0.550,0.505
59,0.9833,0.0221,1.7453,19.1597,226.44,0.549,0.554
60,1.0000,0.0126,1.7436,19.1528,226.45,0.448,0.431
61,1.0167,0.5450,1.6825,19.6319,226.45,0.565,0.526
62,1.0333,0.0076,1.6872,19.6181,226.43,0.532,0.503
63,1.0500,0.4913,2.1568,25.7431,226.43,0.543,0.505
64,1.0667,0.0086,1.5794,19.5764,226.43,0.429,0.393
65,1.0833,0.0054,1.5818,19.6042,226.44,0.499,0.451
66,1.1000,0.4031,1.4235,19.6250,226.43,0.529,0.486
67,1.1167,0.0064,1.4108,19.6042,226.43,0.508,0.427
68,1.1333,0.5051,1.8343,26.1111,226.44,0.499,0.417
69,1.1500,0.0562,1.2791,19.6319,226.61,0.498,0.411
70,1.1667,0.0487,1.3152,19.6667,226.61,0.509,0.475
71,1.1833,0.5702,1.3461,21.6944,226.62,0.494,0.429
72,1.2000,0.0217,1.3445,21.5764,226.98,0.489,0.667
73,1.2167,0.4924,1.7770,28.2292,226.98,0.497,0.431
74,1.2333,0.0514,1.4950,22.9444,227.33,0.511,0.243
75,1.2500,0.0511,1.4631,23.0278,227.30,0.513,0.232
76,1.2667,0.0043,1.0800,15.9167,227.33,0.476,0.429
77,1.2833,0.7349,1.7422,26.8194,227.33,0.503,0.429
78,1.3000,0.7369,2.4748,37.0347,227.98,0.503,0.413
79,1.3167,0.1023,1.9807,30.3889,228.57,0.538,0.303
80,1.3333,0.0458,2.0013,30.9931,228.66,0.536,0.415
81,1.3500,0.0161,1.5310,23.5347,228.70,0.536,0.396
82,1.3667,0.9549,2.4720,37.8681,228.69,0.499,0.425
83,1.3833,1.3631,3.7291,58.7361,229.56,0.499,0.427
84,1.4000,0.0516,3.7128,58.6319,230.86,0.487,0.419
85,1.4167,0.0585,3.0387,48.0417,230.86,0.489,0.419
86,1.4333,1.3369,3.7223,58.1875,230.86,0.501,0.428
87,1.4500,0.0063,3.6230,57.1250,232.13,0.422,0.041
88,1.4667,0.0031,3.5869,56.3819,232.13,0.763,0.045
89,1.4833,0.2518,3.7049,56.0694,232.13,0.500,0.502
90,1.5000,0.0088,2.8024,41.0972,231.89,0.441,0.497
91,1.5167,0.0117,1.4669,20.1944,231.89,0.541,0.433
92,1.5333,0.2618,1.6324,20.2986,231.89,0.498,0.503
93,1.5500,0.0080,1.6373,20.2500,231.63,0.574,0.369
94,1.5667,0.2473,0.7664,9.2569,231.63,0.497,0.505
95,1.5833,0.0177,0.7763,9.2431,231.39,0.490,0.111
96,1.6000,0.0143,0.7866,9.2361,231.41,0.484,0.830
97,1.6167,0.0119,0.5458,6.2500,231.39,0.443,0.548
98,1.6333,0.2930,0.8258,9.0556,231.39,0.504,0.476
99,1.6500,0.2816,1.0267,11.7778,231.15,0.501,0.489
100,1.6667,0.0175,0.7658,8.6319,230.93,0.518,0.729
101,1.6833,0.0396,0.7946,9.2083,230.95,0.518,0.429
102,1.7000,0.2558,0.8024,8.5139,230.93,0.491,0.474
103,1.7167,0.0475,0.7828,8.9583,230.72,0.470,0.264
104,1.7333,0.2793,1.0588,11.6042,230.70,0.495,0.499
105,1.7500,0.0039,1.0634,11.6111,230.45,0.400,0.153
106,1.7667,0.0371,0.8579,8.8958,230.45,0.614,0.377
107,1.7833,0.2766,0.8205,8.4028,230.45,0.505,0.479
108,1.8000,0.0262,0.8266,8.4514,230.25,0.486,0.622
109,1.8167,0.1323,0.8622,8.8194,230.24,0.470,0.509
110,1.8333,0.0251,0.6775,6.7083,230.22,0.418,0.373
111,1.8500,0.0468,0.6396,6.7083,230.21,0.476,0.435
112,1.8667,0.1374,0.5001,6.7986,230.21,0.481,0.526
113,1.8833,0.0309,0.5141,6.8681,230.20,0.489,0.630
114,1.9000,0.1367,0.6508,8.5556,230.19,0.481,0.489
115,1.9167,0.0034,0.4427,6.3819,230.16,0.495,0.154
116,1.9333,0.0360,0.4300,6.3681,230.16,0.527,0.472
117,1.9500,0.1161,0.4071,5.5000,230.16,0.487,0.525
118,1.9667,0.0354,0.4337,5.5764,230.14,0.517,0.543
119,1.9833,0.1200,0.4998,6.7431,230.13,0.479,0.506
120,2.0000,0.0084,0.3873,5.0417,230.10,0.635,0.302
121,2.0167,0.0332,0.3952,5.0833,230.10,0.575,0.463
122,2.0333,0.1379,0.4018,4.8403,230.10,0.483,0.506
123,2.0500,0.0352,0.4191,4.8819,230.08,0.486,0.553
124,2.0667,0.1287,0.4887,6.2778,230.07,0.464,0.516
125,2.0833,0.0102,0.4171,5.3125,230.05,0.474,0.534
126,2.1000,0.0368,0.4196,5.3403,230.05,0.547,0.500
127,2.1167,0.1619,0.4673,7.0000,230.04,0.455,0.505
128,2.1333,0.0454,0.4894,6.9722,230.03,0.511,0.542
129,2.1500,0.1494,0.6084,9.9583,230.03,0.450,0.515
130,2.1667,0.0120,0.4986,8.1389,230.01,0.492,0.515
131,2.1833,0.0521,0.5066,8.1458,230.00,0.533,0.502
132,2.2000,0.1619,0.5381,8.8611,230.01,0.463,0.515
133,2.2167,0.0524,0.5723,8.8819,230.00,0.523,0.536
134,2.2333,0.1324,0.6581,11.1389,229.98,0.479,0.508
135,2.2500,0.0090,0.5228,8.3194,229.95,0.624,0.320
136,2.2667,0.0557,0.5368,8.3333,229.96,0.558,0.479
137,2.2833,0.1431,0.5060,7.5417,229.94,0.487,0.506
138,2.3000,0.0667,0.5544,7.5833,229.94,0.527,0.537
