frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.2405,0.2405,0.8056,131.96,0.467,0.661
1,0.0167,0.0758,0.2664,1.1736,132.13,0.508,0.673
2,0.0333,0.0993,0.3396,1.5764,132.11,0.437,0.707
3,0.0500,0.1443,0.3932,1.9236,132.12,0.460,0.672
4,0.0667,0.1778,0.5437,2.4236,132.01,0.511,0.687
5,0.0833,0.1197,0.6369,2.8542,132.13,0.447,0.718
6,0.1000,0.0888,0.7181,3.3611,132.10,0.394,0.705
7,0.1167,0.1322,0.8019,3.8333,132.11,0.457,0.637
8,0.1333,0.1630,0.7932,3.6528,132.02,0.498,0.665
9,0.1500,0.0927,0.8235,3.6667,132.12,0.403,0.706
10,0.1667,0.0987,0.8249,3.6528,132.10,0.447,0.705
11,0.1833,0.1345,0.8301,3.7431,132.12,0.473,0.670
12,0.2000,0.1775,0.8293,3.8125,132.03,0.509,0.706
13,0.2167,0.1125,0.8219,3.7986,132.14,0.420,0.721
14,0.2333,0.1036,0.8368,3.9097,132.11,0.410,0.715
15,0.2500,0.1132,0.8265,3.8333,132.13,0.443,0.663
16,0.2667,0.1739,0.8299,3.8889,132.06,0.508,0.669
17,0.2833,0.1246,0.8505,3.9583,132.17,0.439,0.708
18,0.3000,0.0942,0.8494,4.1389,132.12,0.405,0.692
19,0.3167,0.1294,0.8432,4.0139,132.14,0.467,0.618
20,0.3333,0.1697,0.8298,3.9583,132.05,0.522,0.657
21,0.3500,0.1288,0.8417,4.1667,132.15,0.443,0.704
22,0.3667,0.0975,0.8384,4.1528,132.12,0.407,0.699
23,0.3833,0.1219,0.8488,4.1042,132.13,0.474,0.636
24,0.4000,0.1846,0.8508,4.1319,132.05,0.508,0.678
25,0.4167,0.1119,0.8377,3.9653,132.16,0.441,0.703
26,0.4333,0.0943,0.8406,3.9861,132.12,0.385,0.699
27,0.4500,0.1152,0.8390,4.0903,132.13,0.434,0.636
28,0.4667,0.1813,0.8426,4.1111,132.05,0.528,0.667
29,0.4833,0.1211,0.8355,3.8264,132.17,0.452,0.692
30,0.5000,0.0966,0.8382,3.7778,132.13,0.417,0.690
31,0.5167,0.1381,0.8571,3.8958,132.15,0.462,0.645
32,0.5333,0.1494,0.8200,3.7431,132.06,0.482,0.734
33,0.5500,0.1136,0.8161,3.8333,132.14,0.425,0.723
34,0.5667,0.0818,0.8077,3.7917,132.09,0.340,0.715
35,0.5833,0.1150,0.8086,3.8611,132.10,0.385,0.652
36,0.6000,0.1929,0.8107,3.9097,132.02,0.519,0.661
37,0.6167,0.1377,0.8234,4.0139,132.14,0.474,0.713
38,0.6333,0.0944,0.8227,4.0347,132.11,0.440,0.694
39,0.6500,0.1272,0.8159,4.0208,132.13,0.461,0.658
40,0.6667,0.1740,0.8331,4.1528,132.04,0.506,0.656
41,0.6833,0.1324,0.8512,4.2361,132.15,0.429,0.708
42,0.7000,0.0819,0.8533,4.2917,132.11,0.376,0.699
43,0.7167,0.1156,0.8534,4.2847,132.13,0.419,0.635
44,0.7333,0.1837,0.8405,4.2847,132.05,0.504,0.701
45,0.7500,0.1201,0.8275,4.0208,132.15,0.454,0.688
46,0.7667,0.0911,0.8270,4.1250,132.11,0.432,0.695
47,0.7833,0.1339,0.8370,4.0625,132.13,0.465,0.673
48,0.8000,0.1582,0.8197,4.0972,132.04,0.478,0.673
49,0.8167,0.1110,0.8000,4.0278,132.14,0.429,0.691
50,0.8333,0.0780,0.7970,3.9097,132.10,0.382,0.697
51,0.8500,0.1277,0.8165,4.0625,132.11,0.465,0.652
52,0.8667,0.1722,0.8044,3.9167,132.03,0.504,0.683
53,0.8833,0.1202,0.8064,4.0972,132.12,0.442,0.705
54,0.9000,0.0935,0.8145,4.0625,132.08,0.390,0.677
55,0.9167,0.1117,0.7961,3.9931,132.10,0.435,0.648
56,0.9333,0.1905,0.8154,4.0347,132.02,0.520,0.646
57,0.9500,0.1314,0.8378,4.2292,132.14,0.447,0.693
58,0.9667,0.0815,0.8354,4.1528,132.08,0.429,0.672
