frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,7.6177,7.6177,40.2500,228.83,0.495,0.539
1,0.0333,6.9410,12.9882,67.6111,228.88,0.491,0.535
2,0.0667,4.7573,15.7476,84.1528,229.03,0.491,0.537
3,0.1000,3.3458,17.2701,96.1458,229.01,0.491,0.532
4,0.1333,2.5319,18.2169,101.8819,229.11,0.492,0.532
5,0.1667,2.0192,18.7298,103.2778,229.15,0.491,0.529
6,0.2000,1.6685,19.1666,102.9167,229.25,0.489,0.534
7,0.2333,1.2527,19.4030,101.3333,229.18,0.492,0.534
8,0.2667,1.0501,17.1570,94.3056,229.27,0.497,0.527
9,0.3000,0.8486,14.2020,87.0833,229.27,0.492,0.535
10,0.3333,0.7311,11.7898,74.8958,229.33,0.496,0.533
11,0.3667,0.5662,9.6994,61.0347,229.29,0.495,0.530
12,0.4000,0.4213,7.9699,49.5000,229.35,0.489,0.518
13,0.4333,0.3970,6.5541,39.8333,229.40,0.490,0.521
14,0.4667,61.6458,61.9238,197.9444,229.35,0.488,0.493
15,0.5000,0.0009,61.8923,198.0486,180.35,0.331,0.787
16,0.5333,0.0002,61.8276,197.9792,180.35,0.264,0.901
17,0.5667,0.0002,61.8060,198.1111,180.35,0.528,0.894
18,0.6000,0.0005,61.7386,199.0694,180.35,0.375,0.901
19,0.6333,0.0005,61.7029,200.2083,180.35,0.521,0.901
20,0.6667,0.0004,61.6880,200.8889,180.35,0.518,0.905
21,0.7000,0.0001,61.6462,201.3681,180.35,0.535,0.887
22,0.7333,165.5189,165.5192,216.1806,180.35,0.505,0.509
23,0.7667,0.0001,165.5197,216.1806,26.39,0.677,0.479
24,0.8000,0.0000,165.5195,216.1806,26.39,0.500,0.500
25,0.8333,0.0001,165.5192,216.1806,26.39,0.677,0.465
26,0.8667,0.0000,165.5187,216.1806,26.39,0.500,0.500
27,0.9000,0.0000,165.5183,216.1806,26.39,0.500,0.500
28,0.9333,0.0000,165.5188,216.1806,26.39,0.500,0.500
29,0.9667,0.0000,165.5187,216.1806,26.39,0.500,0.500
30,1.0000,22.6308,22.6305,118.2014,26.39,0.489,0.385
31,1.0333,0.0002,22.6309,118.2014,12.96,0.717,0.528
32,1.0667,0.0000,22.6309,118.2014,12.96,0.500,0.500
33,1.1000,0.0000,22.6310,118.2014,12.96,0.500,0.500
34,1.1333,0.0000,22.6310,118.2014,12.96,0.500,0.500
35,1.1667,0.0000,22.6310,118.2014,12.96,0.500,0.500
36,1.2000,0.0000,22.6310,118.2014,12.96,0.500,0.500
37,1.2333,0.0000,22.6310,118.2014,12.96,0.500,0.500
38,1.2667,229.5699,229.5701,254.0000,12.96,0.506,0.502
39,1.3000,4.0421,227.9345,254.0000,242.51,0.473,0.681
40,1.3333,4.0920,226.2177,254.0000,240.85,0.486,0.671
41,1.3667,5.0844,224.1947,254.0000,239.14,0.493,0.682
42,1.4000,6.4536,222.3281,254.0000,237.13,0.497,0.681
43,1.4333,3.7905,221.5359,254.0000,235.27,0.505,0.665
44,1.4667,7.8735,219.6364,254.0000,234.48,0.506,0.645
45,1.5000,5.9998,219.9387,254.0000,232.59,0.505,0.658
46,1.5333,4.7853,11.5458,136.8681,232.89,0.514,0.639
47,1.5667,5.2899,13.0866,146.1111,233.19,0.516,0.614
48,1.6000,4.1207,14.4648,147.5764,233.44,0.518,0.601
49,1.6333,3.5385,15.7965,144.3750,233.57,0.518,0.581
50,1.6667,3.4637,16.2928,123.6736,233.59,0.518,0.580
51,1.7000,3.7679,16.8659,126.5903,233.70,0.517,0.559
52,1.7333,2.4350,16.1175,132.8750,233.68,0.517,0.544
53,1.7667,2.1338,15.1519,119.4792,233.75,0.519,0.550
54,1.8000,2.5409,14.3841,120.4792,233.77,0.517,0.532
55,1.8333,0.9300,12.7751,101.3611,233.83,0.519,0.528
56,1.8667,1.4121,11.8321,90.5486,233.86,0.516,0.513
57,1.9000,86.7306,86.1420,221.5972,233.84,0.506,0.618
58,1.9333,0.2630,86.0434,221.5972,150.44,0.607,0.937
59,1.9667,0.1389,86.0357,221.5972,150.63,0.604,0.922
60,2.0000,0.1279,86.1477,221.5972,150.66,0.615,0.918
61,2.0333,0.2053,86.2461,221.5972,150.69,0.619,0.917
62,2.0667,0.0777,86.2629,221.7292,150.75,0.641,0.907
63,2.1000,0.0786,86.2502,223.9722,150.80,0.642,0.911
64,2.1333,67.6529,52.4875,218.5694,150.85,0.473,0.573
65,2.1667,0.0000,67.5035,234.7083,193.31,0.500,0.500
66,2.2000,0.0001,67.5921,234.7083,193.31,0.291,0.479
67,2.2333,0.0000,67.6038,234.7083,193.31,0.500,0.500
68,2.2667,0.0000,67.6072,234.7083,193.31,0.500,0.500
69,2.3000,0.0002,67.6165,234.7083,193.31,0.303,0.465
70,2.3333,0.0000,67.6330,234.7083,193.31,0.500,0.500
71,2.3667,0.0002,67.6528,234.7083,193.31,0.303,0.465
72,2.4000,54.5983,54.5984,222.2361,193.31,0.598,0.583
73,2.4333,0.0024,54.5973,222.2361,230.72,0.435,0.441
74,2.4667,0.0025,54.5986,222.2361,230.72,0.456,0.397
75,2.5000,0.0021,54.5994,222.2361,230.72,0.500,0.433
76,2.5333,0.0020,54.5985,222.2361,230.72,0.501,0.488
77,2.5667,0.0005,54.5989,222.2361,230.72,0.446,0.392
78,2.6000,0.0003,54.5985,222.2361,230.72,0.528,0.211
79,2.6333,216.5918,180.5445,245.2639,230.72,0.500,0.498
80,2.6667,0.0034,216.5917,252.1250,15.20,0.595,0.430
81,2.7000,0.0035,216.5917,252.1250,15.20,0.578,0.456
82,2.7333,0.0011,216.5909,252.1250,15.20,0.572,0.355
83,2.7667,0.0034,216.5931,252.1250,15.20,0.552,0.403
84,2.8000,0.0012,216.5923,252.1250,15.20,0.552,0.402
85,2.8333,0.0008,216.5917,252.1250,15.20,0.496,0.507
86,2.8667,0.0008,216.5923,252.1250,15.20,0.602,0.396
87,2.9000,64.5356,64.5342,124.4028,15.20,0.484,0.492
88,2.9333,2.8390,65.2131,124.0556,77.07,0.349,0.416
89,2.9667,3.4690,66.6024,123.9583,77.71,0.302,0.430
90,3.0000,3.5144,66.8295,123.5556,79.07,0.278,0.417
91,3.0333,4.1927,67.1877,123.2292,79.27,0.254,0.385
92,3.0667,8.7249,70.3837,138.5972,79.60,0.535,0.354
93,3.1000,9.1341,74.3458,180.5486,82.77,0.526,0.448
94,3.1333,12.0656,75.2562,162.3472,86.72,0.571,0.461
95,3.1667,12.9612,19.2019,132.1111,87.61,0.598,0.555
96,3.2000,11.3525,19.2533,114.2708,88.07,0.574,0.596
97,3.2333,10.3920,19.0322,84.7500,87.42,0.550,0.616
98,3.2667,9.7105,18.5508,86.4167,85.22,0.490,0.559
99,3.3000,7.3454,17.9189,94.7083,83.80,0.449,0.507
100,3.3333,8.3030,20.7405,88.6736,82.34,0.421,0.489
101,3.3667,8.4253,24.8392,122.4792,82.36,0.406,0.482
102,3.4000,9.7923,25.8258,90.9931,83.02,0.396,0.504
103,3.4333,9.7926,26.8327,115.1458,82.87,0.403,0.511
104,3.4667,7.4033,26.5940,114.9722,83.83,0.446,0.524
105,3.5000,7.8703,24.5924,100.8611,83.84,0.480,0.562
106,3.5333,7.1686,21.7600,102.9861,84.05,0.506,0.605
107,3.5667,146.4817,145.8108,201.2361,83.05,0.511,0.509
108,3.6000,0.3230,145.9767,201.0347,215.45,0.490,0.587
109,3.6333,0.3950,145.4196,201.0972,215.67,0.491,0.589
110,3.6667,0.5078,145.6620,201.2014,215.94,0.486,0.585
111,3.7000,0.6020,145.0697,200.7500,216.26,0.485,0.581
112,3.7333,0.6810,145.3742,200.7986,216.61,0.486,0.569
113,3.7667,0.7349,145.5735,200.0625,217.05,0.490,0.553
114,3.8000,0.8835,146.8604,190.0347,217.55,0.486,0.547
115,3.8333,1.0009,4.6291,50.6667,218.12,0.487,0.537
116,3.8667,1.0799,5.2406,53.3889,218.76,0.495,0.505
117,3.9000,1.2422,5.8334,50.2083,219.44,0.494,0.471
118,3.9333,1.3772,6.3892,55.4375,220.06,0.498,0.478
119,3.9667,1.7788,7.0256,73.1528,220.82,0.496,0.483
120,4.0000,2.4015,8.0328,88.3750,221.60,0.497,0.464
121,4.0333,2.7998,9.6699,113.7569,222.11,0.502,0.463
122,4.0667,7.0024,15.6181,146.7847,222.61,0.503,0.305
123,4.1000,11.6707,23.9370,177.4722,219.14,0.500,0.296
