frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,3.1120,3.1120,31.6806,196.63,0.472,0.387
1,0.0333,4.2118,4.5315,33.2847,196.18,0.456,0.429
2,0.0667,4.8025,6.4225,36.3472,196.06,0.494,0.508
3,0.1000,3.5968,6.2437,36.7708,197.52,0.499,0.505
4,0.1333,4.0757,5.9744,39.8750,197.13,0.495,0.503
5,0.1667,1.8592,5.8451,37.5486,196.54,0.503,0.519
6,0.2000,1.2916,5.7427,36.2153,196.31,0.505,0.524
7,0.2333,1.1681,5.6437,35.1319,196.21,0.512,0.546
8,0.2667,0.4818,5.0694,33.1806,196.15,0.501,0.496
9,0.3000,0.4710,4.6388,35.0347,196.16,0.487,0.468
10,0.3333,0.7785,5.2372,36.1111,196.22,0.458,0.451
11,0.3667,0.4725,4.4385,38.9306,196.31,0.472,0.471
12,0.4000,0.4094,2.7817,36.6042,196.42,0.473,0.470
13,0.4333,0.6453,2.7950,30.1667,196.48,0.484,0.487
14,0.4667,0.2567,2.7461,22.9097,196.58,0.496,0.505
15,0.5000,37.7535,38.0429,79.6042,196.58,0.501,0.477
16,0.5333,1.9270,37.9965,79.5972,227.44,0.437,0.553
17,0.5667,1.6278,37.6342,78.9028,226.76,0.472,0.441
18,0.6000,0.6749,37.5280,75.9722,226.42,0.531,0.493
19,0.6333,1.4502,37.2530,76.4306,226.35,0.503,0.564
20,0.6667,0.4184,37.2393,77.3333,226.51,0.447,0.550
21,0.7000,0.4066,37.1759,77.1042,226.49,0.429,0.528
22,0.7333,1.0715,37.2335,77.0833,226.44,0.431,0.475
23,0.7667,0.3273,4.4494,36.0833,226.33,0.449,0.444
24,0.8000,0.5243,3.6032,30.8194,226.34,0.460,0.427
25,0.8333,0.2998,3.1306,25.6528,226.38,0.467,0.389
26,0.8667,148.6520,148.3007,225.0000,226.39,0.499,0.482
27,0.9000,0.5061,148.3526,225.0000,95.14,0.483,0.485
28,0.9333,1.0564,148.6799,225.0000,94.75,0.482,0.485
29,0.9667,0.6969,148.9208,225.0000,94.12,0.486,0.481
30,1.0000,0.8828,149.3988,225.0000,93.96,0.486,0.477
31,1.0333,2.4490,149.2683,225.0000,93.99,0.492,0.472
32,1.0667,1.0749,149.1644,225.0000,95.10,0.498,0.473
33,1.1000,0.6721,149.0330,225.0000,95.70,0.496,0.482
34,1.1333,0.7818,3.9440,71.0694,96.05,0.494,0.496
35,1.1667,0.2680,3.9813,68.8403,96.42,0.490,0.508
36,1.2000,0.2311,4.0584,68.6389,96.55,0.488,0.532
37,1.2333,197.5490,194.8686,246.5139,96.64,0.501,0.516
38,1.2667,0.2985,195.1562,246.5486,109.57,0.731,0.160
39,1.3000,1.8766,197.7920,246.5625,109.84,0.701,0.206
40,1.3333,3.6687,200.1089,246.5556,111.67,0.679,0.259
41,1.3667,3.7677,201.5112,246.5625,115.28,0.609,0.334
42,1.4000,12.9748,202.8477,246.5486,118.95,0.434,0.543
43,1.4333,19.3561,197.8438,246.4722,131.43,0.416,0.531
44,1.4667,18.3028,193.0982,246.4722,148.78,0.428,0.516
45,1.5000,35.9950,87.0177,247.5347,163.71,0.485,0.510
46,1.5333,39.9325,126.1196,255.0000,196.02,0.523,0.533
47,1.5667,5.8491,129.2370,255.0000,235.38,0.523,0.548
48,1.6000,3.7970,128.4115,255.0000,240.36,0.568,0.575
49,1.6333,2.1328,125.8252,255.0000,243.19,0.632,0.619
50,1.6667,0.9999,113.5768,255.0000,244.32,0.681,0.648
51,1.7000,0.7120,96.4134,255.0000,244.68,0.719,0.669
52,1.7333,0.3372,81.5394,255.0000,244.95,0.766,0.684
53,1.7667,7.9896,56.3591,255.0000,245.08,0.302,0.250
54,1.8000,19.3066,24.5374,229.7708,237.36,0.465,0.305
55,1.8333,21.9163,21.0212,194.7986,230.21,0.458,0.420
56,1.8667,18.4104,16.8945,88.3542,228.94,0.439,0.474
57,1.9000,18.9911,15.1170,85.0764,230.31,0.459,0.491
58,1.9333,16.9931,13.1867,82.0000,230.51,0.492,0.516
59,1.9667,11.3306,12.2511,81.6458,232.30,0.498,0.513
60,2.0000,10.1093,11.0639,91.0694,233.19,0.502,0.508
61,2.0333,7.5841,17.3227,106.0417,234.04,0.514,0.516
62,2.0667,3.5423,22.2808,126.4722,234.34,0.529,0.523
63,2.1000,3.4759,22.3475,114.2917,234.72,0.531,0.520
64,2.1333,2.1526,20.5986,114.4722,235.10,0.527,0.505
65,2.1667,1.1311,18.3760,114.1181,235.35,0.529,0.501
66,2.2000,1.3188,15.7727,141.2986,235.44,0.525,0.498
67,2.2333,0.9894,14.1055,139.4514,235.56,0.521,0.490
68,2.2667,0.9672,11.6277,123.5347,235.68,0.522,0.494
69,2.3000,0.2015,9.9969,99.1250,235.72,0.513,0.491
70,2.3333,1.9414,8.0774,71.0972,235.76,0.520,0.498
71,2.3667,3.3676,6.4452,61.3194,235.70,0.524,0.503
72,2.4000,7.5645,10.0774,74.3264,235.66,0.556,0.518
73,2.4333,9.3414,12.4033,115.3958,235.39,0.563,0.513
74,2.4667,8.2203,13.6021,136.9583,235.95,0.580,0.502
75,2.5000,8.8959,13.2083,105.8542,236.83,0.599,0.506
76,2.5333,6.9256,13.1172,100.3958,239.22,0.580,0.443
77,2.5667,5.0873,12.1430,99.9306,240.52,0.590,0.425
78,2.6000,39.6989,39.3860,104.8333,241.70,0.515,0.456
79,2.6333,1.7348,38.9623,101.5694,204.00,0.453,0.482
80,2.6667,1.5086,38.9881,102.8681,204.63,0.467,0.481
81,2.7000,1.8842,38.3280,98.7847,204.96,0.473,0.478
82,2.7333,2.0131,37.6528,98.8056,205.44,0.461,0.470
83,2.7667,1.5562,36.9951,98.7708,205.87,0.449,0.459
84,2.8000,2.0217,37.3378,98.4722,206.06,0.434,0.449
85,2.8333,1.9077,37.8339,98.7431,206.28,0.417,0.424
86,2.8667,1.2407,5.0966,23.8194,206.17,0.408,0.410
87,2.9000,1.5395,5.1532,25.4931,206.09,0.415,0.411
88,2.9333,1.3140,5.2792,25.8819,205.86,0.429,0.431
89,2.9667,0.7433,5.0677,26.5556,205.72,0.429,0.430
90,3.0000,0.8933,4.9928,25.3264,205.69,0.443,0.433
91,3.0333,0.7319,4.9029,28.1458,205.60,0.450,0.439
92,3.0667,0.4310,4.6750,28.4167,205.54,0.458,0.457
93,3.1000,0.5253,4.3352,26.8611,205.46,0.451,0.461
94,3.1333,0.3893,4.0921,26.4653,205.46,0.455,0.455
95,3.1667,0.2044,3.6294,26.4583,205.41,0.453,0.456
96,3.2000,0.2233,3.0674,23.7708,205.41,0.467,0.477
97,3.2333,39.3012,39.6811,103.5000,205.34,0.498,0.501
98,3.2667,0.4834,39.5843,101.3472,211.96,0.560,0.583
99,3.3000,0.4531,39.4551,98.9583,212.06,0.575,0.573
100,3.3333,0.9647,39.2976,95.7153,212.16,0.591,0.528
101,3.3667,0.6000,39.1949,94.9861,212.38,0.604,0.495
102,3.4000,0.6249,39.1585,94.3819,212.51,0.612,0.484
103,3.4333,1.3651,38.9230,93.5694,212.58,0.615,0.468
104,3.4667,0.9484,38.8939,93.2014,212.74,0.641,0.443
105,3.5000,1.0046,3.6074,29.9861,212.78,0.644,0.454
106,3.5333,2.0602,4.0020,29.9236,212.82,0.657,0.460
107,3.5667,1.5091,4.3409,32.4167,212.92,0.664,0.447
108,3.6000,1.7093,4.4121,32.5486,212.97,0.664,0.447
109,3.6333,2.7843,5.3247,49.8681,212.99,0.649,0.473
110,3.6667,2.2197,5.5490,46.7500,213.07,0.650,0.455
111,3.7000,2.4811,5.5248,52.7778,213.19,0.643,0.461
112,3.7333,3.7894,5.9225,67.7361,213.27,0.656,0.458
113,3.7667,2.8824,6.2611,70.5278,213.56,0.675,0.432
114,3.8000,2.7144,6.0342,70.5486,213.74,0.670,0.421
115,3.8333,2.8653,5.4599,68.2569,213.86,0.704,0.425
116,3.8667,1.9763,5.3723,68.2500,213.61,0.738,0.407
117,3.9000,1.8617,5.3451,64.7153,213.51,0.739,0.405
118,3.9333,2.0945,5.2157,57.3333,213.48,0.725,0.415
119,3.9667,1.4813,5.1962,56.6042,213.49,0.720,0.389
120,4.0000,1.3954,5.5643,66.7708,213.49,0.709,0.384
121,4.0333,1.7146,5.3113,67.4306,213.49,0.692,0.393
122,4.0667,0.9174,4.7083,68.4167,213.50,0.693,0.378
123,4.1000,0.6961,3.9028,56.7569,213.52,0.685,0.376
124,4.1333,1.1465,3.6647,49.1111,213.55,0.666,0.386
125,4.1667,0.4261,3.5011,46.9375,213.58,0.652,0.405
126,4.2000,184.7555,184.6630,235.5069,213.58,0.533,0.510
127,4.2333,0.8455,183.9740,235.1875,29.15,0.508,0.502
128,4.2667,1.1786,182.9178,235.4167,29.85,0.498,0.496
129,4.3000,1.3187,181.7896,235.6875,30.94,0.497,0.479
130,4.3333,1.2956,180.6523,235.4792,32.10,0.499,0.479
131,4.3667,1.1494,179.7537,235.2639,33.29,0.501,0.475
132,4.4000,0.9864,178.9971,235.1042,34.23,0.491,0.489
133,4.4333,1.5394,177.8195,234.6042,35.10,0.504,0.494
134,4.4667,1.3745,8.7811,54.4306,36.51,0.501,0.510
135,4.5000,1.7935,9.7901,62.5694,37.63,0.495,0.512
136,4.5333,1.5665,10.1685,65.9514,39.35,0.496,0.527
137,4.5667,1.4758,10.3640,58.1389,40.78,0.506,0.529
138,4.6000,1.2824,10.2077,51.1667,42.20,0.481,0.541
139,4.6333,1.2635,10.4001,57.7917,43.20,0.503,0.542
140,4.6667,0.9973,10.1587,60.2708,44.35,0.486,0.540
141,4.7000,1.1328,9.7025,54.6389,44.90,0.481,0.498
142,4.7333,0.7125,9.1090,48.9514,45.90,0.522,0.510
143,4.7667,1.0066,8.3189,41.1944,46.40,0.492,0.525
