frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
0,0.0000,0.0405,0.0405,0.3403,16.02,0.524,0.506
1,0.0333,0.0736,0.1008,0.8542,16.02,0.455,0.502
2,0.0667,0.1874,0.2394,1.8819,16.03,0.482,0.545
3,0.1000,0.3413,0.5676,4.7847,15.99,0.509,0.648
4,0.1333,0.3729,0.9260,9.4097,15.96,0.509,0.658
5,0.1667,0.7078,1.6190,17.2917,15.96,0.509,0.627
6,0.2000,0.7623,2.3359,25.0347,16.16,0.508,0.617
7,0.2333,0.8355,2.9755,28.4444,16.39,0.503,0.565
8,0.2667,1.3906,4.0902,34.2500,17.09,0.510,0.547
9,0.3000,1.4002,5.1804,40.6875,18.29,0.508,0.539
10,0.3333,1.3479,6.1545,47.0347,19.41,0.509,0.544
11,0.3667,1.5587,6.9327,50.8125,20.53,0.514,0.551
12,0.4000,1.4005,6.9911,49.5625,21.46,0.532,0.580
13,0.4333,0.8788,6.7999,46.6944,21.56,0.530,0.575
14,0.4667,1.3446,6.8189,45.6389,21.52,0.527,0.576
15,0.5000,1.4500,6.3828,39.7639,21.49,0.522,0.579
16,0.5333,1.0194,5.8510,34.4514,21.39,0.518,0.579
17,0.5667,1.4882,5.5762,34.7708,21.37,0.511,0.581
18,0.6000,1.5825,5.6089,39.0833,21.28,0.518,0.596
19,0.6333,1.1241,5.8124,43.1875,21.32,0.519,0.592
20,0.6667,1.6904,6.0452,46.9444,21.30,0.515,0.608
21,0.7000,1.7075,6.4473,53.5903,21.50,0.517,0.619
22,0.7333,222.1007,222.3173,254.0000,21.74,0.500,0.497
23,0.7667,4.0429,220.8034,254.0000,243.64,0.473,0.681
24,0.8000,4.0909,219.1887,254.0000,241.98,0.486,0.671
25,0.8333,5.0777,217.2029,254.0000,240.26,0.493,0.683
26,0.8667,6.4865,215.2077,254.0000,238.23,0.497,0.681
27,0.9000,3.7922,214.4930,254.0000,236.37,0.504,0.665
28,0.9333,7.8602,212.5447,254.0000,235.58,0.505,0.644
29,0.9667,5.9857,212.5927,254.0000,233.64,0.505,0.658
30,1.0000,4.7933,11.5752,136.7569,234.00,0.513,0.639
31,1.0333,5.2821,13.1022,145.8056,234.29,0.515,0.614
32,1.0667,4.1188,14.4932,147.5903,234.57,0.517,0.601
33,1.1000,3.5291,15.8130,144.2361,234.68,0.518,0.582
34,1.1333,3.4703,16.3378,123.6042,234.71,0.517,0.580
35,1.1667,3.7815,16.8993,126.9375,234.78,0.517,0.561
36,1.2000,2.4234,16.1862,133.3542,234.80,0.516,0.545
37,1.2333,2.1363,15.1803,119.6319,234.85,0.518,0.550
38,1.2667,2.5294,14.4084,120.4931,234.87,0.516,0.533
39,1.3000,0.9403,12.8099,101.3819,234.94,0.518,0.527
40,1.3333,1.4186,11.8482,90.2847,234.96,0.517,0.511
41,1.3667,194.0387,194.5684,239.9236,234.95,0.517,0.502
42,1.4000,13.8580,194.5921,239.9931,42.88,0.440,0.604
43,1.4333,15.0869,194.0358,240.0278,43.24,0.430,0.564
44,1.4667,14.9621,193.4888,240.0486,44.04,0.430,0.543
45,1.5000,13.5897,192.6671,240.0486,44.42,0.440,0.528
46,1.5333,14.6157,192.0214,240.0486,44.61,0.434,0.500
47,1.5667,14.4913,192.0409,240.0486,44.78,0.436,0.475
48,1.6000,13.0291,191.5906,240.0486,44.60,0.443,0.450
49,1.6333,14.2476,27.5252,84.0833,44.58,0.439,0.425
50,1.6667,13.8487,27.8862,70.5000,44.24,0.441,0.399
51,1.7000,12.5284,27.9310,72.9306,43.59,0.455,0.369
52,1.7333,13.3627,28.3103,87.3333,43.44,0.451,0.349
53,1.7667,13.2281,28.6433,84.0764,42.93,0.453,0.328
54,1.8000,11.9720,28.5155,77.5625,42.28,0.466,0.287
55,1.8333,12.8138,28.1763,86.3056,42.03,0.461,0.277
56,1.8667,12.7116,28.0991,79.9792,41.46,0.467,0.248
57,1.9000,11.4579,27.3454,71.5764,40.93,0.476,0.202
58,1.9333,12.1061,26.3708,71.5694,40.40,0.471,0.195
59,1.9667,10.7032,25.2125,80.9236,39.95,0.471,0.188
60,2.0000,8.4877,22.2250,77.6944,38.18,0.474,0.157
61,2.0333,7.2169,21.3356,66.5903,35.83,0.454,0.206
62,2.0667,5.8485,19.8180,63.1944,35.35,0.451,0.234
63,2.1000,3.4538,17.6555,80.0556,33.36,0.439,0.256
64,2.1333,131.0334,126.2536,221.0139,31.80,0.504,0.442
65,2.1667,0.2952,124.0547,221.0694,150.43,0.603,0.934
66,2.2000,0.1504,124.2617,221.0694,150.59,0.576,0.920
67,2.2333,0.1306,125.8304,221.1528,150.62,0.596,0.916
68,2.2667,0.2397,128.0965,221.2847,150.65,0.591,0.913
69,2.3000,0.1054,128.3072,221.4514,150.68,0.594,0.906
70,2.3333,0.1174,129.9170,222.7292,150.71,0.592,0.908
71,2.3667,67.7390,162.8379,229.9514,150.70,0.472,0.574
72,2.4000,0.0010,67.5275,234.6806,193.27,0.721,0.429
73,2.4333,0.0010,67.6390,234.7292,193.27,0.696,0.236
74,2.4667,0.0005,67.6758,235.0625,193.27,0.529,0.386
75,2.5000,0.0003,67.6863,235.1042,193.27,0.533,0.455
76,2.5333,0.0004,67.7263,235.4514,193.27,0.494,0.401
77,2.5667,0.0001,67.7359,235.6944,193.27,0.465,0.521
78,2.6000,0.0003,67.7395,235.7569,193.27,0.533,0.455
79,2.6333,54.6093,54.6099,222.2708,193.27,0.598,0.583
80,2.6667,0.0054,54.6139,222.2708,230.71,0.200,0.528
81,2.7000,0.0005,54.6133,222.2708,230.72,0.457,0.549
82,2.7333,0.0007,54.6134,222.2708,230.72,0.461,0.516
83,2.7667,0.0052,54.6089,222.2708,230.72,0.184,0.536
84,2.8000,0.0051,54.6134,222.2708,230.71,0.174,0.518
85,2.8333,0.0051,54.6086,222.2708,230.72,0.174,0.518
86,2.8667,216.5506,180.5026,245.1736,230.71,0.500,0.498
87,2.9000,0.0103,216.5512,252.1250,15.22,0.544,0.411
88,2.9333,0.0218,216.5585,252.1250,15.22,0.490,0.387
89,2.9667,0.2996,216.5960,252.1250,15.21,0.505,0.451
90,3.0000,0.0082,216.5941,252.1250,15.18,0.499,0.363
91,3.0333,0.0003,216.5894,252.1250,15.18,0.659,0.277
92,3.0667,0.0028,216.5930,252.1250,15.18,0.486,0.360
93,3.1000,0.0061,216.5914,252.1250,15.19,0.529,0.370
94,3.1333,10.7960,10.8416,52.3958,15.18,0.497,0.492
95,3.1667,6.2025,11.2308,60.0347,13.45,0.500,0.491
96,3.2000,5.5946,11.4019,61.9375,13.23,0.500,0.503
97,3.2333,5.7830,11.8065,64.4375,13.11,0.500,0.513
98,3.2667,6.6963,12.0265,59.1597,13.01,0.500,0.515
99,3.3000,6.5387,12.1458,54.4444,13.41,0.500,0.512
100,3.3333,6.7567,12.2897,58.2708,13.96,0.500,0.510
101,3.3667,7.4845,12.6663,58.6806,14.59,0.501,0.511
102,3.4000,6.5442,9.7194,49.0833,15.20,0.500,0.491
103,3.4333,6.4999,9.4995,53.8264,15.73,0.501,0.483
104,3.4667,6.7554,9.4801,69.2500,15.99,0.502,0.478
105,3.5000,5.6975,9.4469,76.9444,16.29,0.501,0.462
106,3.5333,5.1585,10.3187,89.4583,16.47,0.502,0.456
107,3.5667,5.1285,11.2724,81.8750,16.70,0.502,0.457
108,3.6000,65.7911,66.2729,126.6806,16.81,0.484,0.481
109,3.6333,2.7182,67.0613,130.8125,77.02,0.349,0.419
110,3.6667,3.4811,68.0998,127.8194,77.76,0.301,0.422
111,3.7000,3.6622,68.3882,114.4931,78.82,0.288,0.425
112,3.7333,4.2706,68.6686,113.5000,79.25,0.258,0.389
113,3.7667,8.7331,71.9158,138.0000,79.43,0.534,0.354
114,3.8000,9.2007,75.4840,180.3750,82.78,0.525,0.445
115,3.8333,12.1966,76.3415,164.7361,86.51,0.570,0.462
116,3.8667,12.9755,19.4002,132.2639,87.58,0.598,0.554
117,3.9000,11.3975,19.4685,113.8472,87.85,0.574,0.596
118,3.9333,10.4776,19.3431,84.9097,87.31,0.550,0.614
119,3.9667,9.7969,18.8100,86.6250,85.29,0.491,0.561
120,4.0000,7.3902,18.1351,94.7708,83.76,0.450,0.505
121,4.0333,8.3788,20.9191,88.8472,82.36,0.423,0.489
122,4.0667,8.5068,25.0539,122.0972,82.21,0.406,0.484
123,4.1000,9.8479,25.9647,91.1319,83.04,0.396,0.502
124,4.1333,9.8950,26.9893,114.8542,82.75,0.403,0.510
125,4.1667,7.4053,26.6672,114.1458,83.69,0.445,0.521
126,4.2000,7.9666,24.6926,101.0000,83.63,0.482,0.561
127,4.2333,7.3166,21.9057,102.9236,83.84,0.506,0.602
128,4.2667,146.3492,146.9365,198.0139,82.82,0.510,0.494
129,4.3000,1.1174,147.2168,198.3264,211.07,0.507,0.530
130,4.3333,0.7069,146.4855,197.9514,211.39,0.541,0.539
131,4.3667,2.6711,146.4797,198.3264,211.54,0.525,0.544
132,4.4000,2.3741,145.3013,197.9306,212.47,0.523,0.563
133,4.4333,3.6545,144.4358,198.1528,213.53,0.554,0.634
134,4.4667,0.0262,144.1870,197.3681,213.53,0.553,0.529
135,4.5000,4.9741,145.1992,190.9167,213.54,0.576,0.655
136,4.5333,4.6494,11.3271,86.7917,214.42,0.565,0.587
137,4.5667,3.3110,10.3217,75.7153,215.17,0.540,0.579
138,4.6000,2.2735,9.4936,77.3681,215.50,0.539,0.611
139,4.6333,1.2401,7.7916,68.3542,214.99,0.544,0.626
140,4.6667,3.8617,9.2283,70.5069,214.65,0.537,0.629
141,4.7000,4.1057,9.7059,99.0139,213.35,0.550,0.632
142,4.7333,2.7307,10.4215,101.8750,211.58,0.554,0.615
143,4.7667,1.5194,10.9120,145.5069,210.46,0.532,0.601
144,4.8000,3.6073,12.0110,163.5000,209.94,0.544,0.596
145,4.8333,3.6678,12.9697,158.1875,208.54,0.549,0.615
146,4.8667,3.3121,13.5866,154.8958,207.40,0.544,0.592
147,4.9000,0.0369,13.3929,154.4583,206.47,0.347,0.469
148,4.9333,4.2095,14.6344,155.9514,206.48,0.532,0.568
149,4.9667,3.1119,14.3073,137.5417,205.85,0.493,0.526
150,5.0000,39.8104,37.9919,181.9514,205.77,0.518,0.563
151,5.0333,1.7265,37.8384,178.3125,214.42,0.533,0.407
152,5.0667,2.4273,37.9434,176.4653,214.19,0.528,0.406
153,5.1000,2.4143,38.4588,183.0556,214.04,0.524,0.404
154,5.1333,3.9508,39.1262,190.4375,213.87,0.519,0.398
155,5.1667,3.8892,39.3017,190.4514,213.58,0.510,0.392
156,5.2000,5.9144,40.3166,205.2847,213.19,0.502,0.385
157,5.2333,5.9647,40.4447,213.8194,212.17,0.490,0.386
158,5.2667,8.2222,13.6752,124.1667,210.93,0.482,0.389
159,5.3000,7.7758,14.7422,125.4653,209.23,0.471,0.378
160,5.3333,8.5973,15.5416,138.6736,208.06,0.470,0.387
161,5.3667,8.3001,15.5094,162.3472,206.54,0.466,0.379
162,5.4000,6.8911,15.5312,176.3611,205.36,0.466,0.365
163,5.4333,7.7371,14.7799,180.2222,204.81,0.470,0.369
164,5.4667,5.8470,14.7961,159.5694,204.66,0.472,0.380
165,5.5000,7.0206,15.6764,156.0208,204.75,0.471,0.397
166,5.5333,5.7295,17.0778,176.7569,204.51,0.468,0.420
167,5.5667,7.0689,18.3984,172.5139,204.10,0.468,0.435
168,5.6000,5.7751,18.6638,157.5903,204.81,0.474,0.465
169,5.6333,7.0706,17.1160,163.2361,206.25,0.471,0.483
170,5.6667,6.1682,15.9914,165.8750,209.01,0.460,0.466
171,5.7000,4.0309,15.1403,164.3681,211.63,0.457,0.452
172,5.7333,4.0089,13.7681,143.4444,213.24,0.454,0.445
173,5.7667,2.3950,13.5661,168.4444,214.80,0.462,0.451
174,5.8000,2.1862,14.4429,191.4583,215.56,0.468,0.457
175,5.8333,1.2242,15.0915,197.8403,216.12,0.479,0.464
176,5.8667,1.2055,14.4557,173.5208,216.35,0.479,0.454
177,5.9000,0.6168,11.9971,127.6528,216.59,0.486,0.460
